Mapping parameters for Knipowitschia caucasica (Caucasian dwarf goby)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 37,
Bounding Box (NSWE): ,47,38,12,61

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,1,2
Temperature (°C),1,13.94,15.4,20.12,22.38
Salinity (psu),1,5.76,16.33,38.53,39.03
Primary Production (mgC·m-3·day-1) ,1,0.91,1.91,9.47,86.1
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,142.29,218.08,292.93,305.2
Distance to Land (km),0,0,1,17,32.5
 

Map data (HSPEC) for predicted occurrences (n = 238): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Knipowitschia,caucasica,38.25,16.25,1301:486:1,0.15
Knipowitschia,caucasica,38.75,16.25,1301:486:3,0.12
Knipowitschia,caucasica,39.25,16.25,1301:496:1,0.11
Knipowitschia,caucasica,39.75,19.25,1301:499:3,0.04
Knipowitschia,caucasica,38.25,24.25,1302:384:1,0.04
Knipowitschia,caucasica,38.25,25.75,1302:485:2,0.09
Knipowitschia,caucasica,38.75,25.75,1302:485:4,0.13
Knipowitschia,caucasica,40.25,17.25,1401:207:1,0.08
Knipowitschia,caucasica,40.75,17.75,1401:207:4,0.10
Knipowitschia,caucasica,41.25,17.25,1401:217:1,0.16
Knipowitschia,caucasica,42.25,15.25,1401:225:1,0.02
Knipowitschia,caucasica,43.25,15.75,1401:235:2,0.06
Knipowitschia,caucasica,45.25,12.25,1401:352:1,0.06
Knipowitschia,caucasica,45.25,29.25,1402:459:1,0.11
Knipowitschia,caucasica,41.25,37.75,1403:217:2,0.18
Knipowitschia,caucasica,41.25,39.75,1403:219:2,0.09
Knipowitschia,caucasica,44.75,35.25,1403:245:3,0.15
Knipowitschia,caucasica,45.25,32.75,1403:352:2,0.07
Knipowitschia,caucasica,46.25,30.25,1403:360:1,0.16
Knipowitschia,caucasica,46.25,30.75,1403:360:2,0.17
Knipowitschia,caucasica,46.75,30.75,1403:360:4,0.03
Knipowitschia,caucasica,46.25,31.75,1403:361:2,0.14
Knipowitschia,caucasica,46.75,31.25,1403:361:3,0.03
Knipowitschia,caucasica,46.75,31.75,1403:361:4,0.03
Knipowitschia,caucasica,46.25,32.25,1403:362:1,0.17
Knipowitschia,caucasica,46.75,32.25,1403:362:3,0.04
Knipowitschia,caucasica,46.25,35.75,1403:465:2,0.17
Knipowitschia,caucasica,46.75,35.25,1403:465:3,0.08
Knipowitschia,caucasica,46.75,35.75,1403:465:4,0.07
Knipowitschia,caucasica,46.75,36.25,1403:466:3,0.04
Knipowitschia,caucasica,46.75,36.75,1403:466:4,0.02
Knipowitschia,caucasica,46.75,37.25,1403:467:3,0.01
Knipowitschia,caucasica,46.75,38.75,1403:468:4,0.12
Knipowitschia,caucasica,43.25,40.25,1404:130:1,0.03
Knipowitschia,caucasica,38.75,16.75,1301:486:4,0.39
Knipowitschia,caucasica,39.75,25.25,1302:495:3,0.23
Knipowitschia,caucasica,40.75,13.75,1401:103:4,0.25
Knipowitschia,caucasica,44.75,12.75,1401:142:4,0.25
Knipowitschia,caucasica,40.75,17.25,1401:207:3,0.25
Knipowitschia,caucasica,40.75,18.25,1401:208:3,0.23
Knipowitschia,caucasica,40.25,19.25,1401:209:1,0.22
Knipowitschia,caucasica,41.75,15.75,1401:215:4,0.30
Knipowitschia,caucasica,41.25,16.75,1401:216:2,0.37
Knipowitschia,caucasica,45.75,29.75,1402:459:4,0.21
Knipowitschia,caucasica,41.75,31.75,1403:111:4,0.24
Knipowitschia,caucasica,41.75,32.75,1403:112:4,0.38
Knipowitschia,caucasica,44.75,34.25,1403:144:3,0.30
Knipowitschia,caucasica,44.75,34.75,1403:144:4,0.28
Knipowitschia,caucasica,41.25,39.25,1403:219:1,0.35
Knipowitschia,caucasica,46.25,32.75,1403:362:2,0.20
Knipowitschia,caucasica,46.25,33.25,1403:363:1,0.24
Knipowitschia,caucasica,46.25,33.75,1403:363:2,0.26
Knipowitschia,caucasica,46.25,34.75,1403:364:2,0.22
Knipowitschia,caucasica,46.25,35.25,1403:465:1,0.20
Knipowitschia,caucasica,46.25,37.75,1403:467:2,0.26
Knipowitschia,caucasica,46.25,38.25,1403:468:1,0.31
Knipowitschia,caucasica,46.25,38.75,1403:468:2,0.34
Knipowitschia,caucasica,39.75,16.75,1301:496:4,0.46
