Mapping parameters for Lagenorhynchus albirostris (white-beaked dolphin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 ,
Bounding Box (NSWE): ,90,34,-76,180

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,200,6000
Temperature (°C),1,-0.57,4.11,12.36,20.2
Salinity (psu),1,5.21,30.74,35.23,38.67
Primary Production (mgC·m-3·day-1) ,1,0.5,3.88,17.11,46.49
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.01,0.58
Dissolved Bottom Oxygen (mmol·m-3),0,115.1,254.55,309.54,408.48
Distance to Land (km),0,0,4,201,933
 

Map data (HSPEC) for predicted occurrences (n = 11582): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Lagenorhynchus,albirostris,51.25,0.25,1500:110:1,0.10,0.1,1,1,0.97016999180257,1,1,1
Lagenorhynchus,albirostris,51.25,4.25,1500:114:1,0.16,0.4,0.98422013983435,1,0.41491268328698,1,1,1
Lagenorhynchus,albirostris,51.75,4.25,1500:114:3,0.03,0.2,1,0.98005799989443,0.16317219726888,1,1,1
Lagenorhynchus,albirostris,51.75,4.75,1500:114:4,0.04,0.2,1,1,0.20614262204174,1,1,1
Lagenorhynchus,albirostris,52.25,4.75,1500:124:2,0.06,0.3,1,1,0.19530111433617,1,1,1
Lagenorhynchus,albirostris,52.25,5.25,1500:225:1,0.07,0.4,1,1,0.17362152243894,1,1,1
Lagenorhynchus,albirostris,52.25,5.75,1500:225:2,0.07,0.2,1,1,0.33187598789363,1,1,1
Lagenorhynchus,albirostris,52.75,6.25,1500:226:3,0.05,0.1,1,1,0.48954313052114,1,1,1
Lagenorhynchus,albirostris,53.25,8.75,1500:238:2,0.03,0.1,1,0.96638859331584,0.29577389276295,1,1,1
Lagenorhynchus,albirostris,53.75,9.25,1500:239:3,0.02,0.3,1,0.95071516324621,0.054322714339803,1,1,1
Lagenorhynchus,albirostris,53.75,9.75,1500:239:4,0.03,0.1,1,0.75494334560444,0.40239669689928,1,1,1
Lagenorhynchus,albirostris,54.25,9.25,1500:249:1,0.12,0.3,1,0.72904778199246,0.54482565241009,1,1,1
Lagenorhynchus,albirostris,54.25,9.75,1500:249:2,0.05,0.1,1,0.49898560132132,0.9212382149745,1,1,1
Lagenorhynchus,albirostris,54.75,9.25,1500:249:3,0.06,0.1,1,0.60535192732432,0.98241761274043,1,1,1
Lagenorhynchus,albirostris,58.75,6.25,1500:486:3,0.10,0.1,1,1,1,1,1,1
Lagenorhynchus,albirostris,58.25,7.25,1500:487:1,0.10,0.1,1,1,1,1,1,1
Lagenorhynchus,albirostris,59.25,6.75,1500:496:2,0.10,0.1,1,1,1,1,1,1
Lagenorhynchus,albirostris,59.75,6.25,1500:496:3,0.10,0.1,1,1,1,1,1,1
Lagenorhynchus,albirostris,59.75,6.75,1500:496:4,0.10,0.1,1,1,1,1,1,1
Lagenorhynchus,albirostris,59.25,9.75,1500:499:2,0.09,0.1,1,0.93100044020381,1,1,1,1
Lagenorhynchus,albirostris,53.75,10.75,1501:130:4,0.04,0.1,1,0.47596122123099,0.89987586869765,1,1,1
Lagenorhynchus,albirostris,53.75,11.25,1501:131:3,0.04,0.1,1,0.37898154581849,1,1,1,1
Lagenorhynchus,albirostris,53.75,11.75,1501:131:4,0.03,0.1,1,0.29909378362552,1,1,1,1
Lagenorhynchus,albirostris,53.75,13.75,1501:133:4,0.04,0.4,1,0.10530486519646,0.86283313142677,1,1,1
Lagenorhynchus,albirostris,53.75,14.25,1501:134:3,0.05,1,1,0.072242624004168,0.66065352461304,1,1,1
Lagenorhynchus,albirostris,53.75,14.75,1501:134:4,0.10,1,1,0.098660056281921,0.97981859511303,1,1,1
Lagenorhynchus,albirostris,54.25,11.25,1501:141:1,0.19,1,1,0.18503089871913,1,1,1,1
Lagenorhynchus,albirostris,54.25,11.75,1501:141:2,0.09,1,1,0.14987333830412,0.6227810784469,1,1,1
Lagenorhynchus,albirostris,54.75,11.25,1501:141:3,0.18,0.8,1,0.22424671129764,1,1,1,1
Lagenorhynchus,albirostris,54.75,11.75,1501:141:4,0.11,0.6,1,0.17937784759007,1,1,1,1
Lagenorhynchus,albirostris,54.25,12.25,1501:142:1,0.08,1,1,0.13108214405626,0.58698226482822,1,1,1
Lagenorhynchus,albirostris,54.25,12.75,1501:142:2,0.06,0.5,1,0.11029368758062,1,1,1,1
Lagenorhynchus,albirostris,54.75,12.25,1501:142:3,0.04,1,1,0.10966074368648,0.40355029312023,1,1,1
Lagenorhynchus,albirostris,54.75,12.75,1501:142:4,0.03,1,1,0.096508573748017,0.30798815857597,1,1,1
Lagenorhynchus,albirostris,54.25,13.25,1501:143:1,0.04,0.5,1,0.088379555480694,1,1,1,1
Lagenorhynchus,albirostris,54.25,13.75,1501:143:2,0.07,0.9,1,0.081079669807455,1,1,1,1
Lagenorhynchus,albirostris,54.75,13.25,1501:143:3,0.02,1,1,0.09007754775995,0.24408282871915,1,1,1
Lagenorhynchus,albirostris,54.75,13.75,1501:143:4,0.01,1,1,0.08569346621043,0.16420118361932,1,1,1
Lagenorhynchus,albirostris,54.25,14.25,1501:144:1,0.08,1,1,0.07997599630509,1,1,1,1
Lagenorhynchus,albirostris,54.25,14.75,1501:144:2,0.07,1,1,0.077665101113714,0.87781067739224,1,1,1
