Mapping parameters for Lagenorhynchus obscurus (dusky dolphin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  41 |  47 |  48 |  51 |  57 |  58 |  71 |  77 |  81 |  87 |  88 ,
Bounding Box (NSWE): ,0,-90,-180,180

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,2000,6000
Temperature (°C),1,-1.71,6.36,18.77,26.94
Salinity (psu),1,25.39,33.63,35.4,36.56
Primary Production (mgC·m-3·day-1) ,1,0.16,3.51,68.56,110.87
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.01
Dissolved Bottom Oxygen (mmol·m-3),0,4.16,60.22,294.71,335.04
Distance to Land (km),0,0,10,333,1485
 

Map data (HSPEC) for predicted occurrences (n = 52209): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lagenorhynchus,obscurus,-27.25,-71.75,5207:371:2,0.03
Lagenorhynchus,obscurus,-26.25,-71.75,5207:361:2,0.09
Lagenorhynchus,obscurus,-39.25,-162.25,5316:392:1,0.19
Lagenorhynchus,obscurus,-39.25,-162.75,5316:392:2,0.19
Lagenorhynchus,obscurus,-35.75,-165.75,5316:455:4,0.14
Lagenorhynchus,obscurus,-35.25,-166.25,5316:456:1,0.14
Lagenorhynchus,obscurus,-35.25,-166.75,5316:456:2,0.12
Lagenorhynchus,obscurus,-35.75,-166.25,5316:456:3,0.17
Lagenorhynchus,obscurus,-35.75,-166.75,5316:456:4,0.12
Lagenorhynchus,obscurus,-38.25,-162.25,5316:382:1,0.14
Lagenorhynchus,obscurus,-38.25,-162.75,5316:382:2,0.15
Lagenorhynchus,obscurus,-38.75,-162.25,5316:382:3,0.16
Lagenorhynchus,obscurus,-38.75,-162.75,5316:382:4,0.18
Lagenorhynchus,obscurus,-38.25,-163.25,5316:383:1,0.17
Lagenorhynchus,obscurus,-38.25,-163.75,5316:383:2,0.19
Lagenorhynchus,obscurus,-38.75,-163.25,5316:383:3,0.19
Lagenorhynchus,obscurus,-38.25,-164.25,5316:384:1,0.17
Lagenorhynchus,obscurus,-38.25,-164.75,5316:384:2,0.17
Lagenorhynchus,obscurus,-35.25,-165.25,5316:455:1,0.09
Lagenorhynchus,obscurus,-35.25,-165.75,5316:455:2,0.12
Lagenorhynchus,obscurus,-35.75,-165.25,5316:455:3,0.11
Lagenorhynchus,obscurus,-34.75,-168.75,5316:248:4,0.14
Lagenorhynchus,obscurus,-34.25,-169.25,5316:249:1,0.12
Lagenorhynchus,obscurus,-34.25,-169.75,5316:249:2,0.09
Lagenorhynchus,obscurus,-34.75,-169.25,5316:249:3,0.13
Lagenorhynchus,obscurus,-34.25,-167.75,5316:247:2,0.13
Lagenorhynchus,obscurus,-34.75,-167.25,5316:247:3,0.11
Lagenorhynchus,obscurus,-34.75,-167.75,5316:247:4,0.14
Lagenorhynchus,obscurus,-34.25,-168.25,5316:248:1,0.12
Lagenorhynchus,obscurus,-34.25,-168.75,5316:248:2,0.11
Lagenorhynchus,obscurus,-34.75,-169.75,5316:249:4,0.14
Lagenorhynchus,obscurus,-62.25,-176.25,5617:226:1,0.02
Lagenorhynchus,obscurus,-62.25,-176.75,5617:226:2,0.03
Lagenorhynchus,obscurus,-33.75,-167.25,5316:237:3,0.07
Lagenorhynchus,obscurus,-33.75,-167.75,5316:237:4,0.09
Lagenorhynchus,obscurus,-33.25,-168.25,5316:238:1,0.04
Lagenorhynchus,obscurus,-33.25,-168.75,5316:238:2,0.05
Lagenorhynchus,obscurus,-33.75,-168.25,5316:238:3,0.08
Lagenorhynchus,obscurus,-33.75,-168.75,5316:238:4,0.08
Lagenorhynchus,obscurus,-33.25,-169.25,5316:239:1,0.06
Lagenorhynchus,obscurus,-33.25,-169.75,5316:239:2,0.06
Lagenorhynchus,obscurus,-33.75,-169.25,5316:239:3,0.08
Lagenorhynchus,obscurus,-33.75,-169.75,5316:239:4,0.07
Lagenorhynchus,obscurus,-34.25,-165.25,5316:245:1,0.08
Lagenorhynchus,obscurus,-34.25,-165.75,5316:245:2,0.09
Lagenorhynchus,obscurus,-34.75,-165.25,5316:245:3,0.11
Lagenorhynchus,obscurus,-34.75,-165.75,5316:245:4,0.13
Lagenorhynchus,obscurus,-34.25,-166.25,5316:246:1,0.11
Lagenorhynchus,obscurus,-34.25,-166.75,5316:246:2,0.07
Lagenorhynchus,obscurus,-34.75,-166.25,5316:246:3,0.11
Lagenorhynchus,obscurus,-34.75,-166.75,5316:246:4,0.10
Lagenorhynchus,obscurus,-34.25,-167.25,5316:247:1,0.09
Lagenorhynchus,obscurus,-34.75,-168.25,5316:248:3,0.14
Lagenorhynchus,obscurus,-6.25,0.25,3000:360:1,0.08
Lagenorhynchus,obscurus,-6.25,0.75,3000:360:2,0.04
Lagenorhynchus,obscurus,-6.75,0.25,3000:360:3,0.05
Lagenorhynchus,obscurus,-6.75,0.75,3000:360:4,0.03
Lagenorhynchus,obscurus,-6.25,1.25,3000:361:1,0.08
Lagenorhynchus,obscurus,-6.25,1.75,3000:361:2,0.02
Lagenorhynchus,obscurus,-6.75,1.25,3000:361:3,0.04
Lagenorhynchus,obscurus,-6.75,1.75,3000:361:4,0.02
Lagenorhynchus,obscurus,-6.25,2.25,3000:362:1,0.02
Lagenorhynchus,obscurus,-6.25,2.75,3000:362:2,0.02
Lagenorhynchus,obscurus,-6.75,2.25,3000:362:3,0.02
Lagenorhynchus,obscurus,-6.75,2.75,3000:362:4,0.02
Lagenorhynchus,obscurus,-6.25,3.25,3000:363:1,0.02
Lagenorhynchus,obscurus,-6.25,3.75,3000:363:2,0.02
Lagenorhynchus,obscurus,-6.75,3.25,3000:363:3,0.02
Lagenorhynchus,obscurus,-6.75,3.75,3000:363:4,0.03
Lagenorhynchus,obscurus,-6.25,4.25,3000:364:1,0.03
Lagenorhynchus,obscurus,-6.25,4.75,3000:364:2,0.03
Lagenorhynchus,obscurus,-6.75,4.25,3000:364:3,0.03
Lagenorhynchus,obscurus,-6.75,4.75,3000:364:4,0.03
Lagenorhynchus,obscurus,-7.25,0.25,3000:370:1,0.03
Lagenorhynchus,obscurus,-7.25,0.75,3000:370:2,0.02
Lagenorhynchus,obscurus,-7.75,0.25,3000:370:3,0.04
Lagenorhynchus,obscurus,-7.75,0.75,3000:370:4,0.04
Lagenorhynchus,obscurus,-7.25,1.25,3000:371:1,0.01
Lagenorhynchus,obscurus,-7.25,1.75,3000:371:2,0.02
Lagenorhynchus,obscurus,-7.75,1.25,3000:371:3,0.04
Lagenorhynchus,obscurus,-7.75,1.75,3000:371:4,0.02
Lagenorhynchus,obscurus,-7.25,2.25,3000:372:1,0.02
Lagenorhynchus,obscurus,-7.25,2.75,3000:372:2,0.02
Lagenorhynchus,obscurus,-7.75,2.25,3000:372:3,0.02
Lagenorhynchus,obscurus,-7.75,2.75,3000:372:4,0.02
Lagenorhynchus,obscurus,-7.25,3.25,3000:373:1,0.02
Lagenorhynchus,obscurus,-7.25,3.75,3000:373:2,0.03
