Mapping parameters for Lamna ditropis (Salmon shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  67 |  77 ,
Bounding Box (NSWE): ,66,22,120,-115

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,152,650
Temperature (°C),1,1.24,3.74,11.49,19.24
Salinity (psu),1,25.44,31.32,32.87,34.15
Primary Production (mgC·m-3·day-1) ,1,3.27,6.55,27.17,93.6
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.04,0.21
Dissolved Bottom Oxygen (mmol·m-3),0,10.84,87.4,307.02,353.35
Distance to Land (km),0,2,11,241,1739
 

Map data (HSPEC) for predicted occurrences (n = 8431): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lamna,ditropis,65.25,-177.25,7617:457:1,0.02
Lamna,ditropis,65.25,-176.75,7617:456:2,0.07
Lamna,ditropis,65.25,-176.25,7617:456:1,0.12
Lamna,ditropis,65.25,-175.75,7617:455:2,0.05
Lamna,ditropis,64.75,-176.25,7617:246:3,0.02
Lamna,ditropis,64.75,-175.75,7617:245:4,0.10
Lamna,ditropis,64.75,-175.25,7617:245:3,0.16
Lamna,ditropis,64.25,-175.25,7617:245:1,0.01
Lamna,ditropis,62.25,-179.75,7617:229:2,0.04
Lamna,ditropis,62.25,-179.25,7617:229:1,0.03
Lamna,ditropis,61.75,-179.75,7617:219:4,0.12
Lamna,ditropis,61.75,-179.25,7617:219:3,0.09
Lamna,ditropis,61.25,-179.25,7617:219:1,0.19
Lamna,ditropis,61.75,-178.75,7617:218:4,0.08
Lamna,ditropis,61.75,-178.25,7617:218:3,0.07
Lamna,ditropis,61.25,-178.75,7617:218:2,0.18
Lamna,ditropis,61.25,-178.25,7617:218:1,0.17
Lamna,ditropis,61.75,-177.75,7617:217:4,0.05
Lamna,ditropis,61.75,-177.25,7617:217:3,0.01
Lamna,ditropis,61.25,-177.75,7617:217:2,0.16
Lamna,ditropis,61.25,-177.25,7617:217:1,0.13
Lamna,ditropis,61.25,-176.75,7617:216:2,0.06
Lamna,ditropis,61.25,-176.25,7617:216:1,0.01
Lamna,ditropis,60.75,-176.25,7617:206:3,0.18
Lamna,ditropis,60.75,-175.75,7617:205:4,0.12
Lamna,ditropis,60.75,-175.25,7617:205:3,0.05
Lamna,ditropis,64.75,-174.75,7617:144:4,0.06
Lamna,ditropis,64.75,-174.25,7617:144:3,0.02
Lamna,ditropis,64.25,-174.75,7617:144:2,0.08
Lamna,ditropis,64.25,-174.25,7617:144:1,0.14
Lamna,ditropis,64.25,-173.75,7617:143:2,0.16
Lamna,ditropis,64.25,-173.25,7617:143:1,0.09
Lamna,ditropis,64.25,-172.75,7617:142:2,0.04
Lamna,ditropis,64.25,-172.25,7617:142:1,0.01
Lamna,ditropis,64.25,-171.75,7617:141:2,0.01
Lamna,ditropis,64.25,-171.25,7617:141:1,0.01
Lamna,ditropis,63.75,-173.75,7617:133:4,0.02
Lamna,ditropis,63.75,-173.25,7617:133:3,0.05
Lamna,ditropis,63.75,-172.75,7617:132:4,0.06
Lamna,ditropis,63.75,-172.25,7617:132:3,0.06
Lamna,ditropis,63.25,-172.75,7617:132:2,0.01
Lamna,ditropis,63.25,-172.25,7617:132:1,0.04
Lamna,ditropis,63.25,-171.75,7617:131:2,0.07
Lamna,ditropis,63.25,-171.25,7617:131:1,0.09
Lamna,ditropis,63.25,-170.75,7617:130:2,0.08
Lamna,ditropis,63.25,-170.25,7617:130:1,0.01
Lamna,ditropis,62.75,-171.75,7617:121:4,0.02
Lamna,ditropis,62.75,-171.25,7617:121:3,0.03
Lamna,ditropis,62.75,-170.75,7617:120:4,0.03
Lamna,ditropis,62.75,-170.25,7617:120:3,0.03
Lamna,ditropis,60.75,-174.75,7617:104:4,0.02
Lamna,ditropis,60.75,-174.25,7617:104:3,0.01
Lamna,ditropis,60.25,-174.25,7617:104:1,0.18
Lamna,ditropis,60.25,-173.75,7617:103:2,0.13
Lamna,ditropis,60.25,-173.25,7617:103:1,0.07
Lamna,ditropis,60.25,-172.75,7617:102:2,0.02
Lamna,ditropis,60.25,-171.25,7617:101:1,0.02
Lamna,ditropis,60.25,-170.75,7617:100:2,0.02
Lamna,ditropis,60.25,-170.25,7617:100:1,0.01
Lamna,ditropis,65.25,-167.25,7616:457:1,0.07
Lamna,ditropis,65.25,-166.75,7616:456:2,0.10
Lamna,ditropis,65.25,-166.25,7616:456:1,0.08
Lamna,ditropis,64.75,-166.75,7616:246:4,0.04
Lamna,ditropis,64.75,-166.25,7616:246:3,0.03
Lamna,ditropis,62.75,-169.75,7616:229:4,0.02
Lamna,ditropis,61.75,-165.75,7616:215:4,0.02
Lamna,ditropis,61.25,-165.25,7616:215:1,0.03
Lamna,ditropis,60.75,-165.25,7616:205:3,0.02
Lamna,ditropis,61.25,-164.75,7616:114:2,0.04
Lamna,ditropis,60.75,-164.75,7616:104:4,0.03
Lamna,ditropis,60.75,-164.25,7616:104:3,0.03
Lamna,ditropis,60.75,-163.75,7616:103:4,0.02
Lamna,ditropis,59.75,-172.75,7517:392:4,0.16
Lamna,ditropis,59.75,-172.25,7517:392:3,0.11
Lamna,ditropis,59.75,-171.75,7517:391:4,0.12
Lamna,ditropis,59.75,-171.25,7517:391:3,0.14
Lamna,ditropis,59.75,-170.75,7517:390:4,0.13
Lamna,ditropis,59.75,-170.25,7517:390:3,0.09
Lamna,ditropis,59.75,-169.75,7516:499:4,0.05
Lamna,ditropis,59.75,-169.25,7516:499:3,0.02
Lamna,ditropis,59.25,-169.25,7516:499:1,0.13
Lamna,ditropis,59.25,-168.75,7516:498:2,0.08
Lamna,ditropis,59.25,-168.25,7516:498:1,0.04
Lamna,ditropis,59.25,-167.75,7516:497:2,0.02
Lamna,ditropis,58.75,-167.75,7516:487:4,0.15
Lamna,ditropis,58.75,-167.25,7516:487:3,0.10
Lamna,ditropis,58.75,-166.75,7516:486:4,0.04
Lamna,ditropis,58.75,-166.25,7516:486:3,0.01
Lamna,ditropis,58.25,-165.75,7516:485:2,0.13
Lamna,ditropis,58.25,-165.25,7516:485:1,0.08
Lamna,ditropis,59.75,-163.75,7516:393:4,0.02
Lamna,ditropis,59.25,-163.25,7516:393:1,0.04
Lamna,ditropis,59.25,-162.75,7516:392:2,0.04
Lamna,ditropis,59.25,-160.75,7516:390:2,0.07
Lamna,ditropis,59.25,-160.25,7516:390:1,0.06
Lamna,ditropis,58.25,-164.75,7516:384:2,0.05
Lamna,ditropis,58.25,-164.25,7516:384:1,0.02
Lamna,ditropis,58.25,-162.75,7516:382:2,0.01
Lamna,ditropis,58.25,-162.25,7516:382:1,0.04
Lamna,ditropis,58.75,-161.75,7516:381:4,0.05
Lamna,ditropis,58.75,-161.25,7516:381:3,0.07
Lamna,ditropis,58.25,-161.75,7516:381:2,0.10
Lamna,ditropis,58.25,-161.25,7516:381:1,0.13
Lamna,ditropis,58.25,-160.75,7516:380:2,0.11
Lamna,ditropis,58.25,-160.25,7516:380:1,0.04
Lamna,ditropis,57.75,-163.25,7516:373:3,0.19
Lamna,ditropis,58.75,-159.25,7515:489:3,0.06
Lamna,ditropis,58.25,-158.75,7515:488:2,0.02
Lamna,ditropis,58.25,-158.25,7515:488:1,0.13
Lamna,ditropis,58.25,-157.75,7515:487:2,0.14
Lamna,ditropis,58.25,-157.25,7515:487:1,0.13
Lamna,ditropis,57.75,-159.25,7515:479:3,0.13
Lamna,ditropis,57.75,-158.75,7515:478:4,0.06
Lamna,ditropis,57.75,-158.25,7515:478:3,0.11
Lamna,ditropis,50.25,-125.25,7512:205:1,0.01
Lamna,ditropis,50.25,-124.75,7512:104:2,0.01
Lamna,ditropis,50.25,-124.25,7512:104:1,0.12
Lamna,ditropis,50.25,-123.75,7512:103:2,0.13
Lamna,ditropis,41.75,-179.25,7417:219:3,0.19
Lamna,ditropis,41.25,-179.75,7417:219:2,0.14
Lamna,ditropis,41.25,-179.25,7417:219:1,0.14
Lamna,ditropis,41.75,-178.75,7417:218:4,0.19
Lamna,ditropis,41.25,-178.75,7417:218:2,0.14
Lamna,ditropis,41.25,-178.25,7417:218:1,0.15
Lamna,ditropis,41.25,-177.75,7417:217:2,0.15
Lamna,ditropis,41.25,-177.25,7417:217:1,0.16
Lamna,ditropis,41.25,-176.75,7417:216:2,0.17
Lamna,ditropis,41.25,-176.25,7417:216:1,0.18
Lamna,ditropis,41.25,-175.75,7417:215:2,0.17
Lamna,ditropis,41.25,-175.25,7417:215:1,0.16
Lamna,ditropis,40.75,-179.75,7417:209:4,0.09
Lamna,ditropis,40.75,-179.25,7417:209:3,0.09
Lamna,ditropis,40.25,-179.75,7417:209:2,0.05
Lamna,ditropis,40.25,-179.25,7417:209:1,0.06
Lamna,ditropis,40.75,-178.75,7417:208:4,0.10
Lamna,ditropis,40.75,-178.25,7417:208:3,0.10
Lamna,ditropis,40.25,-178.75,7417:208:2,0.06
Lamna,ditropis,40.25,-178.25,7417:208:1,0.06
Lamna,ditropis,40.75,-177.75,7417:207:4,0.11
Lamna,ditropis,40.75,-177.25,7417:207:3,0.11
Lamna,ditropis,40.25,-177.75,7417:207:2,0.07
Lamna,ditropis,40.25,-177.25,7417:207:1,0.07
Lamna,ditropis,40.75,-176.75,7417:206:4,0.11
Lamna,ditropis,40.75,-176.25,7417:206:3,0.10
Lamna,ditropis,40.25,-176.75,7417:206:2,0.06
Lamna,ditropis,40.25,-176.25,7417:206:1,0.06
Lamna,ditropis,40.75,-175.75,7417:205:4,0.10
Lamna,ditropis,40.75,-175.25,7417:205:3,0.09
Lamna,ditropis,40.25,-175.75,7417:205:2,0.05
Lamna,ditropis,40.25,-175.25,7417:205:1,0.05
Lamna,ditropis,41.25,-174.75,7417:114:2,0.16
Lamna,ditropis,41.25,-174.25,7417:114:1,0.18
Lamna,ditropis,40.75,-174.75,7417:104:4,0.10
Lamna,ditropis,40.75,-174.25,7417:104:3,0.11
Lamna,ditropis,40.25,-174.75,7417:104:2,0.06
Lamna,ditropis,40.25,-174.25,7417:104:1,0.07
Lamna,ditropis,40.75,-173.75,7417:103:4,0.13
Lamna,ditropis,40.75,-173.25,7417:103:3,0.14
Lamna,ditropis,40.25,-173.75,7417:103:2,0.07
Lamna,ditropis,40.25,-173.25,7417:103:1,0.08
Lamna,ditropis,40.75,-172.75,7417:102:4,0.15
Lamna,ditropis,40.75,-172.25,7417:102:3,0.16
Lamna,ditropis,40.25,-172.75,7417:102:2,0.09
Lamna,ditropis,40.25,-172.25,7417:102:1,0.09
Lamna,ditropis,40.75,-171.75,7417:101:4,0.15
Lamna,ditropis,40.75,-171.25,7417:101:3,0.14
Lamna,ditropis,40.25,-171.75,7417:101:2,0.09
Lamna,ditropis,40.25,-171.25,7417:101:1,0.09
Lamna,ditropis,40.75,-170.75,7417:100:4,0.15
Lamna,ditropis,40.75,-170.25,7417:100:3,0.16
Lamna,ditropis,40.25,-170.75,7417:100:2,0.09
Lamna,ditropis,40.25,-170.25,7417:100:1,0.10
Lamna,ditropis,40.75,-169.75,7416:209:4,0.17
Lamna,ditropis,40.75,-169.25,7416:209:3,0.18
Lamna,ditropis,40.25,-169.75,7416:209:2,0.10
Lamna,ditropis,40.25,-169.25,7416:209:1,0.11
Lamna,ditropis,40.75,-168.75,7416:208:4,0.18
Lamna,ditropis,40.75,-168.25,7416:208:3,0.18
Lamna,ditropis,40.25,-168.75,7416:208:2,0.11
Lamna,ditropis,40.25,-168.25,7416:208:1,0.11
Lamna,ditropis,40.75,-167.75,7416:207:4,0.18
Lamna,ditropis,40.75,-167.25,7416:207:3,0.18
Lamna,ditropis,40.25,-167.75,7416:207:2,0.11
Lamna,ditropis,40.25,-167.25,7416:207:1,0.12
Lamna,ditropis,40.75,-166.75,7416:206:4,0.19
