Mapping parameters for Lamna nasus (Porbeagle)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 |  48 |  51 |  57 |  58 |  81 |  87 ,
Bounding Box (NSWE): ,76,-59,-180,180

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,300,1360
Temperature (°C),1,1.7,8.03,22.17,28.28
Salinity (psu),1,5.21,31.48,36.17,39.25
Primary Production (mgC·m-3·day-1) ,1,0.29,1.94,20.34,84.7
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.14
Dissolved Bottom Oxygen (mmol·m-3),0,71,178.8,282.59,408.48
Distance to Land (km),0,1,13,517,1602
 

Map data (HSPEC) for predicted occurrences (n = 74749): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lamna,nasus,71.25,-11.75,7701:111:2,0.01
Lamna,nasus,71.25,-11.25,7701:111:1,0.02
Lamna,nasus,71.25,-10.75,7701:110:2,0.02
Lamna,nasus,71.25,-10.25,7701:110:1,0.03
Lamna,nasus,70.25,-14.75,7701:104:2,0.02
Lamna,nasus,70.25,-14.25,7701:104:1,0.04
Lamna,nasus,70.75,-13.75,7701:103:4,0.02
Lamna,nasus,70.75,-13.25,7701:103:3,0.03
Lamna,nasus,70.25,-13.75,7701:103:2,0.06
