Mapping parameters for Lampanyctus crocodilus (Jewel lanternfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  37,
Bounding Box (NSWE): ,72,16,-82,36

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,275,1000,1200
Temperature (°C),1,-0.57,10.96,22.91,29.6
Salinity (psu),1,29.62,33.83,37.87,39.25
Primary Production (mgC·m-3·day-1) ,1,-0.46,0.54,10.64,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.58
Dissolved Bottom Oxygen (mmol·m-3),0,85.19,190.18,269.82,358.8
Distance to Land (km),0,1,22,706,1550
 

Map data (HSPEC) for predicted occurrences (n = 15785): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lampanyctus,crocodilus,71.75,-60.75,7706:110:4,0.01
Lampanyctus,crocodilus,71.75,-60.25,7706:110:3,0.01
Lampanyctus,crocodilus,71.25,-60.75,7706:110:2,0.01
Lampanyctus,crocodilus,71.25,-60.25,7706:110:1,0.01
Lampanyctus,crocodilus,70.75,-60.75,7706:100:4,0.01
Lampanyctus,crocodilus,70.75,-60.25,7706:100:3,0.01
Lampanyctus,crocodilus,70.25,-60.25,7706:100:1,0.01
Lampanyctus,crocodilus,71.75,-59.75,7705:219:4,0.01
Lampanyctus,crocodilus,71.75,-59.25,7705:219:3,0.02
Lampanyctus,crocodilus,71.25,-59.75,7705:219:2,0.01
Lampanyctus,crocodilus,71.25,-59.25,7705:219:1,0.02
Lampanyctus,crocodilus,71.75,-58.75,7705:218:4,0.03
Lampanyctus,crocodilus,71.75,-58.25,7705:218:3,0.03
Lampanyctus,crocodilus,71.25,-58.75,7705:218:2,0.03
Lampanyctus,crocodilus,71.25,-58.25,7705:218:1,0.03
Lampanyctus,crocodilus,71.75,-57.75,7705:217:4,0.04
Lampanyctus,crocodilus,71.75,-57.25,7705:217:3,0.04
Lampanyctus,crocodilus,71.25,-57.75,7705:217:2,0.04
Lampanyctus,crocodilus,71.25,-57.25,7705:217:1,0.04
Lampanyctus,crocodilus,71.75,-56.75,7705:216:4,0.04
Lampanyctus,crocodilus,71.75,-56.25,7705:216:3,0.05
Lampanyctus,crocodilus,71.25,-56.75,7705:216:2,0.05
Lampanyctus,crocodilus,71.25,-56.25,7705:216:1,0.06
Lampanyctus,crocodilus,71.75,-55.75,7705:215:4,0.04
Lampanyctus,crocodilus,71.25,-55.75,7705:215:2,0.06
Lampanyctus,crocodilus,71.25,-55.25,7705:215:1,0.07
Lampanyctus,crocodilus,70.75,-59.75,7705:209:4,0.01
Lampanyctus,crocodilus,70.75,-59.25,7705:209:3,0.02
Lampanyctus,crocodilus,70.25,-59.75,7705:209:2,0.01
Lampanyctus,crocodilus,70.25,-59.25,7705:209:1,0.01
Lampanyctus,crocodilus,70.75,-58.75,7705:208:4,0.02
Lampanyctus,crocodilus,70.75,-58.25,7705:208:3,0.03
Lampanyctus,crocodilus,70.25,-58.75,7705:208:2,0.02
Lampanyctus,crocodilus,70.25,-58.25,7705:208:1,0.02
Lampanyctus,crocodilus,70.75,-57.75,7705:207:4,0.03
Lampanyctus,crocodilus,70.75,-57.25,7705:207:3,0.04
Lampanyctus,crocodilus,70.25,-57.75,7705:207:2,0.03
Lampanyctus,crocodilus,70.25,-57.25,7705:207:1,0.04
Lampanyctus,crocodilus,70.75,-56.75,7705:206:4,0.05
Lampanyctus,crocodilus,70.75,-56.25,7705:206:3,0.06
Lampanyctus,crocodilus,70.25,-56.75,7705:206:2,0.05
Lampanyctus,crocodilus,70.25,-56.25,7705:206:1,0.06
Lampanyctus,crocodilus,70.75,-55.75,7705:205:4,0.07
Lampanyctus,crocodilus,70.75,-55.25,7705:205:3,0.08
Lampanyctus,crocodilus,70.25,-55.75,7705:205:2,0.04
Lampanyctus,crocodilus,70.25,-55.25,7705:205:1,0.06
Lampanyctus,crocodilus,71.75,-54.25,7705:114:3,0.03
Lampanyctus,crocodilus,71.25,-54.75,7705:114:2,0.08
Lampanyctus,crocodilus,71.25,-54.25,7705:114:1,0.08
Lampanyctus,crocodilus,71.75,-53.75,7705:113:4,0.05
Lampanyctus,crocodilus,71.75,-53.25,7705:113:3,0.05
Lampanyctus,crocodilus,71.25,-53.75,7705:113:2,0.07
Lampanyctus,crocodilus,71.25,-53.25,7705:113:1,0.06
Lampanyctus,crocodilus,71.75,-52.75,7705:112:4,0.04
Lampanyctus,crocodilus,71.75,-52.25,7705:112:3,0.04
Lampanyctus,crocodilus,71.25,-52.75,7705:112:2,0.06
Lampanyctus,crocodilus,71.25,-52.25,7705:112:1,0.05
Lampanyctus,crocodilus,71.75,-51.75,7705:111:4,0.03
Lampanyctus,crocodilus,71.75,-51.25,7705:111:3,0.01
Lampanyctus,crocodilus,71.25,-51.75,7705:111:2,0.04
Lampanyctus,crocodilus,71.25,-51.25,7705:111:1,0.04
Lampanyctus,crocodilus,70.75,-54.75,7705:104:4,0.08
Lampanyctus,crocodilus,70.75,-54.25,7705:104:3,0.08
Lampanyctus,crocodilus,70.25,-54.75,7705:104:2,0.08
Lampanyctus,crocodilus,70.25,-54.25,7705:104:1,0.07
Lampanyctus,crocodilus,70.75,-53.75,7705:103:4,0.07
