Mapping parameters for Latimeria chalumnae (Coelacanth)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  71 |  47 ,
Bounding Box (NSWE): ,-3,-34,25,51

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,150,180,250,700
Temperature (°C),1,22.08,23.29,27.66,31.86
Salinity (psu),1,28.24,33.99,35.38,35.88
Primary Production (mgC·m-3·day-1) ,1,1.03,2.88,26.76,32.14
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,56.07,109.98,211.07,292.53
Distance to Land (km),0,17,19,211,274.5
 

Map data (HSPEC) for predicted occurrences (n = 273): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Latimeria,chalumnae,-33.75,27.25,3302:237:3,0.15
Latimeria,chalumnae,-32.75,28.25,3302:228:3,0.02
Latimeria,chalumnae,-32.25,28.75,3302:228:2,0.11
Latimeria,chalumnae,-29.75,32.25,3203:392:3,0.05
Latimeria,chalumnae,-28.25,32.25,3203:382:1,0.17
Latimeria,chalumnae,-27.25,33.25,3203:373:1,0.12
Latimeria,chalumnae,-26.25,34.75,3203:364:2,0.02
Latimeria,chalumnae,-26.75,33.75,3203:363:4,0.12
Latimeria,chalumnae,-22.75,36.25,3203:226:3,0.03
Latimeria,chalumnae,-22.25,36.25,3203:226:1,0.01
Latimeria,chalumnae,-21.75,36.25,3203:216:3,0.08
Latimeria,chalumnae,-19.75,43.75,3104:393:4,0.16
Latimeria,chalumnae,-11.75,49.75,3104:219:4,0.18
Latimeria,chalumnae,-5.25,40.25,3004:350:1,0.17
Latimeria,chalumnae,-4.25,40.25,3004:140:1,0.16
Latimeria,chalumnae,-30.25,31.75,3303:101:2,0.25
Latimeria,chalumnae,-31.75,29.25,3302:219:3,0.28
Latimeria,chalumnae,-23.25,48.25,3204:238:1,0.35
Latimeria,chalumnae,-26.25,33.75,3203:363:2,0.38
Latimeria,chalumnae,-20.75,36.25,3203:206:3,0.23
Latimeria,chalumnae,-17.25,50.25,3105:370:1,0.21
Latimeria,chalumnae,-15.25,45.75,3104:455:2,0.21
Latimeria,chalumnae,-18.25,43.25,3104:383:1,0.21
Latimeria,chalumnae,-11.25,47.75,3104:217:2,0.36
Latimeria,chalumnae,-17.25,39.75,3103:479:2,0.23
Latimeria,chalumnae,-7.75,47.75,3004:477:4,0.35
Latimeria,chalumnae,-3.75,40.75,3004:130:4,0.26
Latimeria,chalumnae,-20.75,44.25,3204:104:3,0.43
Latimeria,chalumnae,-26.25,32.75,3203:362:2,0.53
Latimeria,chalumnae,-15.75,50.75,3105:350:4,0.43
Latimeria,chalumnae,-10.75,50.75,3105:100:4,0.52
Latimeria,chalumnae,-19.25,43.75,3104:393:2,0.57
Latimeria,chalumnae,-8.75,46.75,3004:486:4,0.56
Latimeria,chalumnae,-33.75,27.75,3302:237:4,0.75
Latimeria,chalumnae,-25.25,45.25,3204:455:1,0.63
Latimeria,chalumnae,-28.75,32.25,3203:382:3,0.79
Latimeria,chalumnae,-26.25,34.25,3203:364:1,0.69
Latimeria,chalumnae,-21.75,39.25,3203:219:3,0.77
Latimeria,chalumnae,-21.75,35.25,3203:215:3,0.79
Latimeria,chalumnae,-20.25,35.75,3203:205:2,0.72
Latimeria,chalumnae,-15.25,50.75,3105:350:2,0.62
Latimeria,chalumnae,-19.25,44.25,3104:394:1,0.79
Latimeria,chalumnae,-18.25,41.75,3104:381:2,0.68
Latimeria,chalumnae,-17.25,42.75,3104:372:2,0.69
Latimeria,chalumnae,-17.75,41.75,3104:371:4,0.69
Latimeria,chalumnae,-16.75,42.75,3104:362:4,0.67
Latimeria,chalumnae,-15.75,44.25,3104:354:3,0.65
Latimeria,chalumnae,-14.75,46.75,3104:246:4,0.75
Latimeria,chalumnae,-12.25,46.25,3104:226:1,0.66
Latimeria,chalumnae,-12.25,45.25,3104:225:1,0.76
Latimeria,chalumnae,-17.75,38.75,3103:478:4,0.68
Latimeria,chalumnae,-7.25,40.25,3004:370:1,0.77
Latimeria,chalumnae,-4.75,40.25,3004:140:3,0.65
Latimeria,chalumnae,-31.25,30.25,3303:110:1,1.00
Latimeria,chalumnae,-30.25,31.25,3303:101:1,1.00
Latimeria,chalumnae,-30.75,30.75,3303:100:4,1.00
Latimeria,chalumnae,-30.75,30.25,3303:100:3,1.00
Latimeria,chalumnae,-30.25,30.75,3303:100:2,1.00
Latimeria,chalumnae,-33.25,28.25,3302:238:1,0.83
Latimeria,chalumnae,-32.25,29.25,3302:229:1,1.00
Latimeria,chalumnae,-32.75,28.75,3302:228:4,0.95
Latimeria,chalumnae,-31.75,29.75,3302:219:4,0.81
Latimeria,chalumnae,-31.25,29.75,3302:219:2,0.82
Latimeria,chalumnae,-27.25,46.25,3204:476:1,1.00
Latimeria,chalumnae,-26.25,45.75,3204:465:2,1.00
Latimeria,chalumnae,-26.25,45.25,3204:465:1,1.00
Latimeria,chalumnae,-25.25,47.25,3204:457:1,1.00
Latimeria,chalumnae,-25.75,46.75,3204:456:4,1.00
Latimeria,chalumnae,-25.75,46.25,3204:456:3,1.00
Latimeria,chalumnae,-25.25,46.75,3204:456:2,1.00
Latimeria,chalumnae,-25.25,46.25,3204:456:1,1.00
Latimeria,chalumnae,-25.75,45.75,3204:455:4,1.00
Latimeria,chalumnae,-25.75,45.25,3204:455:3,0.80
Latimeria,chalumnae,-25.25,45.75,3204:455:2,1.00
Latimeria,chalumnae,-26.25,44.75,3204:364:2,1.00
Latimeria,chalumnae,-25.75,44.75,3204:354:4,1.00
Latimeria,chalumnae,-25.75,44.25,3204:354:3,1.00
Latimeria,chalumnae,-25.25,44.75,3204:354:2,1.00
Latimeria,chalumnae,-25.25,44.25,3204:354:1,1.00
Latimeria,chalumnae,-24.75,47.75,3204:247:4,1.00
Latimeria,chalumnae,-24.75,47.25,3204:247:3,1.00
Latimeria,chalumnae,-24.25,47.75,3204:247:2,1.00
