Mapping parameters for Lepidochelys olivacea (Olive ridley turtle)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  31 |  34 |  37 |  47 |  51 |  57 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,61,-40,-130,160

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,11.72,24.34,28.94,33.14
Salinity (psu),1,14.69,32.07,35.49,38.86
Primary Production (mgC·m-3·day-1) ,1,0.11,1.68,24.18,241.11
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.03,84.2,220.26,326.95
Distance to Land (km),0,0,18,594,2012
 

Map data (HSPEC) for predicted occurrences (n = 10153): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lepidochelys,olivacea,1.75,9.25,1000:219:3,0.06
Lepidochelys,olivacea,3.75,7.75,1000:237:4,0.17
Lepidochelys,olivacea,3.25,8.25,1000:238:1,0.16
Lepidochelys,olivacea,3.75,8.25,1000:238:3,0.16
Lepidochelys,olivacea,4.75,6.75,1000:246:4,0.03
Lepidochelys,olivacea,4.75,7.25,1000:247:3,0.03
Lepidochelys,olivacea,4.25,9.75,1000:249:2,0.05
Lepidochelys,olivacea,6.75,3.25,1000:363:3,0.09
Lepidochelys,olivacea,6.75,3.75,1000:363:4,0.04
Lepidochelys,olivacea,5.25,5.75,1000:455:2,0.03
