Mapping parameters for Lepidochitona cinerea ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,72,27,-14,37

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,11,20
Temperature (°C),1,6.13,9.01,15.11,28
Salinity (psu),1,7,31.54,35.3,39
Primary Production (mgC·m-3·day-1) ,1,0.43,3.52,23.82,43.98
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.03
Dissolved Bottom Oxygen (mmol·m-3),0,188.18,254.55,292.32,332.98
Distance to Land (km),0,0,3,21,223
 

Map data (HSPEC) for predicted occurrences (n = 1231): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Lepidochitona,cinerea,36.75,1.25,1300:361:3,0.13,1,0.64982598469736,0.69687611347919,0.28543688624518,1,1,1
Lepidochitona,cinerea,36.75,1.75,1300:361:4,0.09,1,0.64940204723941,0.68903020910313,0.20711974059397,1,1,1
Lepidochitona,cinerea,36.75,2.25,1300:362:3,0.07,1,0.6503135497668,0.68290298049514,0.15987054778799,1,1,1
Lepidochitona,cinerea,36.75,2.75,1300:362:4,0.19,1,0.65021840429195,0.67518698202597,0.43236244110614,1,1,1
Lepidochitona,cinerea,38.75,0.25,1300:380:3,0.08,1,0.64590016106842,0.56946728680584,0.22912622995458,1,1,1
Lepidochitona,cinerea,38.75,1.25,1300:381:3,0.02,1,0.62287761963458,0.56716815845386,0.048867313993016,1,1,1
Lepidochitona,cinerea,38.75,1.75,1300:381:4,0.01,1,0.61992677817334,0.56732177734376,0.029126214050359,1,1,1
Lepidochitona,cinerea,39.75,0.25,1300:390:3,0.14,1,0.66133340816335,0.47843830005543,0.44822005400717,1,1,1
Lepidochitona,cinerea,39.75,0.75,1300:390:4,0.06,1,0.6646920582229,0.48479337950011,0.17605178774874,1,1,1
Lepidochitona,cinerea,39.25,1.25,1300:391:1,0.02,1,0.63818938238293,0.53180282180373,0.058252423374784,1,1,1
Lepidochitona,cinerea,39.25,1.75,1300:391:2,0.02,1,0.62873757468165,0.53007796004011,0.046278316352794,1,1,1
Lepidochitona,cinerea,39.25,2.75,1300:392:2,0.01,1,0.62304260751089,0.54353765539222,0.033333328151683,1,1,1
Lepidochitona,cinerea,39.75,2.25,1300:392:3,0.02,1,0.63406912461097,0.50465970425992,0.050161803394411,1,1,1
Lepidochitona,cinerea,39.75,2.75,1300:392:4,0.01,1,0.63784046631806,0.49481881631386,0.045348915196111,1,1,1
Lepidochitona,cinerea,39.25,3.25,1300:393:1,0.01,1,0.6272766551276,0.5333101427233,0.024271845829622,1,1,1
Lepidochitona,cinerea,39.75,3.25,1300:393:3,0.01,1,0.64123492540548,0.47399366224135,0.022977337590795,1,1,1
Lepidochitona,cinerea,39.75,3.75,1300:393:4,0.01,1,0.64145998958472,0.4817921406514,0.033980582271097,1,1,1
Lepidochitona,cinerea,39.75,4.25,1300:394:3,0.02,1,0.64872389527787,0.48147046888197,0.053721682213753,1,1,1
Lepidochitona,cinerea,36.75,6.25,1300:466:3,0.19,1,0.60826457684312,0.56686092067408,0.55467387874728,1,1,1
Lepidochitona,cinerea,36.75,6.75,1300:466:4,0.16,1,0.60323340842852,0.54514601423932,0.47843544357562,1,1,1
Lepidochitona,cinerea,36.75,7.25,1300:467:3,0.13,1,0.59880255912976,0.52461366395692,0.39942447767626,1,1,1
Lepidochitona,cinerea,36.75,7.75,1300:467:4,0.10,1,0.59518185209358,0.50593917434281,0.32757825320014,1,1,1
Lepidochitona,cinerea,36.75,8.25,1300:468:3,0.08,1,0.59285530108088,0.49009271570154,0.26761019671137,1,1,1
Lepidochitona,cinerea,36.75,8.75,1300:468:4,0.06,1,0.59260153049087,0.47927237845757,0.2178312688222,1,1,1
Lepidochitona,cinerea,37.25,6.25,1300:476:1,0.19,1,0.61711872890996,0.58196505984743,0.54045305020119,1,1,1
Lepidochitona,cinerea,37.25,6.75,1300:476:2,0.09,1,0.61528876920926,0.56588971937024,0.25857606633871,1,1,1
Lepidochitona,cinerea,37.25,7.25,1300:477:1,0.14,1,0.61227577984842,0.55451264252532,0.4139158494023,1,1,1
Lepidochitona,cinerea,37.25,7.75,1300:477:2,0.10,1,0.60950413149766,0.53546905517578,0.29870552034343,1,1,1
Lepidochitona,cinerea,37.25,8.25,1300:478:1,0.05,1,0.6114859096388,0.52656843855573,0.14886732194512,1,1,1
Lepidochitona,cinerea,37.25,8.75,1300:478:2,0.05,1,0.61380269455299,0.52545599035313,0.14433656194666,1,1,1
Lepidochitona,cinerea,37.25,9.25,1300:479:1,0.07,1,0.61768501465223,0.51707705935916,0.22103559113677,1,1,1
Lepidochitona,cinerea,37.25,9.75,1300:479:2,0.08,1,0.61970067819576,0.5047102232237,0.24045306401972,1,1,1
Lepidochitona,cinerea,38.75,8.75,1300:488:4,0.01,1,0.67820848652889,0.38693711564349,0.042718437533452,1,1,1
Lepidochitona,cinerea,39.25,8.25,1300:498:1,0.01,1,0.68279574137496,0.38350801210146,0.038187696372421,1,1,1
Lepidochitona,cinerea,39.25,8.75,1300:498:2,0.02,1,0.67915565011296,0.36605628761086,0.069802650530795,1,1,1
