Mapping parameters for Lepidogobius lepidus (Bay goby)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,55,27,-136,-114

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,96,201
Temperature (°C),1,1.68,10.17,17.99,26.12
Salinity (psu),1,22.23,25.25,33.51,40.17
Primary Production (mgC·m-3·day-1) ,1,5.21,15.58,79.81,94.08
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,16.57,298.56,300.81
Distance to Land (km),0,1,3,93,202
 

Map data (HSPEC) for predicted occurrences (n = 252): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lepidogobius,lepidus,54.25,-133.75,7513:143:2,0.07
Lepidogobius,lepidus,54.25,-128.75,7512:248:2,0.04
Lepidogobius,lepidus,53.75,-128.25,7512:238:3,0.04
Lepidogobius,lepidus,53.25,-128.75,7512:238:2,0.08
Lepidogobius,lepidus,53.25,-128.25,7512:238:1,0.04
Lepidogobius,lepidus,52.75,-127.75,7512:227:4,0.04
Lepidogobius,lepidus,52.75,-127.25,7512:227:3,0.04
Lepidogobius,lepidus,52.25,-127.25,7512:227:1,0.04
Lepidogobius,lepidus,51.75,-127.25,7512:217:3,0.09
Lepidogobius,lepidus,51.25,-126.75,7512:216:2,0.04
Lepidogobius,lepidus,51.25,-125.75,7512:215:2,0.05
Lepidogobius,lepidus,50.75,-125.75,7512:205:4,0.04
Lepidogobius,lepidus,50.75,-125.25,7512:205:3,0.05
Lepidogobius,lepidus,50.75,-124.75,7512:104:4,0.05
Lepidogobius,lepidus,50.25,-124.25,7512:104:1,0.05
Lepidogobius,lepidus,50.25,-123.75,7512:103:2,0.05
Lepidogobius,lepidus,49.75,-126.25,7412:496:3,0.05
Lepidogobius,lepidus,49.25,-125.25,7412:495:1,0.09
Lepidogobius,lepidus,48.25,-126.25,7412:486:1,0.02
Lepidogobius,lepidus,49.75,-123.25,7412:393:3,0.05
Lepidogobius,lepidus,47.75,-123.25,7412:373:3,0.05
Lepidogobius,lepidus,47.25,-123.25,7412:373:1,0.04
Lepidogobius,lepidus,47.25,-122.75,7412:372:2,0.07
Lepidogobius,lepidus,46.25,-123.25,7412:363:1,0.05
Lepidogobius,lepidus,38.25,-123.75,7312:383:2,0.06
Lepidogobius,lepidus,37.75,-122.25,7312:372:3,0.03
Lepidogobius,lepidus,32.75,-119.25,7311:229:3,0.18
Lepidogobius,lepidus,28.75,-118.25,7211:488:3,0.16
Lepidogobius,lepidus,27.75,-115.75,7211:475:4,0.11
Lepidogobius,lepidus,54.75,-134.25,7513:144:3,0.37
Lepidogobius,lepidus,52.25,-130.25,7513:120:1,0.27
Lepidogobius,lepidus,51.75,-130.25,7513:110:3,0.32
Lepidogobius,lepidus,52.25,-129.75,7512:229:2,0.39
Lepidogobius,lepidus,51.25,-129.75,7512:219:2,0.23
Lepidogobius,lepidus,37.75,-122.75,7312:372:4,0.30
Lepidogobius,lepidus,32.75,-118.75,7311:228:4,0.35
