Mapping parameters for Lepidopsetta polyxystra (Northern rock sole)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61 |  67,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,19,246,700
Temperature (°C),1,1.33,3.13,7.7,19.06
Salinity (psu),1,24.18,30.59,32.57,34.15
Primary Production (mgC·m-3·day-1) ,1,2.34,6.48,21.37,75.44
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.05,0.28
Dissolved Bottom Oxygen (mmol·m-3),0,8.29,99.3,314.69,361.86
Distance to Land (km),0,0,10,198,356
 

Map data (HSPEC) for predicted occurrences (n = 2626): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lepidopsetta,polyxystra,29.75,122.25,1212:392:3,0.01
Lepidopsetta,polyxystra,34.25,119.75,1311:249:2,0.06
Lepidopsetta,polyxystra,34.75,119.25,1311:249:3,0.11
Lepidopsetta,polyxystra,34.75,119.75,1311:249:4,0.12
Lepidopsetta,polyxystra,35.25,119.25,1311:459:1,0.07
Lepidopsetta,polyxystra,35.25,119.75,1311:459:2,0.06
Lepidopsetta,polyxystra,35.75,119.75,1311:459:4,0.10
Lepidopsetta,polyxystra,39.25,119.25,1311:499:1,0.01
Lepidopsetta,polyxystra,30.25,122.75,1312:102:2,0.01
Lepidopsetta,polyxystra,30.75,122.75,1312:102:4,0.04
Lepidopsetta,polyxystra,31.25,122.75,1312:112:2,0.03
Lepidopsetta,polyxystra,31.75,122.75,1312:112:4,0.04
Lepidopsetta,polyxystra,31.75,123.25,1312:113:3,0.06
