Mapping parameters for Lepidotrigla argus (Long-finned gurnard)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,42,145,300
Temperature (°C),1,17.79,22.42,27.77,31.97
Salinity (psu),1,33.86,34.36,35.45,36.2
Primary Production (mgC·m-3·day-1) ,1,0.87,2.14,14.76,23.95
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,105.41,179.6,214.19,230.59
Distance to Land (km),0,2,9,193,362
 

Map data (HSPEC) for predicted occurrences (n = 1992): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lepidotrigla,argus,5.75,79.75,1007:459:4,0.17
Lepidotrigla,argus,6.25,79.75,1007:469:2,0.04
Lepidotrigla,argus,7.75,79.75,1007:479:4,0.15
Lepidotrigla,argus,8.75,78.75,1007:488:4,0.11
Lepidotrigla,argus,8.75,79.25,1007:489:3,0.07
Lepidotrigla,argus,8.75,79.75,1007:489:4,0.04
Lepidotrigla,argus,5.75,80.25,1008:350:3,0.17
Lepidotrigla,argus,5.75,80.75,1008:350:4,0.11
Lepidotrigla,argus,5.75,81.25,1008:351:3,0.14
Lepidotrigla,argus,6.25,80.25,1008:360:1,0.06
Lepidotrigla,argus,6.25,80.75,1008:360:2,0.04
Lepidotrigla,argus,0.25,128.75,1012:208:2,0.04
Lepidotrigla,argus,0.75,128.25,1012:208:3,0.09
Lepidotrigla,argus,0.75,128.75,1012:208:4,0.17
Lepidotrigla,argus,0.75,129.25,1012:209:3,0.10
Lepidotrigla,argus,1.25,128.75,1012:218:2,0.19
Lepidotrigla,argus,1.75,128.75,1012:218:4,0.14
Lepidotrigla,argus,2.75,128.75,1012:228:4,0.19
Lepidotrigla,argus,5.75,126.75,1012:456:4,0.06
Lepidotrigla,argus,7.25,126.75,1012:476:2,0.04
Lepidotrigla,argus,7.75,126.75,1012:476:4,0.05
Lepidotrigla,argus,8.25,126.25,1012:486:1,0.08
Lepidotrigla,argus,8.25,126.75,1012:486:2,0.06
Lepidotrigla,argus,8.75,126.25,1012:486:3,0.10
Lepidotrigla,argus,9.25,126.25,1012:496:1,0.07
Lepidotrigla,argus,9.75,126.25,1012:496:3,0.08
Lepidotrigla,argus,0.25,130.25,1013:100:1,0.02
Lepidotrigla,argus,0.25,130.75,1013:100:2,0.04
Lepidotrigla,argus,0.75,130.75,1013:100:4,0.16
Lepidotrigla,argus,0.25,131.25,1013:101:1,0.10
Lepidotrigla,argus,8.25,137.25,1013:487:1,0.01
Lepidotrigla,argus,8.25,137.75,1013:487:2,0.01
Lepidotrigla,argus,8.75,137.25,1013:487:3,0.01
Lepidotrigla,argus,8.75,137.75,1013:487:4,0.01
Lepidotrigla,argus,9.25,138.25,1013:498:1,0.01
Lepidotrigla,argus,9.75,138.25,1013:498:3,0.01
Lepidotrigla,argus,9.75,139.75,1013:499:4,0.01
Lepidotrigla,argus,6.75,143.25,1014:363:3,0.07
Lepidotrigla,argus,7.25,143.75,1014:373:2,0.05
Lepidotrigla,argus,7.25,144.25,1014:374:1,0.05
Lepidotrigla,argus,7.25,144.75,1014:374:2,0.06
Lepidotrigla,argus,7.75,144.75,1014:374:4,0.05
Lepidotrigla,argus,8.25,140.25,1014:380:1,0.02
Lepidotrigla,argus,8.25,144.75,1014:384:2,0.03
Lepidotrigla,argus,8.75,144.75,1014:384:4,0.02
Lepidotrigla,argus,5.75,145.25,1014:455:3,0.09
Lepidotrigla,argus,5.75,145.75,1014:455:4,0.08
Lepidotrigla,argus,6.25,145.25,1014:465:1,0.04
Lepidotrigla,argus,6.75,149.25,1014:469:3,0.01
Lepidotrigla,argus,7.75,145.75,1014:475:4,0.02
Lepidotrigla,argus,7.25,146.25,1014:476:1,0.03
Lepidotrigla,argus,7.75,146.25,1014:476:3,0.02
Lepidotrigla,argus,7.25,147.25,1014:477:1,0.03
Lepidotrigla,argus,7.75,147.25,1014:477:3,0.02
Lepidotrigla,argus,7.75,147.75,1014:477:4,0.03
Lepidotrigla,argus,7.75,148.25,1014:478:3,0.03
Lepidotrigla,argus,7.75,148.75,1014:478:4,0.10
Lepidotrigla,argus,7.25,149.25,1014:479:1,0.02
Lepidotrigla,argus,7.75,149.25,1014:479:3,0.03
Lepidotrigla,argus,7.75,149.75,1014:479:4,0.01
Lepidotrigla,argus,8.25,145.25,1014:485:1,0.02
Lepidotrigla,argus,8.25,145.75,1014:485:2,0.02
Lepidotrigla,argus,8.75,145.75,1014:485:4,0.01
Lepidotrigla,argus,8.25,146.75,1014:486:2,0.02
Lepidotrigla,argus,8.25,147.25,1014:487:1,0.03
Lepidotrigla,argus,8.25,147.75,1014:487:2,0.04
Lepidotrigla,argus,8.25,148.25,1014:488:1,0.06
Lepidotrigla,argus,8.25,148.75,1014:488:2,0.09
Lepidotrigla,argus,8.75,148.75,1014:488:4,0.08
Lepidotrigla,argus,8.25,149.25,1014:489:1,0.04
Lepidotrigla,argus,8.75,149.75,1014:489:4,0.07
Lepidotrigla,argus,9.25,148.25,1014:498:1,0.05
Lepidotrigla,argus,5.25,153.25,1015:353:1,0.09
Lepidotrigla,argus,5.25,153.75,1015:353:2,0.15
Lepidotrigla,argus,5.75,153.25,1015:353:3,0.11
Lepidotrigla,argus,5.75,153.75,1015:353:4,0.11
Lepidotrigla,argus,7.25,151.25,1015:371:1,0.02
Lepidotrigla,argus,7.25,151.75,1015:371:2,0.03
Lepidotrigla,argus,7.75,151.75,1015:371:4,0.03
Lepidotrigla,argus,7.25,152.25,1015:372:1,0.01
Lepidotrigla,argus,8.75,150.25,1015:380:3,0.05
Lepidotrigla,argus,9.25,150.25,1015:390:1,0.04
Lepidotrigla,argus,5.75,157.25,1015:457:3,0.18
Lepidotrigla,argus,6.75,157.75,1015:467:4,0.05
Lepidotrigla,argus,6.75,158.25,1015:468:3,0.08
Lepidotrigla,argus,7.75,155.25,1015:475:3,0.02
Lepidotrigla,argus,7.25,157.75,1015:477:2,0.04
Lepidotrigla,argus,7.25,158.25,1015:478:1,0.07
Lepidotrigla,argus,6.25,160.75,1016:360:2,0.16
Lepidotrigla,argus,9.75,160.75,1016:390:4,0.01
Lepidotrigla,argus,9.75,161.25,1016:391:3,0.01
Lepidotrigla,argus,12.75,124.75,1112:124:4,0.03
Lepidotrigla,argus,13.25,124.25,1112:134:1,0.07
Lepidotrigla,argus,13.75,124.25,1112:134:3,0.09
Lepidotrigla,argus,13.75,124.75,1112:134:4,0.07
Lepidotrigla,argus,14.75,122.75,1112:142:4,0.01
Lepidotrigla,argus,14.25,123.75,1112:143:2,0.02
Lepidotrigla,argus,14.75,123.25,1112:143:3,0.17
Lepidotrigla,argus,14.25,124.25,1112:144:1,0.09
Lepidotrigla,argus,14.25,124.75,1112:144:2,0.06
Lepidotrigla,argus,10.75,125.75,1112:205:4,0.07
Lepidotrigla,argus,10.25,126.25,1112:206:1,0.03
Lepidotrigla,argus,10.75,126.25,1112:206:3,0.02
Lepidotrigla,argus,15.25,122.25,1112:352:1,0.01
Lepidotrigla,argus,15.75,124.25,1112:354:3,0.10
Lepidotrigla,argus,16.25,122.25,1112:362:1,0.11
Lepidotrigla,argus,16.75,122.25,1112:362:3,0.10
Lepidotrigla,argus,17.25,122.25,1112:372:1,0.16
Lepidotrigla,argus,10.25,139.75,1113:209:2,0.02
Lepidotrigla,argus,13.75,144.75,1114:134:4,0.03
Lepidotrigla,argus,15.25,145.75,1114:455:2,0.12
Lepidotrigla,argus,16.25,145.75,1114:465:2,0.08
Lepidotrigla,argus,16.75,145.75,1114:465:4,0.08
Lepidotrigla,argus,16.25,146.25,1114:466:1,0.04
Lepidotrigla,argus,17.25,145.75,1114:475:2,0.05
Lepidotrigla,argus,17.75,145.75,1114:475:4,0.11
Lepidotrigla,argus,18.25,145.75,1114:485:2,0.14
Lepidotrigla,argus,18.75,145.75,1114:485:4,0.15
Lepidotrigla,argus,19.75,145.25,1114:495:3,0.19
Lepidotrigla,argus,11.25,169.75,1116:219:2,0.15
Lepidotrigla,argus,19.75,160.25,1116:390:3,0.07
Lepidotrigla,argus,24.25,121.75,1212:141:2,0.19
Lepidotrigla,argus,24.75,126.25,1212:246:3,0.08
Lepidotrigla,argus,25.75,122.25,1212:352:3,0.16
Lepidotrigla,argus,27.75,125.25,1212:475:3,0.18
Lepidotrigla,argus,27.25,129.25,1212:479:1,0.17
Lepidotrigla,argus,28.75,125.75,1212:485:4,0.03
Lepidotrigla,argus,29.75,129.25,1212:499:3,0.12
Lepidotrigla,argus,29.25,130.25,1213:390:1,0.05
Lepidotrigla,argus,23.25,141.75,1214:131:2,0.14
Lepidotrigla,argus,24.25,141.25,1214:141:1,0.02
Lepidotrigla,argus,24.25,141.75,1214:141:2,0.06
Lepidotrigla,argus,24.75,141.25,1214:141:3,0.06
Lepidotrigla,argus,25.25,141.25,1214:351:1,0.13
Lepidotrigla,argus,25.75,141.25,1214:351:3,0.11
Lepidotrigla,argus,27.75,141.75,1214:371:4,0.19
Lepidotrigla,argus,28.25,141.75,1214:381:2,0.17
Lepidotrigla,argus,29.75,140.25,1214:390:3,0.11
Lepidotrigla,argus,27.25,145.25,1214:475:1,0.06
Lepidotrigla,argus,24.25,154.25,1215:144:1,0.02
Lepidotrigla,argus,23.75,157.25,1215:237:3,0.03
Lepidotrigla,argus,20.25,160.75,1216:100:2,0.03
Lepidotrigla,argus,30.25,127.25,1312:207:1,0.19
Lepidotrigla,argus,30.75,127.25,1312:207:3,0.02
Lepidotrigla,argus,30.25,129.25,1312:209:1,0.19
Lepidotrigla,argus,32.25,127.25,1312:227:1,0.01
Lepidotrigla,argus,32.75,128.25,1312:228:3,0.19
Lepidotrigla,argus,32.75,128.75,1312:228:4,0.16
Lepidotrigla,argus,32.25,129.75,1312:229:2,0.02
Lepidotrigla,argus,32.75,129.25,1312:229:3,0.05
Lepidotrigla,argus,33.25,127.75,1312:237:2,0.08
Lepidotrigla,argus,33.25,128.25,1312:238:1,0.12
Lepidotrigla,argus,33.25,128.75,1312:238:2,0.07
Lepidotrigla,argus,33.75,129.25,1312:239:3,0.04
Lepidotrigla,argus,31.75,130.25,1313:110:3,0.06
Lepidotrigla,argus,33.25,131.75,1313:131:2,0.03
Lepidotrigla,argus,33.75,131.75,1313:131:4,0.03
Lepidotrigla,argus,33.75,132.25,1313:132:3,0.05
Lepidotrigla,argus,33.75,135.25,1313:235:3,0.10
Lepidotrigla,argus,33.75,135.75,1313:235:4,0.14
Lepidotrigla,argus,33.75,136.25,1313:236:3,0.11
Lepidotrigla,argus,34.25,137.25,1313:247:1,0.10
Lepidotrigla,argus,34.75,138.25,1313:248:3,0.01
Lepidotrigla,argus,34.75,138.75,1313:248:4,0.02
Lepidotrigla,argus,34.75,139.75,1313:249:4,0.14
Lepidotrigla,argus,35.75,141.25,1314:351:3,0.12
Lepidotrigla,argus,35.25,171.75,1317:351:2,0.10
Lepidotrigla,argus,35.75,171.25,1317:351:3,0.04
Lepidotrigla,argus,-8.25,108.25,3010:488:1,0.05
Lepidotrigla,argus,-8.25,108.75,3010:488:2,0.04
Lepidotrigla,argus,-8.25,109.25,3010:489:1,0.03
Lepidotrigla,argus,-8.25,129.75,3012:489:2,0.12
Lepidotrigla,argus,-9.75,127.75,3012:497:4,0.09
