Mapping parameters for Leptocottus armatus (Pacific staghorn sculpin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67 |  77,
Bounding Box (NSWE): ,60,33,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,16,75,156
Temperature (°C),1,1.08,6.08,13.19,18.71
Salinity (psu),1,23.84,25.75,32.85,36.78
Primary Production (mgC·m-3·day-1) ,1,3.05,12.88,61.71,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.19
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,94.09,307.91,353.35
Distance to Land (km),0,0,3,72,559
 

Map data (HSPEC) for predicted occurrences (n = 1645): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Leptocottus,armatus,59.75,-178.75,7517:498:4,0.11
Leptocottus,armatus,59.75,-178.25,7517:498:3,0.07
Leptocottus,armatus,59.25,-178.25,7517:498:1,0.07
Leptocottus,armatus,59.75,-177.75,7517:497:4,0.03
Leptocottus,armatus,59.75,-177.25,7517:497:3,0.08
Leptocottus,armatus,59.25,-177.75,7517:497:2,0.13
Leptocottus,armatus,59.25,-177.25,7517:497:1,0.09
Leptocottus,armatus,59.75,-176.75,7517:496:4,0.12
Leptocottus,armatus,59.75,-176.25,7517:496:3,0.08
Leptocottus,armatus,59.25,-176.75,7517:496:2,0.12
Leptocottus,armatus,59.25,-176.25,7517:496:1,0.12
Leptocottus,armatus,59.75,-175.75,7517:495:4,0.09
Leptocottus,armatus,59.75,-175.25,7517:495:3,0.07
Leptocottus,armatus,59.25,-175.75,7517:495:2,0.12
Leptocottus,armatus,59.25,-175.25,7517:495:1,0.16
Leptocottus,armatus,58.75,-177.75,7517:487:4,0.08
Leptocottus,armatus,58.75,-177.25,7517:487:3,0.18
Leptocottus,armatus,58.75,-176.75,7517:486:4,0.18
Leptocottus,armatus,58.75,-176.25,7517:486:3,0.18
Leptocottus,armatus,58.75,-175.75,7517:485:4,0.15
Leptocottus,armatus,58.75,-175.25,7517:485:3,0.16
Leptocottus,armatus,58.25,-175.75,7517:485:2,0.03
Leptocottus,armatus,58.25,-175.25,7517:485:1,0.09
Leptocottus,armatus,59.75,-174.75,7517:394:4,0.11
Leptocottus,armatus,59.75,-174.25,7517:394:3,0.09
Leptocottus,armatus,59.25,-174.75,7517:394:2,0.18
Leptocottus,armatus,59.25,-174.25,7517:394:1,0.16
Leptocottus,armatus,59.75,-173.75,7517:393:4,0.07
Leptocottus,armatus,59.75,-173.25,7517:393:3,0.04
Leptocottus,armatus,59.25,-173.75,7517:393:2,0.15
Leptocottus,armatus,59.25,-173.25,7517:393:1,0.13
Leptocottus,armatus,59.75,-172.75,7517:392:4,0.02
Leptocottus,armatus,59.75,-172.25,7517:392:3,0.01
Leptocottus,armatus,59.25,-172.75,7517:392:2,0.10
Leptocottus,armatus,59.25,-172.25,7517:392:1,0.07
Leptocottus,armatus,59.75,-171.75,7517:391:4,0.01
Leptocottus,armatus,59.75,-171.25,7517:391:3,0.02
Leptocottus,armatus,59.25,-171.75,7517:391:2,0.05
Leptocottus,armatus,59.25,-171.25,7517:391:1,0.05
Leptocottus,armatus,59.75,-170.75,7517:390:4,0.02
Leptocottus,armatus,59.75,-170.25,7517:390:3,0.01
Leptocottus,armatus,59.25,-170.75,7517:390:2,0.05
Leptocottus,armatus,59.25,-170.25,7517:390:1,0.04
Leptocottus,armatus,58.75,-174.75,7517:384:4,0.14
Leptocottus,armatus,58.75,-174.25,7517:384:3,0.12
Leptocottus,armatus,58.75,-173.75,7517:383:4,0.19
Leptocottus,armatus,58.75,-172.25,7517:382:3,0.18
Leptocottus,armatus,58.75,-171.75,7517:381:4,0.15
Leptocottus,armatus,58.75,-171.25,7517:381:3,0.12
Leptocottus,armatus,58.75,-170.75,7517:380:4,0.10
Leptocottus,armatus,58.75,-170.25,7517:380:3,0.09
Leptocottus,armatus,58.25,-170.75,7517:380:2,0.18
Leptocottus,armatus,58.25,-170.25,7517:380:1,0.15
Leptocottus,armatus,57.75,-174.25,7517:374:3,0.15
Leptocottus,armatus,57.25,-173.75,7517:373:2,0.19
Leptocottus,armatus,56.75,-173.25,7517:363:3,0.13
Leptocottus,armatus,52.75,-179.75,7517:229:4,0.17
Leptocottus,armatus,52.75,-179.25,7517:229:3,0.09
Leptocottus,armatus,53.25,-170.25,7517:130:1,0.15
Leptocottus,armatus,52.75,-172.25,7517:122:3,0.07
Leptocottus,armatus,51.75,-172.25,7517:112:3,0.02
Leptocottus,armatus,51.75,-171.75,7517:111:4,0.13
Leptocottus,armatus,59.75,-169.75,7516:499:4,0.01
Leptocottus,armatus,59.25,-169.75,7516:499:2,0.03
Leptocottus,armatus,59.25,-169.25,7516:499:1,0.02
Leptocottus,armatus,59.25,-168.75,7516:498:2,0.01
Leptocottus,armatus,59.25,-168.25,7516:498:1,0.01
Leptocottus,armatus,58.75,-169.75,7516:489:4,0.08
Leptocottus,armatus,58.75,-169.25,7516:489:3,0.06
Leptocottus,armatus,58.25,-169.75,7516:489:2,0.14
Leptocottus,armatus,58.25,-169.25,7516:489:1,0.10
Leptocottus,armatus,58.75,-168.75,7516:488:4,0.04
Leptocottus,armatus,58.75,-168.25,7516:488:3,0.03
Leptocottus,armatus,58.25,-168.75,7516:488:2,0.09
Leptocottus,armatus,58.25,-168.25,7516:488:1,0.08
Leptocottus,armatus,58.75,-167.75,7516:487:4,0.02
Leptocottus,armatus,58.75,-167.25,7516:487:3,0.02
Leptocottus,armatus,58.25,-167.75,7516:487:2,0.06
Leptocottus,armatus,58.25,-167.25,7516:487:1,0.05
Leptocottus,armatus,58.75,-166.75,7516:486:4,0.01
Leptocottus,armatus,58.25,-166.75,7516:486:2,0.04
Leptocottus,armatus,58.25,-166.25,7516:486:1,0.03
Leptocottus,armatus,58.25,-165.75,7516:485:2,0.02
Leptocottus,armatus,58.25,-165.25,7516:485:1,0.02
Leptocottus,armatus,57.75,-168.25,7516:478:3,0.17
Leptocottus,armatus,57.75,-167.75,7516:477:4,0.14
Leptocottus,armatus,57.75,-167.25,7516:477:3,0.12
Leptocottus,armatus,57.75,-166.75,7516:476:4,0.10
Leptocottus,armatus,57.75,-166.25,7516:476:3,0.09
Leptocottus,armatus,57.75,-165.75,7516:475:4,0.08
Leptocottus,armatus,57.75,-165.25,7516:475:3,0.06
Leptocottus,armatus,57.25,-165.75,7516:475:2,0.18
Leptocottus,armatus,57.25,-165.25,7516:475:1,0.16
Leptocottus,armatus,55.25,-167.75,7516:457:2,0.11
Leptocottus,armatus,55.25,-167.25,7516:457:1,0.13
Leptocottus,armatus,59.75,-163.75,7516:393:4,0.05
Leptocottus,armatus,59.25,-163.25,7516:393:1,0.03
Leptocottus,armatus,59.25,-162.75,7516:392:2,0.06
Leptocottus,armatus,59.25,-162.25,7516:392:1,0.05
Leptocottus,armatus,59.25,-161.75,7516:391:2,0.06
Leptocottus,armatus,59.25,-160.75,7516:390:2,0.07
Leptocottus,armatus,59.25,-160.25,7516:390:1,0.06
Leptocottus,armatus,58.25,-164.75,7516:384:2,0.01
Leptocottus,armatus,58.25,-164.25,7516:384:1,0.01
Leptocottus,armatus,58.25,-163.75,7516:383:2,0.01
Leptocottus,armatus,58.75,-162.25,7516:382:3,0.01
Leptocottus,armatus,58.25,-162.75,7516:382:2,0.01
Leptocottus,armatus,58.25,-162.25,7516:382:1,0.02
Leptocottus,armatus,58.75,-161.75,7516:381:4,0.03
Leptocottus,armatus,58.75,-161.25,7516:381:3,0.03
Leptocottus,armatus,58.25,-161.75,7516:381:2,0.03
Leptocottus,armatus,58.25,-161.25,7516:381:1,0.05
Leptocottus,armatus,58.75,-160.75,7516:380:4,0.01
Leptocottus,armatus,58.25,-160.75,7516:380:2,0.04
Leptocottus,armatus,58.25,-160.25,7516:380:1,0.02
Leptocottus,armatus,57.75,-164.75,7516:374:4,0.05
Leptocottus,armatus,57.75,-164.25,7516:374:3,0.05
Leptocottus,armatus,57.25,-164.75,7516:374:2,0.15
Leptocottus,armatus,57.25,-164.25,7516:374:1,0.14
Leptocottus,armatus,57.75,-163.75,7516:373:4,0.05
Leptocottus,armatus,57.75,-163.25,7516:373:3,0.04
Leptocottus,armatus,57.25,-163.75,7516:373:2,0.12
Leptocottus,armatus,57.25,-163.25,7516:373:1,0.10
Leptocottus,armatus,57.75,-162.75,7516:372:4,0.04
Leptocottus,armatus,57.75,-162.25,7516:372:3,0.06
Leptocottus,armatus,57.25,-162.75,7516:372:2,0.09
Leptocottus,armatus,57.25,-162.25,7516:372:1,0.10
Leptocottus,armatus,57.75,-161.75,7516:371:4,0.07
Leptocottus,armatus,57.75,-161.25,7516:371:3,0.08
Leptocottus,armatus,57.25,-161.75,7516:371:2,0.12
Leptocottus,armatus,57.25,-161.25,7516:371:1,0.14
Leptocottus,armatus,57.75,-160.75,7516:370:4,0.08
Leptocottus,armatus,57.75,-160.25,7516:370:3,0.08
Leptocottus,armatus,57.25,-160.75,7516:370:2,0.16
Leptocottus,armatus,57.25,-160.25,7516:370:1,0.17
Leptocottus,armatus,54.75,-166.75,7516:246:4,0.14
Leptocottus,armatus,59.25,-158.75,7515:498:2,0.01
Leptocottus,armatus,59.25,-158.25,7515:498:1,0.01
Leptocottus,armatus,59.25,-156.75,7515:496:2,0.04
Leptocottus,armatus,58.75,-159.75,7515:489:4,0.01
Leptocottus,armatus,58.75,-159.25,7515:489:3,0.12
Leptocottus,armatus,58.25,-159.75,7515:489:2,0.01
Leptocottus,armatus,58.25,-158.75,7515:488:2,0.03
Leptocottus,armatus,58.25,-158.25,7515:488:1,0.10
Leptocottus,armatus,58.25,-157.25,7515:487:1,0.16
Leptocottus,armatus,58.25,-155.25,7515:485:1,0.12
Leptocottus,armatus,57.75,-159.75,7515:479:4,0.06
Leptocottus,armatus,57.75,-159.25,7515:479:3,0.04
Leptocottus,armatus,57.25,-159.75,7515:479:2,0.13
Leptocottus,armatus,57.25,-159.25,7515:479:1,0.09
Leptocottus,armatus,57.75,-158.75,7515:478:4,0.03
Leptocottus,armatus,57.75,-158.25,7515:478:3,0.04
Leptocottus,armatus,57.25,-158.75,7515:478:2,0.07
Leptocottus,armatus,57.25,-158.25,7515:478:1,0.08
