Mapping parameters for Leuresthes tenuis (California grunion)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,37,24,-123,-111

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,10,18
Temperature (°C),1,12.22,14.05,22.52,23.84
Salinity (psu),1,32.46,33.2,34.86,35.36
Primary Production (mgC·m-3·day-1) ,1,1.56,3.66,52.5,91.51
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.1,10.84,226.65,253.89
Distance to Land (km),0,0,4,93,192
 

Map data (HSPEC) for predicted occurrences (n = 83): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Leuresthes,tenuis,36.75,-122.25,7312:362:3,0.10
Leuresthes,tenuis,36.25,-121.25,7312:361:1,0.10
Leuresthes,tenuis,31.75,-114.25,7311:114:3,0.17
Leuresthes,tenuis,31.75,-113.75,7311:113:4,0.13
Leuresthes,tenuis,29.75,-112.75,7211:392:4,0.01
Leuresthes,tenuis,29.75,-112.25,7211:392:3,0.02
Leuresthes,tenuis,29.25,-112.25,7211:392:1,0.14
Leuresthes,tenuis,28.75,-111.75,7211:381:4,0.05
Leuresthes,tenuis,27.75,-112.25,7211:372:3,0.04
Leuresthes,tenuis,26.75,-111.75,7211:361:4,0.04
Leuresthes,tenuis,24.25,-111.75,7211:141:2,0.10
Leuresthes,tenuis,24.25,-111.25,7211:141:1,0.02
Leuresthes,tenuis,36.25,-121.75,7312:361:2,0.21
Leuresthes,tenuis,29.25,-113.25,7211:393:1,0.39
Leuresthes,tenuis,28.75,-114.75,7211:384:4,0.25
Leuresthes,tenuis,28.75,-112.25,7211:382:3,0.33
Leuresthes,tenuis,35.75,-121.25,7312:351:3,0.46
Leuresthes,tenuis,30.25,-114.75,7311:104:2,0.48
Leuresthes,tenuis,28.75,-112.75,7211:382:4,0.57
Leuresthes,tenuis,35.25,-120.75,7312:350:2,0.79
Leuresthes,tenuis,34.75,-120.75,7312:140:4,0.79
Leuresthes,tenuis,29.25,-113.75,7211:393:2,0.77
Leuresthes,tenuis,24.75,-111.75,7211:141:4,0.64
Leuresthes,tenuis,34.75,-120.25,7312:140:3,1.00
Leuresthes,tenuis,34.25,-120.25,7312:140:1,1.00
Leuresthes,tenuis,33.75,-120.25,7312:130:3,1.00
Leuresthes,tenuis,34.25,-119.75,7311:249:2,1.00
Leuresthes,tenuis,34.25,-119.25,7311:249:1,1.00
Leuresthes,tenuis,34.25,-118.75,7311:248:2,1.00
Leuresthes,tenuis,34.25,-118.25,7311:248:1,1.00
Leuresthes,tenuis,33.75,-119.75,7311:239:4,1.00
Leuresthes,tenuis,33.25,-119.75,7311:239:2,1.00
Leuresthes,tenuis,33.25,-119.25,7311:239:1,1.00
Leuresthes,tenuis,33.75,-118.75,7311:238:4,1.00
Leuresthes,tenuis,33.75,-118.25,7311:238:3,1.00
Leuresthes,tenuis,33.25,-118.75,7311:238:2,1.00
Leuresthes,tenuis,33.25,-118.25,7311:238:1,1.00
Leuresthes,tenuis,33.75,-117.75,7311:237:4,1.00
Leuresthes,tenuis,33.25,-117.75,7311:237:2,1.00
Leuresthes,tenuis,33.25,-117.25,7311:237:1,1.00
Leuresthes,tenuis,32.75,-118.75,7311:228:4,1.00
Leuresthes,tenuis,32.75,-118.25,7311:228:3,1.00
Leuresthes,tenuis,32.75,-117.25,7311:227:3,0.99
Leuresthes,tenuis,32.25,-117.25,7311:227:1,1.00
Leuresthes,tenuis,32.25,-116.75,7311:226:2,1.00
Leuresthes,tenuis,31.75,-116.75,7311:216:4,1.00
Leuresthes,tenuis,31.25,-116.75,7311:216:2,1.00
Leuresthes,tenuis,31.25,-116.25,7311:216:1,1.00
Leuresthes,tenuis,30.75,-116.25,7311:206:3,1.00
Leuresthes,tenuis,30.25,-116.25,7311:206:1,1.00
Leuresthes,tenuis,30.75,-115.75,7311:205:4,1.00
Leuresthes,tenuis,30.25,-115.75,7311:205:2,1.00
Leuresthes,tenuis,29.25,-118.25,7211:498:1,1.00
Leuresthes,tenuis,29.75,-115.75,7211:495:4,1.00
Leuresthes,tenuis,29.75,-115.25,7211:495:3,1.00
Leuresthes,tenuis,29.25,-115.25,7211:495:1,1.00
Leuresthes,tenuis,28.75,-118.25,7211:488:3,1.00
Leuresthes,tenuis,28.25,-115.75,7211:485:2,1.00
Leuresthes,tenuis,28.25,-115.25,7211:485:1,1.00
Leuresthes,tenuis,27.75,-115.25,7211:475:3,1.00
Leuresthes,tenuis,29.25,-114.75,7211:394:2,1.00
Leuresthes,tenuis,28.75,-114.25,7211:384:3,1.00
Leuresthes,tenuis,28.25,-114.75,7211:384:2,1.00
Leuresthes,tenuis,28.25,-114.25,7211:384:1,1.00
Leuresthes,tenuis,28.75,-113.75,7211:383:4,1.00
Leuresthes,tenuis,28.75,-113.25,7211:383:3,1.00
Leuresthes,tenuis,28.25,-112.75,7211:382:2,0.88
Leuresthes,tenuis,27.75,-114.75,7211:374:4,1.00
Leuresthes,tenuis,27.75,-114.25,7211:374:3,1.00
Leuresthes,tenuis,27.25,-114.75,7211:374:2,1.00
Leuresthes,tenuis,27.25,-114.25,7211:374:1,1.00
Leuresthes,tenuis,27.75,-113.75,7211:373:4,1.00
Leuresthes,tenuis,27.25,-113.75,7211:373:2,1.00
Leuresthes,tenuis,27.75,-112.75,7211:372:4,1.00
Leuresthes,tenuis,26.75,-113.75,7211:363:4,1.00
Leuresthes,tenuis,26.75,-113.25,7211:363:3,1.00
Leuresthes,tenuis,26.75,-112.75,7211:362:4,1.00
Leuresthes,tenuis,26.25,-112.75,7211:362:2,1.00
Leuresthes,tenuis,26.25,-112.25,7211:362:1,1.00
Leuresthes,tenuis,25.75,-112.75,7211:352:4,1.00
Leuresthes,tenuis,25.75,-112.25,7211:352:3,1.00
Leuresthes,tenuis,25.25,-112.25,7211:352:1,1.00
Leuresthes,tenuis,24.75,-112.25,7211:142:3,1.00


Occurrence cells used for creating environmental envelope (n = 42)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
