Mapping parameters for Leviprora inops (Longhead flathead)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,14,25
Temperature (°C),1,11.82,17.07,22.26,26.25
Salinity (psu),1,33.37,35.32,38.7,39.2
Primary Production (mgC·m-3·day-1) ,1,0.58,1.58,9.55,11.3
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,196.95,218.44,244.8,270.38
Distance to Land (km),0,1,3,91,119
 

Map data (HSPEC) for predicted occurrences (n = 257): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Leviprora,inops,-21.75,113.75,3211:113:4,0.09
Leviprora,inops,-21.25,114.75,3211:114:2,0.05
Leviprora,inops,-21.75,114.25,3211:114:3,0.16
Leviprora,inops,-21.75,114.75,3211:114:4,0.13
Leviprora,inops,-22.25,113.75,3211:123:2,0.15
Leviprora,inops,-20.75,115.25,3211:205:3,0.03
Leviprora,inops,-20.75,115.75,3211:205:4,0.02
Leviprora,inops,-20.75,116.25,3211:206:3,0.01
Leviprora,inops,-20.75,116.75,3211:206:4,0.01
Leviprora,inops,-20.75,117.25,3211:207:3,0.01
Leviprora,inops,-20.75,117.75,3211:207:4,0.01
Leviprora,inops,-21.25,115.25,3211:215:1,0.06
Leviprora,inops,-21.25,115.75,3211:215:2,0.05
Leviprora,inops,-21.75,115.25,3211:215:3,0.11
Leviprora,inops,-28.25,113.25,3211:383:1,0.15
Leviprora,inops,-34.25,119.75,3311:249:2,0.18
Leviprora,inops,-34.75,119.25,3311:249:3,0.19
Leviprora,inops,-34.25,123.75,3312:143:2,0.05
Leviprora,inops,-32.75,128.25,3312:228:3,0.18
Leviprora,inops,-32.75,128.75,3312:228:4,0.18
Leviprora,inops,-32.25,130.75,3313:120:2,0.09
Leviprora,inops,-33.75,133.25,3313:133:3,0.18
Leviprora,inops,-33.25,138.25,3313:238:1,0.06
Leviprora,inops,-36.75,137.25,3313:467:3,0.10
Leviprora,inops,-43.25,145.25,3414:235:1,0.10
Leviprora,inops,-22.75,113.75,3211:123:4,0.25
Leviprora,inops,-22.25,114.25,3211:124:1,0.23
Leviprora,inops,-22.25,114.75,3211:124:2,0.20
Leviprora,inops,-23.25,113.25,3211:133:1,0.26
Leviprora,inops,-23.25,113.75,3211:133:2,0.34
Leviprora,inops,-23.75,113.25,3211:133:3,0.36
Leviprora,inops,-33.25,114.75,3311:134:2,0.27
Leviprora,inops,-34.75,118.75,3311:248:4,0.24
Leviprora,inops,-35.25,118.25,3311:458:1,0.31
Leviprora,inops,-32.25,129.25,3312:229:1,0.36
Leviprora,inops,-32.25,129.75,3312:229:2,0.27
Leviprora,inops,-33.25,137.25,3313:237:1,0.27
Leviprora,inops,-34.25,136.75,3313:246:2,0.24
Leviprora,inops,-36.25,136.25,3313:466:1,0.38
Leviprora,inops,-38.75,143.75,3314:383:4,0.29
Leviprora,inops,-40.25,145.25,3414:205:1,0.22
Leviprora,inops,-40.75,146.25,3414:206:3,0.35
Leviprora,inops,-40.75,147.75,3414:207:4,0.20
Leviprora,inops,-23.75,113.75,3211:133:4,0.44
Leviprora,inops,-24.75,112.75,3211:142:4,0.48
Leviprora,inops,-24.25,113.25,3211:143:1,0.45
Leviprora,inops,-25.25,112.75,3211:352:2,0.55
Leviprora,inops,-31.75,115.25,3311:215:3,0.55
Leviprora,inops,-34.75,117.75,3311:247:4,0.48
Leviprora,inops,-34.25,119.25,3311:249:1,0.43
Leviprora,inops,-34.75,119.75,3311:249:4,0.44
Leviprora,inops,-33.25,123.75,3312:133:2,0.50
Leviprora,inops,-32.75,126.75,3312:226:4,0.55
Leviprora,inops,-33.75,125.25,3312:235:3,0.56
Leviprora,inops,-32.25,131.75,3313:121:2,0.45
Leviprora,inops,-33.75,136.75,3313:236:4,0.51
Leviprora,inops,-34.25,135.75,3313:245:2,0.50
Leviprora,inops,-34.25,137.25,3313:247:1,0.47
Leviprora,inops,-36.75,139.75,3313:469:4,0.51
Leviprora,inops,-24.75,113.25,3211:143:3,0.67
Leviprora,inops,-24.75,113.75,3211:143:4,0.68
Leviprora,inops,-25.75,112.75,3211:352:4,0.60
Leviprora,inops,-25.25,113.25,3211:353:1,0.76
Leviprora,inops,-25.75,113.25,3211:353:3,0.79
Leviprora,inops,-25.75,114.25,3211:354:3,0.75
Leviprora,inops,-26.25,113.25,3211:363:1,0.73
Leviprora,inops,-26.75,113.25,3211:363:3,0.72
Leviprora,inops,-27.25,113.25,3211:373:1,0.76
Leviprora,inops,-34.25,118.75,3311:248:2,0.68
Leviprora,inops,-34.75,118.25,3311:248:3,0.60
Leviprora,inops,-35.25,117.75,3311:457:2,0.66
Leviprora,inops,-34.25,120.25,3312:140:1,0.68
Leviprora,inops,-34.25,124.25,3312:144:1,0.72
Leviprora,inops,-32.25,130.25,3313:120:1,0.64
Leviprora,inops,-33.75,137.25,3313:237:3,0.75
Leviprora,inops,-33.75,137.75,3313:237:4,0.77
Leviprora,inops,-38.25,144.25,3314:384:1,0.75
Leviprora,inops,-38.25,144.75,3314:384:2,0.75
Leviprora,inops,-38.75,144.25,3314:384:3,0.76
Leviprora,inops,-39.75,144.75,3314:394:4,0.67
Leviprora,inops,-38.25,145.25,3314:485:1,0.74
Leviprora,inops,-38.25,145.75,3314:485:2,0.74
Leviprora,inops,-38.75,145.25,3314:485:3,0.75
Leviprora,inops,-38.75,145.75,3314:485:4,0.74
Leviprora,inops,-38.75,146.25,3314:486:3,0.70
Leviprora,inops,-38.75,146.75,3314:486:4,0.71
Leviprora,inops,-38.25,147.25,3314:487:1,0.74
Leviprora,inops,-38.25,147.75,3314:487:2,0.74
Leviprora,inops,-38.75,147.25,3314:487:3,0.72
Leviprora,inops,-38.75,147.75,3314:487:4,0.76
Leviprora,inops,-39.25,146.25,3314:496:1,0.72
Leviprora,inops,-39.25,146.75,3314:496:2,0.71
Leviprora,inops,-39.25,147.25,3314:497:1,0.70
Leviprora,inops,-39.75,147.25,3314:497:3,0.68
Leviprora,inops,-39.75,147.75,3314:497:4,0.68
Leviprora,inops,-40.25,145.75,3414:205:2,0.66
Leviprora,inops,-40.75,145.75,3414:205:4,0.62
Leviprora,inops,-40.25,146.75,3414:206:2,0.68
Leviprora,inops,-40.75,146.75,3414:206:4,0.65
Leviprora,inops,-40.25,147.25,3414:207:1,0.68
Leviprora,inops,-40.25,147.75,3414:207:2,0.66
Leviprora,inops,-40.75,147.25,3414:207:3,0.65
Leviprora,inops,-25.25,113.75,3211:353:2,0.82
Leviprora,inops,-25.75,113.75,3211:353:4,0.85
Leviprora,inops,-26.25,113.75,3211:363:2,0.80
Leviprora,inops,-26.75,113.75,3211:363:4,0.84
Leviprora,inops,-26.25,114.25,3211:364:1,0.81
Leviprora,inops,-27.25,113.75,3211:373:2,0.88
Leviprora,inops,-27.75,113.25,3211:373:3,0.80
Leviprora,inops,-27.75,113.75,3211:373:4,0.97
Leviprora,inops,-27.25,114.25,3211:374:1,0.93
Leviprora,inops,-27.75,114.25,3211:374:3,0.97
Leviprora,inops,-28.25,113.75,3211:383:2,1.00
Leviprora,inops,-28.75,113.75,3211:383:4,0.96
Leviprora,inops,-28.25,114.25,3211:384:1,1.00
Leviprora,inops,-28.25,114.75,3211:384:2,0.96
Leviprora,inops,-28.75,114.25,3211:384:3,1.00
Leviprora,inops,-28.75,114.75,3211:384:4,0.98
Leviprora,inops,-29.25,114.25,3211:394:1,1.00
Leviprora,inops,-29.25,114.75,3211:394:2,0.98
Leviprora,inops,-29.75,114.75,3211:394:4,1.00
Leviprora,inops,-29.25,115.25,3211:495:1,0.99
Leviprora,inops,-29.75,115.25,3211:495:3,1.00
Leviprora,inops,-30.25,114.75,3311:104:2,1.00
