Mapping parameters for Liparis gibbus (Variegated snailfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  21 |  27 |  67,
Bounding Box (NSWE): ,84,43,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,100,200,647
Temperature (°C),1,-1.61,-0.25,7.45,14.86
Salinity (psu),1,17.97,27.75,32.31,35.01
Primary Production (mgC·m-3·day-1) ,1,0.4,1.98,20.39,42.4
Sea Ice Concentration (0-1 fraction),1,-0.8,0,0.55,0.96
Dissolved Bottom Oxygen (mmol·m-3),0,1.33,207.72,351.6,408.56
Distance to Land (km),0,0,8,169,429
 

Map data (HSPEC) for predicted occurrences (n = 13698): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Liparis,gibbus,49.25,0.25,1400:390:1,0.04
Liparis,gibbus,49.75,0.25,1400:390:3,0.03
Liparis,gibbus,49.75,0.75,1400:390:4,0.05
Liparis,gibbus,49.75,1.25,1400:391:3,0.05
Liparis,gibbus,50.25,0.25,1500:100:1,0.04
Liparis,gibbus,50.25,0.75,1500:100:2,0.05
Liparis,gibbus,50.75,0.25,1500:100:3,0.07
Liparis,gibbus,50.75,0.75,1500:100:4,0.10
Liparis,gibbus,50.25,1.25,1500:101:1,0.05
Liparis,gibbus,50.25,1.75,1500:101:2,0.06
Liparis,gibbus,50.75,1.25,1500:101:3,0.06
Liparis,gibbus,50.75,1.75,1500:101:4,0.07
Liparis,gibbus,51.25,0.75,1500:110:2,0.05
Liparis,gibbus,51.75,0.75,1500:110:4,0.12
Liparis,gibbus,51.25,1.25,1500:111:1,0.07
Liparis,gibbus,51.25,1.75,1500:111:2,0.05
Liparis,gibbus,51.75,1.25,1500:111:3,0.09
Liparis,gibbus,51.75,1.75,1500:111:4,0.04
Liparis,gibbus,51.25,2.25,1500:112:1,0.05
Liparis,gibbus,51.25,2.75,1500:112:2,0.07
Liparis,gibbus,51.75,2.25,1500:112:3,0.05
Liparis,gibbus,51.75,2.75,1500:112:4,0.06
Liparis,gibbus,51.25,3.25,1500:113:1,0.07
Liparis,gibbus,51.25,3.75,1500:113:2,0.06
Liparis,gibbus,51.75,3.25,1500:113:3,0.07
Liparis,gibbus,51.75,3.75,1500:113:4,0.04
Liparis,gibbus,51.25,4.25,1500:114:1,0.04
Liparis,gibbus,52.75,0.25,1500:120:3,0.14
Liparis,gibbus,52.75,0.75,1500:120:4,0.05
Liparis,gibbus,52.25,1.25,1500:121:1,0.07
Liparis,gibbus,52.25,1.75,1500:121:2,0.07
Liparis,gibbus,52.75,1.25,1500:121:3,0.04
Liparis,gibbus,52.75,1.75,1500:121:4,0.09
Liparis,gibbus,52.25,2.25,1500:122:1,0.05
Liparis,gibbus,52.25,2.75,1500:122:2,0.05
Liparis,gibbus,52.75,2.25,1500:122:3,0.06
Liparis,gibbus,52.75,2.75,1500:122:4,0.06
Liparis,gibbus,52.25,3.25,1500:123:1,0.06
Liparis,gibbus,52.25,3.75,1500:123:2,0.05
Liparis,gibbus,52.75,3.25,1500:123:3,0.05
Liparis,gibbus,52.75,3.75,1500:123:4,0.05
Liparis,gibbus,52.25,4.75,1500:124:2,0.01
Liparis,gibbus,52.75,4.25,1500:124:3,0.08
Liparis,gibbus,52.75,4.75,1500:124:4,0.08
Liparis,gibbus,53.25,0.75,1500:130:2,0.06
Liparis,gibbus,53.75,0.25,1500:130:3,0.06
Liparis,gibbus,53.75,0.75,1500:130:4,0.06
Liparis,gibbus,53.25,1.25,1500:131:1,0.05
Liparis,gibbus,53.25,1.75,1500:131:2,0.05
Liparis,gibbus,53.75,1.25,1500:131:3,0.05
Liparis,gibbus,53.75,1.75,1500:131:4,0.03
Liparis,gibbus,53.25,2.25,1500:132:1,0.04
Liparis,gibbus,53.25,2.75,1500:132:2,0.04
Liparis,gibbus,53.75,2.25,1500:132:3,0.05
Liparis,gibbus,53.75,2.75,1500:132:4,0.04
Liparis,gibbus,53.25,3.25,1500:133:1,0.04
Liparis,gibbus,53.25,3.75,1500:133:2,0.04
Liparis,gibbus,53.75,3.25,1500:133:3,0.03
Liparis,gibbus,53.75,3.75,1500:133:4,0.03
Liparis,gibbus,53.25,4.25,1500:134:1,0.05
Liparis,gibbus,53.25,4.75,1500:134:2,0.17
Liparis,gibbus,53.75,4.25,1500:134:3,0.04
Liparis,gibbus,53.75,4.75,1500:134:4,0.05
Liparis,gibbus,54.25,0.25,1500:140:1,0.06
Liparis,gibbus,54.25,0.75,1500:140:2,0.05
Liparis,gibbus,54.75,0.25,1500:140:3,0.07
Liparis,gibbus,54.75,0.75,1500:140:4,0.06
Liparis,gibbus,54.25,1.25,1500:141:1,0.04
Liparis,gibbus,54.25,1.75,1500:141:2,0.03
Liparis,gibbus,54.75,1.25,1500:141:3,0.04
Liparis,gibbus,54.75,1.75,1500:141:4,0.02
Liparis,gibbus,54.25,2.25,1500:142:1,0.05
Liparis,gibbus,54.25,2.75,1500:142:2,0.04
Liparis,gibbus,54.75,2.25,1500:142:3,0.01
Liparis,gibbus,54.75,2.75,1500:142:4,0.01
Liparis,gibbus,54.25,3.25,1500:143:1,0.02
Liparis,gibbus,54.25,3.75,1500:143:2,0.02
Liparis,gibbus,54.75,3.25,1500:143:3,0.02
Liparis,gibbus,54.75,3.75,1500:143:4,0.02
Liparis,gibbus,54.25,4.25,1500:144:1,0.03
Liparis,gibbus,54.25,4.75,1500:144:2,0.04
Liparis,gibbus,54.75,4.25,1500:144:3,0.02
Liparis,gibbus,54.75,4.75,1500:144:4,0.03
Liparis,gibbus,52.25,5.25,1500:225:1,0.01
Liparis,gibbus,52.75,5.25,1500:225:3,0.13
Liparis,gibbus,52.75,5.75,1500:225:4,0.08
Liparis,gibbus,53.25,5.25,1500:235:1,0.14
Liparis,gibbus,53.25,5.75,1500:235:2,0.16
Liparis,gibbus,53.75,5.25,1500:235:3,0.06
Liparis,gibbus,53.75,5.75,1500:235:4,0.08
Liparis,gibbus,53.25,6.25,1500:236:1,0.13
Liparis,gibbus,53.25,6.75,1500:236:2,0.12
Liparis,gibbus,53.75,6.25,1500:236:3,0.10
Liparis,gibbus,53.75,6.75,1500:236:4,0.18
Liparis,gibbus,53.25,7.25,1500:237:1,0.13
Liparis,gibbus,53.75,7.25,1500:237:3,0.16
Liparis,gibbus,53.75,7.75,1500:237:4,0.16
Liparis,gibbus,53.25,8.25,1500:238:1,0.05
Liparis,gibbus,53.75,8.75,1500:238:4,0.06
Liparis,gibbus,54.25,5.25,1500:245:1,0.04
Liparis,gibbus,54.25,5.75,1500:245:2,0.05
Liparis,gibbus,54.75,5.25,1500:245:3,0.03
Liparis,gibbus,54.75,5.75,1500:245:4,0.04
Liparis,gibbus,54.25,6.25,1500:246:1,0.06
Liparis,gibbus,54.25,6.75,1500:246:2,0.09
Liparis,gibbus,54.75,6.25,1500:246:3,0.06
Liparis,gibbus,54.75,6.75,1500:246:4,0.11
Liparis,gibbus,54.25,7.25,1500:247:1,0.15
Liparis,gibbus,54.75,7.25,1500:247:3,0.16
Liparis,gibbus,54.75,7.75,1500:247:4,0.14
Liparis,gibbus,54.25,8.25,1500:248:1,0.16
Liparis,gibbus,54.25,8.75,1500:248:2,0.04
Liparis,gibbus,54.75,8.25,1500:248:3,0.18
Liparis,gibbus,54.25,9.25,1500:249:1,0.02
Liparis,gibbus,55.25,0.25,1500:350:1,0.05
Liparis,gibbus,55.25,0.75,1500:350:2,0.04
Liparis,gibbus,55.75,0.25,1500:350:3,0.03
Liparis,gibbus,55.75,0.75,1500:350:4,0.02
Liparis,gibbus,55.25,1.25,1500:351:1,0.03
Liparis,gibbus,55.25,1.75,1500:351:2,0.03
Liparis,gibbus,55.75,1.25,1500:351:3,0.02
Liparis,gibbus,55.75,1.75,1500:351:4,0.02
Liparis,gibbus,55.25,2.25,1500:352:1,0.02
Liparis,gibbus,55.25,2.75,1500:352:2,0.02
Liparis,gibbus,55.75,2.25,1500:352:3,0.02
Liparis,gibbus,55.75,2.75,1500:352:4,0.02
Liparis,gibbus,55.25,3.25,1500:353:1,0.01
Liparis,gibbus,55.25,3.75,1500:353:2,0.02
Liparis,gibbus,55.75,3.25,1500:353:3,0.02
Liparis,gibbus,55.75,3.75,1500:353:4,0.02
Liparis,gibbus,55.25,4.25,1500:354:1,0.02
Liparis,gibbus,55.25,4.75,1500:354:2,0.02
Liparis,gibbus,55.75,4.25,1500:354:3,0.01
Liparis,gibbus,55.75,4.75,1500:354:4,0.02
Liparis,gibbus,56.25,0.25,1500:360:1,0.01
Liparis,gibbus,56.25,0.75,1500:360:2,0.01
Liparis,gibbus,56.25,2.25,1500:362:1,0.01
Liparis,gibbus,56.25,2.75,1500:362:2,0.01
Liparis,gibbus,56.25,3.25,1500:363:1,0.01
Liparis,gibbus,56.25,3.75,1500:363:2,0.01
Liparis,gibbus,56.75,3.25,1500:363:3,0.01
Liparis,gibbus,56.75,3.75,1500:363:4,0.02
Liparis,gibbus,56.25,4.25,1500:364:1,0.02
Liparis,gibbus,56.25,4.75,1500:364:2,0.02
Liparis,gibbus,56.75,4.25,1500:364:3,0.03
Liparis,gibbus,56.75,4.75,1500:364:4,0.03
Liparis,gibbus,57.25,2.75,1500:372:2,0.01
Liparis,gibbus,57.75,2.75,1500:372:4,0.01
Liparis,gibbus,57.25,3.25,1500:373:1,0.02
Liparis,gibbus,57.25,3.75,1500:373:2,0.03
Liparis,gibbus,57.75,3.25,1500:373:3,0.03
Liparis,gibbus,57.75,3.75,1500:373:4,0.06
Liparis,gibbus,57.25,4.25,1500:374:1,0.04
Liparis,gibbus,57.25,4.75,1500:374:2,0.06
Liparis,gibbus,57.75,4.25,1500:374:3,0.11
Liparis,gibbus,58.25,2.75,1500:382:2,0.01
Liparis,gibbus,58.75,2.75,1500:382:4,0.04
Liparis,gibbus,58.25,3.25,1500:383:1,0.06
Liparis,gibbus,58.25,3.75,1500:383:2,0.19
Liparis,gibbus,58.75,3.25,1500:383:3,0.16
Liparis,gibbus,59.25,1.75,1500:391:2,0.01
Liparis,gibbus,59.25,2.25,1500:392:1,0.04
Liparis,gibbus,59.25,2.75,1500:392:2,0.09
Liparis,gibbus,59.75,2.25,1500:392:3,0.01
Liparis,gibbus,59.75,2.75,1500:392:4,0.03
Liparis,gibbus,59.25,3.25,1500:393:1,0.18
Liparis,gibbus,59.75,3.25,1500:393:3,0.09
Liparis,gibbus,55.25,5.25,1500:455:1,0.03
Liparis,gibbus,55.25,5.75,1500:455:2,0.05
Liparis,gibbus,55.75,5.25,1500:455:3,0.03
Liparis,gibbus,55.75,5.75,1500:455:4,0.05
Liparis,gibbus,55.25,6.25,1500:456:1,0.08
Liparis,gibbus,55.25,6.75,1500:456:2,0.12
Liparis,gibbus,55.75,6.25,1500:456:3,0.07
Liparis,gibbus,55.75,6.75,1500:456:4,0.09
Liparis,gibbus,55.25,7.25,1500:457:1,0.12
Liparis,gibbus,55.25,7.75,1500:457:2,0.16
Liparis,gibbus,55.75,7.25,1500:457:3,0.12
Liparis,gibbus,55.75,7.75,1500:457:4,0.16
Liparis,gibbus,55.75,9.75,1500:459:4,0.08
Liparis,gibbus,56.25,5.25,1500:465:1,0.03
Liparis,gibbus,56.25,5.75,1500:465:2,0.06
Liparis,gibbus,56.75,5.25,1500:465:3,0.04
Liparis,gibbus,56.75,5.75,1500:465:4,0.05
Liparis,gibbus,56.25,6.25,1500:466:1,0.06
Liparis,gibbus,56.25,6.75,1500:466:2,0.08
Liparis,gibbus,56.75,6.25,1500:466:3,0.07
Liparis,gibbus,56.75,6.75,1500:466:4,0.10
Liparis,gibbus,56.25,7.25,1500:467:1,0.11
Liparis,gibbus,56.25,7.75,1500:467:2,0.15
Liparis,gibbus,56.75,7.25,1500:467:3,0.14
Liparis,gibbus,56.25,8.25,1500:468:1,0.18
Liparis,gibbus,56.75,8.25,1500:468:3,0.16
Liparis,gibbus,56.75,8.75,1500:468:4,0.15
Liparis,gibbus,57.25,5.25,1500:475:1,0.10
Liparis,gibbus,57.25,5.75,1500:475:2,0.15
Liparis,gibbus,57.25,9.25,1500:479:1,0.19
Liparis,gibbus,57.25,9.75,1500:479:2,0.17
Liparis,gibbus,58.75,6.25,1500:486:3,0.01
Liparis,gibbus,58.25,7.25,1500:487:1,0.08
Liparis,gibbus,59.25,6.75,1500:496:2,0.01
Liparis,gibbus,59.75,6.25,1500:496:3,0.01
Liparis,gibbus,59.75,6.75,1500:496:4,0.01
Liparis,gibbus,59.25,9.75,1500:499:2,0.01
Liparis,gibbus,56.25,10.25,1501:360:1,0.09
Liparis,gibbus,56.25,10.75,1501:360:2,0.11
Liparis,gibbus,56.75,10.25,1501:360:3,0.14
Liparis,gibbus,56.75,10.75,1501:360:4,0.16
Liparis,gibbus,56.25,11.25,1501:361:1,0.04
Liparis,gibbus,56.25,11.75,1501:361:2,0.15
Liparis,gibbus,56.75,11.25,1501:361:3,0.07
Liparis,gibbus,56.75,11.75,1501:361:4,0.19
Liparis,gibbus,56.25,12.25,1501:362:1,0.09
Liparis,gibbus,56.25,12.75,1501:362:2,0.18
Liparis,gibbus,56.75,12.25,1501:362:3,0.17
Liparis,gibbus,56.75,12.75,1501:362:4,0.16
Liparis,gibbus,57.25,11.25,1501:371:1,0.19
Liparis,gibbus,57.75,11.75,1501:371:4,0.19
Liparis,gibbus,58.25,11.75,1501:381:2,0.04
Liparis,gibbus,59.75,10.25,1501:390:3,0.08
Liparis,gibbus,60.25,3.25,1600:103:1,0.06
Liparis,gibbus,60.75,3.25,1600:103:3,0.07
Liparis,gibbus,61.75,2.75,1600:112:4,0.06
Liparis,gibbus,61.25,3.25,1600:113:1,0.10
Liparis,gibbus,61.75,3.25,1600:113:3,0.16
Liparis,gibbus,62.25,2.75,1600:122:2,0.08
Liparis,gibbus,62.75,3.25,1600:123:3,0.03
Liparis,gibbus,62.75,3.75,1600:123:4,0.12
Liparis,gibbus,63.25,4.75,1600:134:2,0.06
Liparis,gibbus,60.75,5.75,1600:205:4,0.01
Liparis,gibbus,60.75,6.75,1600:206:4,0.01
Liparis,gibbus,60.75,7.25,1600:207:3,0.01
Liparis,gibbus,61.75,5.75,1600:215:4,0.02
Liparis,gibbus,61.75,6.75,1600:216:4,0.01
Liparis,gibbus,61.25,7.75,1600:217:2,0.01
Liparis,gibbus,62.75,8.75,1600:228:4,0.01
Liparis,gibbus,63.25,5.25,1600:235:1,0.15
Liparis,gibbus,63.25,5.75,1600:235:2,0.19
Liparis,gibbus,63.75,5.75,1600:235:4,0.10
Liparis,gibbus,63.75,6.25,1600:236:3,0.14
Liparis,gibbus,63.75,6.75,1600:236:4,0.16
Liparis,gibbus,63.75,7.25,1600:237:3,0.19
Liparis,gibbus,64.25,5.75,1600:245:2,0.05
Liparis,gibbus,64.75,5.75,1600:245:4,0.04
Liparis,gibbus,64.25,6.25,1600:246:1,0.08
Liparis,gibbus,64.25,6.75,1600:246:2,0.10
Liparis,gibbus,64.75,6.25,1600:246:3,0.05
Liparis,gibbus,64.75,6.75,1600:246:4,0.07
Liparis,gibbus,64.25,7.25,1600:247:1,0.13
Liparis,gibbus,64.25,7.75,1600:247:2,0.17
Liparis,gibbus,64.75,7.25,1600:247:3,0.09
Liparis,gibbus,64.75,7.75,1600:247:4,0.10
Liparis,gibbus,64.75,8.25,1600:248:3,0.09
Liparis,gibbus,64.75,8.75,1600:248:4,0.09
Liparis,gibbus,64.75,9.25,1600:249:3,0.13
