Mapping parameters for Lissodelphis borealis (Northern right whale dolphin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  67 |  71 |  77 |  87 ,
Bounding Box (NSWE): ,90,10,-180,180

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1000,4000,8000
Temperature (°C),1,5.88,11.43,16.78,27.09
Salinity (psu),1,25.44,31.22,33.45,34.8
Primary Production (mgC·m-3·day-1) ,1,2.17,3.7,51.51,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,21.47,162.84,287.64
Distance to Land (km),0,0,15,1234,1810
 

Map data (HSPEC) for predicted occurrences (n = 9734): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lissodelphis,borealis,18.25,106.75,1110:486:2,0.01
Lissodelphis,borealis,18.75,106.25,1110:486:3,0.01
Lissodelphis,borealis,18.75,106.75,1110:486:4,0.01
Lissodelphis,borealis,18.75,107.25,1110:487:3,0.01
Lissodelphis,borealis,19.25,106.25,1110:496:1,0.01
Lissodelphis,borealis,19.25,106.75,1110:496:2,0.02
Lissodelphis,borealis,19.75,106.25,1110:496:3,0.01
Lissodelphis,borealis,19.75,106.75,1110:496:4,0.02
Lissodelphis,borealis,19.25,107.25,1110:497:1,0.01
Lissodelphis,borealis,19.25,107.75,1110:497:2,0.01
Lissodelphis,borealis,19.75,107.25,1110:497:3,0.02
Lissodelphis,borealis,19.75,107.75,1110:497:4,0.02
Lissodelphis,borealis,19.25,108.25,1110:498:1,0.01
Lissodelphis,borealis,19.75,108.25,1110:498:3,0.02
Lissodelphis,borealis,19.75,108.75,1110:498:4,0.01
Lissodelphis,borealis,20.25,106.75,1210:206:2,0.01
Lissodelphis,borealis,20.25,107.25,1210:207:1,0.01
Lissodelphis,borealis,20.25,107.75,1210:207:2,0.01
Lissodelphis,borealis,20.75,107.75,1210:207:4,0.01
Lissodelphis,borealis,20.25,108.25,1210:208:1,0.02
Lissodelphis,borealis,20.25,108.75,1210:208:2,0.02
Lissodelphis,borealis,20.75,108.25,1210:208:3,0.02
Lissodelphis,borealis,20.75,108.75,1210:208:4,0.01
Lissodelphis,borealis,20.25,109.25,1210:209:1,0.01
Lissodelphis,borealis,20.75,109.25,1210:209:3,0.01
Lissodelphis,borealis,21.25,108.25,1210:218:1,0.01
Lissodelphis,borealis,21.25,108.75,1210:218:2,0.01
Lissodelphis,borealis,20.25,111.75,1211:101:2,0.01
Lissodelphis,borealis,20.75,111.25,1211:101:3,0.01
Lissodelphis,borealis,20.75,111.75,1211:101:4,0.01
Lissodelphis,borealis,20.25,112.25,1211:102:1,0.01
Lissodelphis,borealis,20.75,112.25,1211:102:3,0.01
Lissodelphis,borealis,20.75,112.75,1211:102:4,0.01
Lissodelphis,borealis,20.75,113.25,1211:103:3,0.01
Lissodelphis,borealis,20.75,113.75,1211:103:4,0.01
Lissodelphis,borealis,20.75,114.25,1211:104:3,0.01
Lissodelphis,borealis,21.25,112.75,1211:112:2,0.01
Lissodelphis,borealis,21.25,113.25,1211:113:1,0.01
Lissodelphis,borealis,21.25,113.75,1211:113:2,0.01
Lissodelphis,borealis,21.25,114.25,1211:114:1,0.01
Lissodelphis,borealis,21.25,114.75,1211:114:2,0.01
Lissodelphis,borealis,21.75,114.25,1211:114:3,0.01
Lissodelphis,borealis,21.75,114.75,1211:114:4,0.01
Lissodelphis,borealis,22.25,114.75,1211:124:2,0.01
Lissodelphis,borealis,20.75,115.75,1211:205:4,0.01
Lissodelphis,borealis,20.75,116.25,1211:206:3,0.01
Lissodelphis,borealis,21.25,115.25,1211:215:1,0.01
