Mapping parameters for Loligo forbesii (veined squid)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 |  51 ,
Bounding Box (NSWE): ,63,10,-30,47

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,68,110,235,431
Temperature (°C),1,9.75,10.25,22.92,29.97
Salinity (psu),1,27.57,33.89,38.44,39.25
Primary Production (mgC·m-3·day-1) ,1,-0.23,0.77,16.91,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,182.58,282.15,367.88
Distance to Land (km),0,1,11,202,290
 

Map data (HSPEC) for predicted occurrences (n = 1826): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Loligo,forbesii,60.25,-11.75,7601:101:2,0.15
Loligo,forbesii,61.25,-8.75,7600:218:2,0.08
Loligo,forbesii,60.75,-9.25,7600:209:3,0.15
Loligo,forbesii,60.75,-8.75,7600:208:4,0.06
Loligo,forbesii,60.75,-8.25,7600:208:3,0.19
Loligo,forbesii,60.25,-5.75,7600:205:2,0.11
Loligo,forbesii,60.75,-3.75,7600:103:4,0.17
Loligo,forbesii,60.25,-1.75,7600:101:2,0.17
Loligo,forbesii,58.25,-17.75,7501:487:2,0.09
Loligo,forbesii,57.75,-17.75,7501:477:4,0.03
Loligo,forbesii,56.25,-16.75,7501:466:2,0.08
Loligo,forbesii,59.25,-13.75,7501:393:2,0.03
Loligo,forbesii,58.75,-13.75,7501:383:4,0.11
Loligo,forbesii,54.25,-12.25,7501:142:1,0.05
Loligo,forbesii,57.75,-9.75,7500:479:4,0.11
Loligo,forbesii,56.75,-6.25,7500:466:3,0.14
Loligo,forbesii,55.25,-7.75,7500:457:2,0.18
Loligo,forbesii,55.25,-7.25,7500:457:1,0.02
Loligo,forbesii,55.75,-5.75,7500:455:4,0.12
Loligo,forbesii,59.25,-2.75,7500:392:2,0.18
Loligo,forbesii,59.25,-2.25,7500:392:1,0.13
Loligo,forbesii,59.75,-1.75,7500:391:4,0.08
Loligo,forbesii,59.75,-1.25,7500:391:3,0.18
Loligo,forbesii,58.75,-2.75,7500:382:4,0.18
Loligo,forbesii,58.25,-2.75,7500:382:2,0.07
Loligo,forbesii,57.75,-2.75,7500:372:4,0.05
Loligo,forbesii,57.25,-1.75,7500:371:2,0.02
Loligo,forbesii,56.75,-2.25,7500:362:3,0.05
Loligo,forbesii,56.25,-2.75,7500:362:2,0.19
Loligo,forbesii,55.75,-0.25,7500:350:3,0.14
Loligo,forbesii,54.75,-8.25,7500:248:3,0.07
Loligo,forbesii,54.25,-8.75,7500:248:2,0.16
Loligo,forbesii,51.75,-5.25,7500:215:3,0.19
Loligo,forbesii,53.75,-4.75,7500:134:4,0.10
Loligo,forbesii,51.25,-4.25,7500:114:1,0.08
Loligo,forbesii,50.25,-2.75,7500:102:2,0.07
Loligo,forbesii,50.75,-1.25,7500:101:3,0.14
Loligo,forbesii,50.25,-1.25,7500:101:1,0.10
Loligo,forbesii,47.75,-8.25,7400:478:3,0.16
Loligo,forbesii,49.75,-2.75,7400:392:4,0.12
