Mapping parameters for Lophiomus setigerus (Blackmouth angler)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 47 |  51 |  57 |  61 |  71 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,30,125,369,800
Temperature (°C),1,12.61,19.72,28.61,32.81
Salinity (psu),1,23.82,32.19,35.52,38.84
Primary Production (mgC·m-3·day-1) ,1,0.63,1.99,22.89,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,109.39,219.5,295.47
Distance to Land (km),0,0,13,268,662
 

Map data (HSPEC) for predicted occurrences (n = 7772): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lophiomus,setigerus,28.75,-179.75,7217:489:4,0.01
Lophiomus,setigerus,28.75,-178.75,7217:488:4,0.02
Lophiomus,setigerus,28.75,-178.25,7217:488:3,0.03
Lophiomus,setigerus,28.75,-176.75,7217:486:4,0.03
Lophiomus,setigerus,-44.25,-177.25,5417:247:1,0.04
Lophiomus,setigerus,-44.75,-176.25,5417:246:3,0.04
Lophiomus,setigerus,-44.25,-176.75,5417:246:2,0.05
Lophiomus,setigerus,-44.25,-176.25,5417:246:1,0.04
Lophiomus,setigerus,-44.75,-175.75,5417:245:4,0.06
Lophiomus,setigerus,-44.25,-175.75,5417:245:2,0.07
Lophiomus,setigerus,-44.25,-175.25,5417:245:1,0.12
Lophiomus,setigerus,-43.75,-179.75,5417:239:4,0.08
Lophiomus,setigerus,-43.75,-179.25,5417:239:3,0.09
Lophiomus,setigerus,-43.75,-178.75,5417:238:4,0.09
Lophiomus,setigerus,-43.75,-178.25,5417:238:3,0.10
Lophiomus,setigerus,-43.25,-178.75,5417:238:2,0.19
Lophiomus,setigerus,-43.25,-178.25,5417:238:1,0.19
Lophiomus,setigerus,-43.75,-177.75,5417:237:4,0.11
Lophiomus,setigerus,-43.75,-177.25,5417:237:3,0.08
Lophiomus,setigerus,-43.25,-177.75,5417:237:2,0.18
Lophiomus,setigerus,-43.25,-177.25,5417:237:1,0.16
Lophiomus,setigerus,-43.75,-176.75,5417:236:4,0.05
Lophiomus,setigerus,-43.75,-176.25,5417:236:3,0.06
Lophiomus,setigerus,-43.25,-176.75,5417:236:2,0.15
Lophiomus,setigerus,-43.25,-176.25,5417:236:1,0.16
Lophiomus,setigerus,-43.75,-175.75,5417:235:4,0.09
Lophiomus,setigerus,-43.75,-175.25,5417:235:3,0.13
Lophiomus,setigerus,-43.25,-175.75,5417:235:2,0.18
Lophiomus,setigerus,-43.25,-175.25,5417:235:1,0.19
Lophiomus,setigerus,-42.75,-179.75,5417:229:4,0.19
Lophiomus,setigerus,-42.75,-178.25,5417:228:3,0.19
Lophiomus,setigerus,-42.75,-177.75,5417:227:4,0.19
Lophiomus,setigerus,-42.75,-177.25,5417:227:3,0.18
Lophiomus,setigerus,-42.75,-176.75,5417:226:4,0.14
