Mapping parameters for Lutjanus adetii (Yellow-banded snapper)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 71 |  81,
Bounding Box (NSWE): ,-10,-37,143,170

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,11,20
Temperature (°C),1,20.37,22.96,26.22,30.42
Salinity (psu),1,34.24,34.74,35.74,36.24
Primary Production (mgC·m-3·day-1) ,1,0.39,1.39,18.23,20.89
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,137.52,185.78,213.26,226.31
Distance to Land (km),0,7,15,241,373
 

Map data (HSPEC) for predicted occurrences (n = 356): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,adetii,-10.75,155.75,3115:205:4,0.15
Lutjanus,adetii,-11.25,159.75,3115:219:2,0.11
Lutjanus,adetii,-17.25,155.75,3115:475:2,0.18
Lutjanus,adetii,-10.25,161.25,3116:101:1,0.08
Lutjanus,adetii,-10.25,161.75,3116:101:2,0.09
Lutjanus,adetii,-10.75,161.75,3116:101:4,0.11
Lutjanus,adetii,-10.25,162.25,3116:102:1,0.10
Lutjanus,adetii,-10.75,162.25,3116:102:3,0.11
Lutjanus,adetii,-10.75,162.75,3116:102:4,0.10
Lutjanus,adetii,-11.25,160.25,3116:110:1,0.11
Lutjanus,adetii,-11.75,160.25,3116:110:3,0.13
Lutjanus,adetii,-11.75,160.75,3116:110:4,0.12
Lutjanus,adetii,-12.25,160.25,3116:120:1,0.16
Lutjanus,adetii,-12.75,160.25,3116:120:3,0.19
Lutjanus,adetii,-12.75,160.75,3116:120:4,0.18
Lutjanus,adetii,-10.25,165.75,3116:205:2,0.11
Lutjanus,adetii,-10.75,165.75,3116:205:4,0.11
Lutjanus,adetii,-10.25,166.25,3116:206:1,0.12
