Mapping parameters for Lutjanus ehrenbergii (Blackspot snapper)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71,
Bounding Box (NSWE): ,30,-18,31,165

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,6,13,20
Temperature (°C),1,22.16,25.8,29.57,33.77
Salinity (psu),1,21.09,31.54,38.49,38.99
Primary Production (mgC·m-3·day-1) ,1,0.84,2.51,24.5,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,4.81,55.11,206.3,328.27
Distance to Land (km),0,1,9,86,303
 

Map data (HSPEC) for predicted occurrences (n = 3379): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,ehrenbergii,-17.75,151.25,3115:371:3,0.02
Lutjanus,ehrenbergii,-17.25,151.25,3115:371:1,0.02
Lutjanus,ehrenbergii,-17.75,150.75,3115:370:4,0.12
Lutjanus,ehrenbergii,-17.25,150.75,3115:370:2,0.03
Lutjanus,ehrenbergii,-16.75,150.25,3115:360:3,0.01
Lutjanus,ehrenbergii,-16.25,150.25,3115:360:1,0.04
Lutjanus,ehrenbergii,-17.25,148.25,3114:478:1,0.11
Lutjanus,ehrenbergii,-16.25,149.75,3114:469:2,0.01
Lutjanus,ehrenbergii,-16.25,148.25,3114:468:1,0.10
Lutjanus,ehrenbergii,-16.75,147.75,3114:467:4,0.10
Lutjanus,ehrenbergii,-16.25,147.75,3114:467:2,0.12
Lutjanus,ehrenbergii,-12.25,137.75,3113:227:2,0.14
Lutjanus,ehrenbergii,-16.25,121.75,3112:361:2,0.14
Lutjanus,ehrenbergii,-16.25,60.25,3106:360:1,0.02
Lutjanus,ehrenbergii,-15.25,61.25,3106:351:1,0.04
Lutjanus,ehrenbergii,-14.75,61.25,3106:141:3,0.10
Lutjanus,ehrenbergii,-14.25,61.25,3106:141:1,0.16
Lutjanus,ehrenbergii,-12.75,48.25,3104:228:3,0.14
Lutjanus,ehrenbergii,-3.75,107.75,3010:237:4,0.14
Lutjanus,ehrenbergii,23.75,157.25,1215:237:3,0.04
Lutjanus,ehrenbergii,24.25,154.25,1215:144:1,0.03
Lutjanus,ehrenbergii,25.25,141.25,1214:351:1,0.12
Lutjanus,ehrenbergii,24.75,141.25,1214:141:3,0.07
Lutjanus,ehrenbergii,24.25,141.75,1214:141:2,0.06
Lutjanus,ehrenbergii,20.25,136.25,1213:206:1,0.18
Lutjanus,ehrenbergii,26.25,120.75,1212:360:2,0.12
Lutjanus,ehrenbergii,24.75,123.25,1212:143:3,0.14
Lutjanus,ehrenbergii,24.75,119.25,1211:249:3,0.17
Lutjanus,ehrenbergii,24.75,118.25,1211:248:3,0.03
Lutjanus,ehrenbergii,24.25,118.25,1211:248:1,0.05
Lutjanus,ehrenbergii,24.25,117.75,1211:247:2,0.12
Lutjanus,ehrenbergii,23.75,117.75,1211:237:4,0.15
Lutjanus,ehrenbergii,22.25,113.75,1211:123:2,0.13
Lutjanus,ehrenbergii,20.75,108.25,1210:208:3,0.13
Lutjanus,ehrenbergii,21.25,91.25,1209:111:1,0.13
Lutjanus,ehrenbergii,21.25,90.25,1209:110:1,0.14
Lutjanus,ehrenbergii,21.75,89.75,1208:219:4,0.16
Lutjanus,ehrenbergii,28.75,50.75,1205:380:4,0.09
Lutjanus,ehrenbergii,25.75,53.25,1205:353:3,0.14
Lutjanus,ehrenbergii,25.25,53.75,1205:353:2,0.11
Lutjanus,ehrenbergii,24.75,54.25,1205:144:3,0.16
Lutjanus,ehrenbergii,29.25,34.75,1203:394:2,0.19
Lutjanus,ehrenbergii,19.75,145.25,1114:495:3,0.18
Lutjanus,ehrenbergii,18.75,145.75,1114:485:4,0.16
Lutjanus,ehrenbergii,18.25,145.75,1114:485:2,0.15
Lutjanus,ehrenbergii,17.75,145.75,1114:475:4,0.13
Lutjanus,ehrenbergii,16.25,145.75,1114:465:2,0.10
Lutjanus,ehrenbergii,15.25,145.75,1114:455:2,0.14
Lutjanus,ehrenbergii,13.75,144.75,1114:134:4,0.05
Lutjanus,ehrenbergii,10.25,139.75,1113:209:2,0.10
Lutjanus,ehrenbergii,10.75,126.25,1112:206:3,0.09
Lutjanus,ehrenbergii,10.25,126.25,1112:206:1,0.15
Lutjanus,ehrenbergii,13.25,100.75,1110:130:2,0.16
Lutjanus,ehrenbergii,13.25,100.25,1110:130:1,0.12
Lutjanus,ehrenbergii,16.75,97.25,1109:467:3,0.15
Lutjanus,ehrenbergii,16.75,96.75,1109:466:4,0.19
Lutjanus,ehrenbergii,15.25,97.25,1109:457:1,0.12
Lutjanus,ehrenbergii,12.25,97.25,1109:227:1,0.09
Lutjanus,ehrenbergii,11.75,97.25,1109:217:3,0.19
Lutjanus,ehrenbergii,11.25,74.75,1107:114:2,0.14
Lutjanus,ehrenbergii,9.75,161.25,1016:391:3,0.03
Lutjanus,ehrenbergii,9.75,160.75,1016:390:4,0.03
Lutjanus,ehrenbergii,7.25,157.75,1015:477:2,0.19
Lutjanus,ehrenbergii,7.75,155.25,1015:475:3,0.08
Lutjanus,ehrenbergii,8.75,151.75,1015:381:4,0.02
Lutjanus,ehrenbergii,8.75,151.25,1015:381:3,0.02
Lutjanus,ehrenbergii,8.25,151.75,1015:381:2,0.02
Lutjanus,ehrenbergii,8.75,150.25,1015:380:3,0.19
Lutjanus,ehrenbergii,7.75,152.25,1015:372:3,0.03
Lutjanus,ehrenbergii,7.25,152.25,1015:372:1,0.08
Lutjanus,ehrenbergii,7.75,151.75,1015:371:4,0.15
Lutjanus,ehrenbergii,7.25,151.75,1015:371:2,0.18
Lutjanus,ehrenbergii,6.75,152.75,1015:362:4,0.01
Lutjanus,ehrenbergii,8.25,145.75,1014:485:2,0.11
Lutjanus,ehrenbergii,8.25,145.25,1014:485:1,0.14
Lutjanus,ehrenbergii,7.75,149.25,1014:479:3,0.15
Lutjanus,ehrenbergii,7.25,149.25,1014:479:1,0.12
Lutjanus,ehrenbergii,7.75,147.75,1014:477:4,0.17
Lutjanus,ehrenbergii,7.75,146.25,1014:476:3,0.14
Lutjanus,ehrenbergii,7.25,146.25,1014:476:1,0.19
Lutjanus,ehrenbergii,7.75,145.75,1014:475:4,0.14
Lutjanus,ehrenbergii,6.75,149.25,1014:469:3,0.08
Lutjanus,ehrenbergii,8.75,144.75,1014:384:4,0.09
Lutjanus,ehrenbergii,8.25,144.75,1014:384:2,0.17
Lutjanus,ehrenbergii,9.75,139.75,1013:499:4,0.09
Lutjanus,ehrenbergii,9.75,138.25,1013:498:3,0.07
Lutjanus,ehrenbergii,9.25,138.25,1013:498:1,0.09
Lutjanus,ehrenbergii,4.75,112.25,1011:142:3,0.12
Lutjanus,ehrenbergii,8.75,107.25,1010:487:3,0.14
Lutjanus,ehrenbergii,8.25,107.25,1010:487:1,0.14
Lutjanus,ehrenbergii,7.75,108.25,1010:478:3,0.14
Lutjanus,ehrenbergii,8.25,103.75,1010:383:2,0.14
Lutjanus,ehrenbergii,-17.75,148.75,3114:478:4,0.20
Lutjanus,ehrenbergii,-17.75,148.25,3114:478:3,0.33
Lutjanus,ehrenbergii,-15.75,149.25,3114:459:3,0.20
Lutjanus,ehrenbergii,-11.25,137.25,3113:217:1,0.29
Lutjanus,ehrenbergii,-10.75,131.25,3113:101:3,0.29
Lutjanus,ehrenbergii,-13.25,96.25,3109:236:1,0.24
Lutjanus,ehrenbergii,-12.25,96.75,3109:226:2,0.30
Lutjanus,ehrenbergii,-11.75,96.75,3109:216:4,0.35
Lutjanus,ehrenbergii,-15.75,60.25,3106:350:3,0.27
Lutjanus,ehrenbergii,-13.75,61.25,3106:131:3,0.23
Lutjanus,ehrenbergii,-17.25,50.25,3105:370:1,0.35
Lutjanus,ehrenbergii,-15.75,54.75,3105:354:4,0.37
Lutjanus,ehrenbergii,-8.25,144.75,3014:384:2,0.29
Lutjanus,ehrenbergii,-8.75,137.75,3013:487:4,0.29
Lutjanus,ehrenbergii,-5.75,137.25,3013:457:3,0.29
Lutjanus,ehrenbergii,-5.25,136.25,3013:456:1,0.28
Lutjanus,ehrenbergii,-8.75,133.25,3013:383:3,0.29
Lutjanus,ehrenbergii,-6.25,111.75,3011:361:2,0.29
Lutjanus,ehrenbergii,-1.25,117.75,3011:217:2,0.29
Lutjanus,ehrenbergii,-5.25,109.75,3010:459:2,0.29
Lutjanus,ehrenbergii,-3.75,108.25,3010:238:3,0.29
Lutjanus,ehrenbergii,20.75,144.75,1214:104:4,0.20
Lutjanus,ehrenbergii,25.25,120.25,1212:350:1,0.24
Lutjanus,ehrenbergii,24.75,119.75,1211:249:4,0.37
Lutjanus,ehrenbergii,24.25,118.75,1211:248:2,0.21
Lutjanus,ehrenbergii,23.75,118.25,1211:238:3,0.22
Lutjanus,ehrenbergii,23.75,117.25,1211:237:3,0.21
Lutjanus,ehrenbergii,23.25,117.75,1211:237:2,0.37
Lutjanus,ehrenbergii,23.25,117.25,1211:237:1,0.34
Lutjanus,ehrenbergii,23.75,116.75,1211:236:4,0.28
Lutjanus,ehrenbergii,23.25,116.75,1211:236:2,0.35
