Mapping parameters for Lycodes squamiventer (Scalebelly eelpout)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  21 |  27,
Bounding Box (NSWE): ,83,65,-161,70

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,198,411,878,1808
Temperature (°C),1,-0.91,-0.41,8.89,20.86
Salinity (psu),1,26.79,29.95,35.02,39.89
Primary Production (mgC·m-3·day-1) ,1,1.32,2.32,8.86,14.29
Sea Ice Concentration (0-1 fraction),1,-0.73,0,0.67,0.72
Dissolved Bottom Oxygen (mmol·m-3),0,156.03,221,315.9,359.08
Distance to Land (km),0,44,74,260,368.5
 

Map data (HSPEC) for predicted occurrences (n = 3648): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycodes,squamiventer,65.75,2.25,1600:352:3,0.18
Lycodes,squamiventer,66.25,1.75,1600:361:2,0.04
Lycodes,squamiventer,67.75,1.75,1600:371:4,0.17
Lycodes,squamiventer,67.75,7.75,1600:477:4,0.17
Lycodes,squamiventer,68.25,7.75,1600:487:2,0.02
Lycodes,squamiventer,68.25,9.25,1600:489:1,0.17
Lycodes,squamiventer,66.75,12.75,1601:362:4,0.16
Lycodes,squamiventer,68.25,12.25,1601:382:1,0.14
Lycodes,squamiventer,68.25,12.75,1601:382:2,0.04
Lycodes,squamiventer,68.25,13.75,1601:383:2,0.02
Lycodes,squamiventer,68.75,14.25,1601:384:3,0.15
Lycodes,squamiventer,68.75,14.75,1601:384:4,0.08
Lycodes,squamiventer,69.25,12.75,1601:392:2,0.05
Lycodes,squamiventer,68.25,15.25,1601:485:1,0.15
Lycodes,squamiventer,69.75,29.75,1602:499:4,0.12
Lycodes,squamiventer,66.75,33.75,1603:363:4,0.01
Lycodes,squamiventer,66.25,34.25,1603:364:1,0.05
Lycodes,squamiventer,66.25,34.75,1603:364:2,0.06
Lycodes,squamiventer,66.75,34.25,1603:364:3,0.05
Lycodes,squamiventer,69.25,33.25,1603:393:1,0.03
Lycodes,squamiventer,69.75,34.25,1603:394:3,0.15
Lycodes,squamiventer,69.75,34.75,1603:394:4,0.19
Lycodes,squamiventer,65.75,35.25,1603:455:3,0.02
Lycodes,squamiventer,65.75,35.75,1603:455:4,0.06
Lycodes,squamiventer,65.25,36.75,1603:456:2,0.01
Lycodes,squamiventer,65.75,36.25,1603:456:3,0.07
Lycodes,squamiventer,65.75,36.75,1603:456:4,0.03
Lycodes,squamiventer,66.25,35.25,1603:465:1,0.10
Lycodes,squamiventer,66.25,35.75,1603:465:2,0.11
Lycodes,squamiventer,66.25,36.25,1603:466:1,0.06
Lycodes,squamiventer,69.75,35.25,1603:495:3,0.14
Lycodes,squamiventer,69.75,35.75,1603:495:4,0.10
Lycodes,squamiventer,69.25,36.25,1603:496:1,0.03
