Mapping parameters for Maculabatis astra ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71,
Bounding Box (NSWE): ,-1,-29,111,155

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,16,69,141
Temperature (°C),1,22.64,26.13,28.16,32.36
Salinity (psu),1,31.12,33.74,34.95,35.51
Primary Production (mgC·m-3·day-1) ,1,3.08,4.08,13.79,36.33
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,127.85,197.76,209.48,219.26
Distance to Land (km),0,0,16,230,391.5
 

Map data (HSPEC) for predicted occurrences (n = 1331): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Maculabatis,astra,-3.25,111.25,3011:131:1,0.07
Maculabatis,astra,-3.75,113.75,3011:133:4,0.11
Maculabatis,astra,-3.75,114.75,3011:134:4,0.02
Maculabatis,astra,-4.75,111.25,3011:141:3,0.19
Maculabatis,astra,-4.25,114.75,3011:144:2,0.19
Maculabatis,astra,-1.75,116.25,3011:216:3,0.03
Maculabatis,astra,-2.25,116.25,3011:226:1,0.04
Maculabatis,astra,-2.75,119.25,3011:229:3,0.05
Maculabatis,astra,-3.75,115.25,3011:235:3,0.07
Maculabatis,astra,-3.75,115.75,3011:235:4,0.13
Maculabatis,astra,-8.25,112.75,3011:382:2,0.18
Maculabatis,astra,-8.25,113.25,3011:383:1,0.07
Maculabatis,astra,-8.75,114.75,3011:384:4,0.18
Maculabatis,astra,-6.25,119.25,3011:469:1,0.07
Maculabatis,astra,-8.75,115.25,3011:485:3,0.10
Maculabatis,astra,-1.75,121.25,3012:111:3,0.02
Maculabatis,astra,-2.75,120.25,3012:120:3,0.16
Maculabatis,astra,-2.75,121.25,3012:121:3,0.18
Maculabatis,astra,-2.75,121.75,3012:121:4,0.02
