Mapping parameters for Meganyctiphanes norvegica (Norwegian krill)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  34 |  37 ,
Bounding Box (NSWE): ,80,27,-78,52

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,100,159,500,600
Temperature (°C),1,-1.07,0.39,14.45,24.76
Salinity (psu),1,5.21,31.41,35.33,39.21
Primary Production (mgC·m-3·day-1) ,1,0.29,2.91,11.99,46.49
Sea Ice Concentration (0-1 fraction),1,-0.95,0,0.27,0.59
Dissolved Bottom Oxygen (mmol·m-3),0,4.48,207.79,301.01,408.48
Distance to Land (km),0,0,13,366,1161
 

Map data (HSPEC) for predicted occurrences (n = 5500): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Meganyctiphanes,norvegica,36.75,0.75,1300:360:4,0.16
Meganyctiphanes,norvegica,36.75,1.25,1300:361:3,0.14
Meganyctiphanes,norvegica,36.75,1.75,1300:361:4,0.11
Meganyctiphanes,norvegica,36.75,2.25,1300:362:3,0.09
Meganyctiphanes,norvegica,37.75,0.25,1300:370:3,0.09
Meganyctiphanes,norvegica,38.25,0.25,1300:380:1,0.09
Meganyctiphanes,norvegica,38.25,0.75,1300:380:2,0.05
Meganyctiphanes,norvegica,38.75,0.25,1300:380:3,0.10
Meganyctiphanes,norvegica,38.75,0.75,1300:380:4,0.05
Meganyctiphanes,norvegica,38.25,1.25,1300:381:1,0.03
Meganyctiphanes,norvegica,38.75,1.25,1300:381:3,0.03
Meganyctiphanes,norvegica,38.75,1.75,1300:381:4,0.02
Meganyctiphanes,norvegica,38.75,2.75,1300:382:4,0.03
Meganyctiphanes,norvegica,39.25,0.25,1300:390:1,0.07
Meganyctiphanes,norvegica,39.75,0.25,1300:390:3,0.15
Meganyctiphanes,norvegica,39.75,0.75,1300:390:4,0.07
Meganyctiphanes,norvegica,39.25,1.25,1300:391:1,0.03
Meganyctiphanes,norvegica,39.25,1.75,1300:391:2,0.03
Meganyctiphanes,norvegica,39.75,1.25,1300:391:3,0.03
Meganyctiphanes,norvegica,39.25,2.25,1300:392:1,0.03
Meganyctiphanes,norvegica,39.25,2.75,1300:392:2,0.02
Meganyctiphanes,norvegica,39.75,2.25,1300:392:3,0.03
Meganyctiphanes,norvegica,39.75,2.75,1300:392:4,0.03
Meganyctiphanes,norvegica,39.25,3.25,1300:393:1,0.02
Meganyctiphanes,norvegica,39.25,3.75,1300:393:2,0.02
Meganyctiphanes,norvegica,39.75,3.25,1300:393:3,0.01
Meganyctiphanes,norvegica,39.75,3.75,1300:393:4,0.02
Meganyctiphanes,norvegica,39.75,4.25,1300:394:3,0.03
Meganyctiphanes,norvegica,39.75,4.75,1300:394:4,0.03
Meganyctiphanes,norvegica,36.75,6.25,1300:466:3,0.19
