Mapping parameters for Melarhaphe neritoides (small periwinkle)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 27 |  37 |  51,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,-0.8,10.22,19.91,30.45
Salinity (psu),1,17.99,33.26,37.96,40.47
Primary Production (mgC·m-3·day-1) ,1,-0.31,0.69,20.42,81.31
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.98,198.83,280.89,333.27
Distance to Land (km),0,0,3,48,200
 

Map data (HSPEC) for predicted occurrences (n = 3327): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Melarhaphe,neritoides,64.75,-26.75,7602:246:4,0.19
Melarhaphe,neritoides,64.25,-25.75,7602:245:2,0.03
Melarhaphe,neritoides,64.25,-25.25,7602:245:1,0.10
Melarhaphe,neritoides,63.75,-24.75,7602:134:4,0.09
Melarhaphe,neritoides,63.25,-24.75,7602:134:2,0.01
Melarhaphe,neritoides,63.25,-23.25,7602:133:1,0.13
Melarhaphe,neritoides,63.25,-22.75,7602:132:2,0.17
Melarhaphe,neritoides,63.25,-22.25,7602:132:1,0.16
Melarhaphe,neritoides,64.25,-12.25,7601:142:1,0.18
Melarhaphe,neritoides,62.75,-8.25,7600:228:3,0.18
Melarhaphe,neritoides,62.75,-5.25,7600:225:3,0.08
Melarhaphe,neritoides,61.25,-5.75,7600:215:2,0.16
Melarhaphe,neritoides,61.25,-5.25,7600:215:1,0.12
Melarhaphe,neritoides,60.75,-9.75,7600:209:4,0.19
Melarhaphe,neritoides,60.75,-7.75,7600:207:4,0.06
Melarhaphe,neritoides,61.75,-4.75,7600:114:4,0.06
Melarhaphe,neritoides,56.25,-15.25,7501:465:1,0.09
Melarhaphe,neritoides,56.75,-13.75,7501:363:4,0.04
Melarhaphe,neritoides,54.75,-10.75,7501:140:4,0.08
Melarhaphe,neritoides,53.75,-13.75,7501:133:4,0.19
Melarhaphe,neritoides,53.75,-11.75,7501:131:4,0.06
Melarhaphe,neritoides,52.75,-13.25,7501:123:3,0.02
Melarhaphe,neritoides,50.75,-11.25,7501:101:3,0.04
Melarhaphe,neritoides,57.25,-5.25,7500:475:1,0.05
Melarhaphe,neritoides,58.25,-4.75,7500:384:2,0.05
Melarhaphe,neritoides,56.25,-4.75,7500:364:2,0.09
Melarhaphe,neritoides,56.25,-3.75,7500:363:2,0.09
Melarhaphe,neritoides,55.75,-4.25,7500:354:3,0.05
Melarhaphe,neritoides,55.25,-3.75,7500:353:2,0.08
Melarhaphe,neritoides,55.25,-3.25,7500:353:1,0.13
Melarhaphe,neritoides,52.75,-8.75,7500:228:4,0.05
Melarhaphe,neritoides,54.25,-0.75,7500:140:2,0.09
Melarhaphe,neritoides,53.75,-0.75,7500:130:4,0.04
Melarhaphe,neritoides,52.75,-3.75,7500:123:4,0.04
Melarhaphe,neritoides,51.75,-2.25,7500:112:3,0.04
Melarhaphe,neritoides,47.75,-7.75,7400:477:4,0.18
Melarhaphe,neritoides,47.75,-2.25,7400:372:3,0.14
Melarhaphe,neritoides,44.25,-6.75,7400:246:2,0.17
Melarhaphe,neritoides,43.75,-9.25,7400:239:3,0.05
Melarhaphe,neritoides,42.75,-8.75,7400:228:4,0.18
Melarhaphe,neritoides,-51.25,75.75,3507:215:2,0.02
Melarhaphe,neritoides,-53.25,74.25,3507:134:1,0.07
Melarhaphe,neritoides,-52.75,74.75,3507:124:4,0.09
Melarhaphe,neritoides,-52.25,74.75,3507:124:2,0.06
Melarhaphe,neritoides,-52.25,73.75,3507:123:2,0.08
Melarhaphe,neritoides,-52.25,73.25,3507:123:1,0.03
Melarhaphe,neritoides,-52.75,72.25,3507:122:3,0.09
Melarhaphe,neritoides,-52.75,71.75,3507:121:4,0.13
Melarhaphe,neritoides,-51.75,74.75,3507:114:4,0.03
Melarhaphe,neritoides,-51.75,74.25,3507:114:3,0.11
Melarhaphe,neritoides,-51.25,73.25,3507:113:1,0.12
Melarhaphe,neritoides,-51.25,72.75,3507:112:2,0.12
Melarhaphe,neritoides,-51.25,70.75,3507:110:2,0.07
Melarhaphe,neritoides,-51.25,70.25,3507:110:1,0.10
Melarhaphe,neritoides,-50.25,74.25,3507:104:1,0.04
Melarhaphe,neritoides,-50.25,70.25,3507:100:1,0.12
Melarhaphe,neritoides,-49.75,71.25,3407:391:3,0.08
Melarhaphe,neritoides,-48.75,71.25,3407:381:3,0.02
Melarhaphe,neritoides,-47.75,71.75,3407:371:4,0.09
Melarhaphe,neritoides,-47.25,71.75,3407:371:2,0.12
Melarhaphe,neritoides,-49.25,69.25,3406:499:1,0.04
Melarhaphe,neritoides,-49.75,67.25,3406:497:3,0.08
Melarhaphe,neritoides,-49.25,66.75,3406:496:2,0.11
Melarhaphe,neritoides,-48.25,67.25,3406:487:1,0.03
Melarhaphe,neritoides,-46.75,52.75,3405:362:4,0.06
Melarhaphe,neritoides,-46.25,51.25,3405:361:1,0.03
Melarhaphe,neritoides,-46.75,49.75,3404:469:4,0.08
Melarhaphe,neritoides,-27.25,46.25,3204:476:1,0.16
