Mapping parameters for Menticirrhus undulatus (California kingcroaker)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,34,-19,-122,-70

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,8,14
Temperature (°C),1,10.72,17.87,27.76,31.96
Salinity (psu),1,29.83,31.77,35.32,36.29
Primary Production (mgC·m-3·day-1) ,1,0.63,1.63,41.75,93.95
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.21,13.91,226.67,253.89
Distance to Land (km),0,1,6,73,124
 

Map data (HSPEC) for predicted occurrences (n = 368): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Menticirrhus,undulatus,18.25,-114.75,7111:384:2,0.06
Menticirrhus,undulatus,8.25,-77.75,7007:487:2,0.17
Menticirrhus,undulatus,4.75,-77.25,7007:247:3,0.19
Menticirrhus,undulatus,4.25,-77.25,7007:247:1,0.10
Menticirrhus,undulatus,2.75,-78.75,7007:228:4,0.07
Menticirrhus,undulatus,2.75,-78.25,7007:228:3,0.04
Menticirrhus,undulatus,-17.25,-71.25,5107:371:1,0.04
Menticirrhus,undulatus,-16.25,-73.75,5107:363:2,0.14
Menticirrhus,undulatus,-16.25,-73.25,5107:363:1,0.07
Menticirrhus,undulatus,-16.75,-72.75,5107:362:4,0.16
Menticirrhus,undulatus,-15.75,-73.75,5107:353:4,0.13
Menticirrhus,undulatus,-12.75,-76.25,5107:226:3,0.18
Menticirrhus,undulatus,-12.25,-76.75,5107:226:2,0.15
Menticirrhus,undulatus,-11.25,-77.75,5107:217:2,0.14
Menticirrhus,undulatus,-11.25,-77.25,5107:217:1,0.17
Menticirrhus,undulatus,-6.75,-80.25,5008:360:3,0.10
Menticirrhus,undulatus,7.75,-78.25,7007:478:3,0.35
Menticirrhus,undulatus,7.25,-78.25,7007:478:1,0.37
Menticirrhus,undulatus,7.25,-77.75,7007:477:2,0.21
Menticirrhus,undulatus,6.75,-77.75,7007:467:4,0.21
Menticirrhus,undulatus,6.75,-77.25,7007:467:3,0.32
Menticirrhus,undulatus,6.25,-77.25,7007:467:1,0.32
Menticirrhus,undulatus,5.75,-77.25,7007:457:3,0.30
Menticirrhus,undulatus,5.25,-77.25,7007:457:1,0.26
Menticirrhus,undulatus,3.25,-77.75,7007:237:2,0.21
Menticirrhus,undulatus,3.25,-77.25,7007:237:1,0.20
Menticirrhus,undulatus,2.25,-78.25,7007:228:1,0.37
Menticirrhus,undulatus,2.75,-77.75,7007:227:4,0.25
Menticirrhus,undulatus,-18.25,-70.25,5107:380:1,0.38
Menticirrhus,undulatus,-17.75,-71.25,5107:371:3,0.26
Menticirrhus,undulatus,-17.75,-70.75,5107:370:4,0.23
Menticirrhus,undulatus,-15.75,-74.25,5107:354:3,0.35
Menticirrhus,undulatus,-13.25,-76.25,5107:236:1,0.34
Menticirrhus,undulatus,-10.75,-77.75,5107:207:4,0.22
Menticirrhus,undulatus,-10.25,-77.75,5107:207:2,0.25
Menticirrhus,undulatus,-6.25,-81.25,5008:361:1,0.23
Menticirrhus,undulatus,-6.25,-80.25,5008:360:1,0.20
Menticirrhus,undulatus,-5.75,-80.75,5008:350:4,0.25
Menticirrhus,undulatus,-5.25,-80.75,5008:350:2,0.37
Menticirrhus,undulatus,-3.75,-80.25,5008:130:3,0.29
Menticirrhus,undulatus,-3.25,-80.25,5008:130:1,0.26
Menticirrhus,undulatus,-2.75,-80.25,5008:120:3,0.38
Menticirrhus,undulatus,-9.75,-78.25,5007:498:3,0.35
Menticirrhus,undulatus,-9.25,-78.25,5007:498:1,0.33
