Mapping parameters for Mesocentrotus franciscanus (red sea urchin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 67,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,13,61,125
Temperature (°C),1,6.75,8.11,11.5,13.02
Salinity (psu),1,19.71,25.56,31.84,38.27
Primary Production (mgC·m-3·day-1) ,1,4.01,11.87,38.39,64.1
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.01
Dissolved Bottom Oxygen (mmol·m-3),0,20.41,47.06,297.09,310.25
Distance to Land (km),0,1,4,67,445
 

Map data (HSPEC) for predicted occurrences (n = 323): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mesocentrotus,franciscanus,42.25,-124.25,7412:124:1,0.13
Mesocentrotus,franciscanus,45.25,-123.75,7412:353:2,0.10
Mesocentrotus,franciscanus,45.75,-124.25,7412:354:3,0.06
Mesocentrotus,franciscanus,46.75,-124.25,7412:364:3,0.05
Mesocentrotus,franciscanus,47.75,-123.25,7412:373:3,0.04
Mesocentrotus,franciscanus,49.75,-123.25,7412:393:3,0.08
Mesocentrotus,franciscanus,49.25,-125.25,7412:495:1,0.15
Mesocentrotus,franciscanus,49.75,-126.25,7412:496:3,0.08
Mesocentrotus,franciscanus,50.25,-123.75,7512:103:2,0.08
Mesocentrotus,franciscanus,50.25,-124.25,7512:104:1,0.08
Mesocentrotus,franciscanus,50.75,-124.75,7512:104:4,0.08
Mesocentrotus,franciscanus,50.75,-125.25,7512:205:3,0.08
Mesocentrotus,franciscanus,50.75,-125.75,7512:205:4,0.08
Mesocentrotus,franciscanus,51.25,-125.75,7512:215:2,0.08
Mesocentrotus,franciscanus,51.25,-126.75,7512:216:2,0.08
Mesocentrotus,franciscanus,51.75,-127.25,7512:217:3,0.15
Mesocentrotus,franciscanus,52.25,-127.25,7512:227:1,0.08
Mesocentrotus,franciscanus,52.75,-127.25,7512:227:3,0.08
Mesocentrotus,franciscanus,52.75,-127.75,7512:227:4,0.08
Mesocentrotus,franciscanus,52.25,-129.75,7512:229:2,0.19
Mesocentrotus,franciscanus,53.25,-128.25,7512:238:1,0.08
Mesocentrotus,franciscanus,53.25,-128.75,7512:238:2,0.15
