Mapping parameters for Mesoplodon stejnegeri (Stejneger's beaked whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  61 |  67 |  71 |  77,
Bounding Box (NSWE): ,90,0,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,200,2000,8000
Temperature (°C),1,1.7,5.22,17.89,22.07
Salinity (psu),1,19.95,28.4,33.51,35.7
Primary Production (mgC·m-3·day-1) ,1,3.13,5.89,51.78,79.81
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.01,0.26
Dissolved Bottom Oxygen (mmol·m-3),0,18.51,78.41,318.69,353.35
Distance to Land (km),0,1,8,221,957
 

Map data (HSPEC) for predicted occurrences (n = 10197): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mesoplodon,stejnegeri,25.75,119.75,1211:459:4,0.01
Mesoplodon,stejnegeri,26.25,119.75,1211:469:2,0.02
Mesoplodon,stejnegeri,26.25,120.25,1212:360:1,0.03
Mesoplodon,stejnegeri,26.75,120.25,1212:360:3,0.02
Mesoplodon,stejnegeri,26.75,120.75,1212:360:4,0.02
Mesoplodon,stejnegeri,27.25,120.25,1212:370:1,0.03
Mesoplodon,stejnegeri,27.25,120.75,1212:370:2,0.02
Mesoplodon,stejnegeri,27.75,120.75,1212:370:4,0.02
Mesoplodon,stejnegeri,27.25,121.25,1212:371:1,0.03
Mesoplodon,stejnegeri,27.75,121.25,1212:371:3,0.02
Mesoplodon,stejnegeri,27.75,121.75,1212:371:4,0.03
Mesoplodon,stejnegeri,28.25,121.25,1212:381:1,0.02
Mesoplodon,stejnegeri,28.25,121.75,1212:381:2,0.02
Mesoplodon,stejnegeri,28.75,121.75,1212:381:4,0.02
Mesoplodon,stejnegeri,28.25,122.25,1212:382:1,0.04
Mesoplodon,stejnegeri,28.75,122.25,1212:382:3,0.04
Mesoplodon,stejnegeri,28.75,122.75,1212:382:4,0.05
Mesoplodon,stejnegeri,28.75,123.25,1212:383:3,0.02
Mesoplodon,stejnegeri,28.75,123.75,1212:383:4,0.02
Mesoplodon,stejnegeri,28.75,124.25,1212:384:3,0.01
Mesoplodon,stejnegeri,29.25,121.75,1212:391:2,0.01
Mesoplodon,stejnegeri,29.75,121.75,1212:391:4,0.01
Mesoplodon,stejnegeri,29.25,122.25,1212:392:1,0.01
Mesoplodon,stejnegeri,29.25,122.75,1212:392:2,0.06
Mesoplodon,stejnegeri,29.75,122.25,1212:392:3,0.01
Mesoplodon,stejnegeri,29.75,122.75,1212:392:4,0.07
Mesoplodon,stejnegeri,29.25,123.25,1212:393:1,0.07
Mesoplodon,stejnegeri,29.25,123.75,1212:393:2,0.06
Mesoplodon,stejnegeri,29.75,123.25,1212:393:3,0.09
Mesoplodon,stejnegeri,29.75,123.75,1212:393:4,0.08
Mesoplodon,stejnegeri,29.25,124.25,1212:394:1,0.06
Mesoplodon,stejnegeri,29.25,124.75,1212:394:2,0.05
Mesoplodon,stejnegeri,29.75,124.25,1212:394:3,0.09
Mesoplodon,stejnegeri,29.75,124.75,1212:394:4,0.09
Mesoplodon,stejnegeri,29.25,125.25,1212:495:1,0.03
Mesoplodon,stejnegeri,29.75,125.25,1212:495:3,0.09
Mesoplodon,stejnegeri,29.75,125.75,1212:495:4,0.06
Mesoplodon,stejnegeri,34.25,119.75,1311:249:2,0.05
Mesoplodon,stejnegeri,34.75,119.25,1311:249:3,0.07
Mesoplodon,stejnegeri,34.75,119.75,1311:249:4,0.15
Mesoplodon,stejnegeri,35.25,119.25,1311:459:1,0.09
Mesoplodon,stejnegeri,35.25,119.75,1311:459:2,0.09
Mesoplodon,stejnegeri,35.75,119.75,1311:459:4,0.06
Mesoplodon,stejnegeri,37.25,119.25,1311:479:1,0.02
Mesoplodon,stejnegeri,37.25,119.75,1311:479:2,0.01
Mesoplodon,stejnegeri,37.75,119.25,1311:479:3,0.03
Mesoplodon,stejnegeri,38.75,118.25,1311:488:3,0.02
Mesoplodon,stejnegeri,38.75,118.75,1311:488:4,0.02
Mesoplodon,stejnegeri,38.25,119.25,1311:489:1,0.06
Mesoplodon,stejnegeri,39.25,118.25,1311:498:1,0.01
Mesoplodon,stejnegeri,39.25,118.75,1311:498:2,0.03
Mesoplodon,stejnegeri,30.25,122.25,1312:102:1,0.01
Mesoplodon,stejnegeri,30.25,122.75,1312:102:2,0.03
Mesoplodon,stejnegeri,30.75,122.25,1312:102:3,0.01
Mesoplodon,stejnegeri,30.75,122.75,1312:102:4,0.03
Mesoplodon,stejnegeri,30.25,123.25,1312:103:1,0.06
Mesoplodon,stejnegeri,30.25,123.75,1312:103:2,0.09
Mesoplodon,stejnegeri,30.75,123.25,1312:103:3,0.09
Mesoplodon,stejnegeri,30.75,123.75,1312:103:4,0.14
Mesoplodon,stejnegeri,30.25,124.25,1312:104:1,0.13
Mesoplodon,stejnegeri,30.25,124.75,1312:104:2,0.13
Mesoplodon,stejnegeri,30.75,124.25,1312:104:3,0.16
Mesoplodon,stejnegeri,30.75,124.75,1312:104:4,0.16
Mesoplodon,stejnegeri,31.25,122.75,1312:112:2,0.09
Mesoplodon,stejnegeri,31.75,122.75,1312:112:4,0.11
Mesoplodon,stejnegeri,31.25,123.25,1312:113:1,0.15
Mesoplodon,stejnegeri,31.25,123.75,1312:113:2,0.17
Mesoplodon,stejnegeri,31.75,123.25,1312:113:3,0.16
Mesoplodon,stejnegeri,31.75,123.75,1312:113:4,0.18
Mesoplodon,stejnegeri,31.25,124.25,1312:114:1,0.18
Mesoplodon,stejnegeri,31.25,124.75,1312:114:2,0.19
Mesoplodon,stejnegeri,32.75,121.25,1312:121:3,0.02
Mesoplodon,stejnegeri,32.75,121.75,1312:121:4,0.06
Mesoplodon,stejnegeri,32.25,122.25,1312:122:1,0.05
Mesoplodon,stejnegeri,32.25,122.75,1312:122:2,0.14
Mesoplodon,stejnegeri,32.75,122.25,1312:122:3,0.11
Mesoplodon,stejnegeri,32.75,122.75,1312:122:4,0.16
Mesoplodon,stejnegeri,32.25,123.25,1312:123:1,0.18
Mesoplodon,stejnegeri,32.75,123.25,1312:123:3,0.18
