Mapping parameters for Metridium senile (clonal plumose anemone)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  27 |  31 |  61 |  67 |  77 |  87,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,11,20
Temperature (°C),1,-0.07,6.51,13.07,28.02
Salinity (psu),1,5.6,25.67,34.84,39.5
Primary Production (mgC·m-3·day-1) ,1,1.12,4.53,35.2,93.6
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0,0.35
Dissolved Bottom Oxygen (mmol·m-3),0,4.48,198.77,306.87,361.05
Distance to Land (km),0,0,2,91,460
 

Map data (HSPEC) for predicted occurrences (n = 5463): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Metridium,senile,15.25,108.75,1110:458:2,0.07
Metridium,senile,15.75,108.25,1110:458:3,0.08
Metridium,senile,15.75,108.75,1110:458:4,0.07
Metridium,senile,15.25,109.25,1110:459:1,0.05
Metridium,senile,15.75,109.25,1110:459:3,0.03
Metridium,senile,16.25,107.75,1110:467:2,0.08
Metridium,senile,16.75,107.25,1110:467:3,0.09
Metridium,senile,16.75,107.75,1110:467:4,0.09
Metridium,senile,16.25,108.25,1110:468:1,0.08
Metridium,senile,16.25,108.75,1110:468:2,0.06
Metridium,senile,16.75,109.25,1110:469:3,0.02
Metridium,senile,17.25,106.75,1110:476:2,0.10
Metridium,senile,17.75,106.25,1110:476:3,0.11
Metridium,senile,17.75,106.75,1110:476:4,0.11
Metridium,senile,17.25,107.25,1110:477:1,0.10
Metridium,senile,17.25,109.75,1110:479:2,0.02
Metridium,senile,17.75,109.75,1110:479:4,0.05
Metridium,senile,18.25,105.75,1110:485:2,0.11
Metridium,senile,18.75,105.75,1110:485:4,0.13
Metridium,senile,18.25,106.25,1110:486:1,0.12
Metridium,senile,18.25,106.75,1110:486:2,0.10
Metridium,senile,18.75,106.25,1110:486:3,0.12
Metridium,senile,18.25,108.75,1110:488:2,0.06
Metridium,senile,18.75,108.75,1110:488:4,0.08
Metridium,senile,18.25,109.25,1110:489:1,0.07
Metridium,senile,18.25,109.75,1110:489:2,0.08
Metridium,senile,19.25,105.75,1110:495:2,0.13
Metridium,senile,19.75,105.75,1110:495:4,0.14
Metridium,senile,19.25,106.25,1110:496:1,0.13
Metridium,senile,19.75,106.25,1110:496:3,0.12
Metridium,senile,19.25,108.75,1110:498:2,0.10
Metridium,senile,19.75,108.75,1110:498:4,0.12
Metridium,senile,19.75,109.25,1110:499:3,0.13
Metridium,senile,19.75,109.75,1110:499:4,0.15
Metridium,senile,17.25,110.25,1111:370:1,0.01
Metridium,senile,17.75,110.25,1111:370:3,0.02
Metridium,senile,18.25,110.25,1111:380:1,0.07
Metridium,senile,18.25,110.75,1111:380:2,0.04
Metridium,senile,18.75,110.25,1111:380:3,0.10
Metridium,senile,18.75,110.75,1111:380:4,0.08
Metridium,senile,18.75,111.25,1111:381:3,0.03
Metridium,senile,19.25,110.75,1111:390:2,0.12
