Mapping parameters for Mimachlamys asperrima ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1073,2712,7000
Temperature (°C),1,10.79,14.88,22.84,27.87
Salinity (psu),1,33.72,35.14,36.14,37.72
Primary Production (mgC·m-3·day-1) ,1,0.87,2.7,19.78,32.38
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,147.14,209.11,252.78,280.03
Distance to Land (km),0,0,6,104,193.5
 

Map data (HSPEC) for predicted occurrences (n = 4346): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mimachlamys,asperrima,-11.25,80.25,3108:110:1,0.01
Mimachlamys,asperrima,-11.25,80.75,3108:110:2,0.01
Mimachlamys,asperrima,-11.75,80.25,3108:110:3,0.01
Mimachlamys,asperrima,-11.75,80.75,3108:110:4,0.01
Mimachlamys,asperrima,-11.25,81.25,3108:111:1,0.01
Mimachlamys,asperrima,-11.25,81.75,3108:111:2,0.01
Mimachlamys,asperrima,-11.75,81.25,3108:111:3,0.01
Mimachlamys,asperrima,-11.75,81.75,3108:111:4,0.01
Mimachlamys,asperrima,-11.25,82.25,3108:112:1,0.01
Mimachlamys,asperrima,-11.25,82.75,3108:112:2,0.01
Mimachlamys,asperrima,-11.75,82.25,3108:112:3,0.01
Mimachlamys,asperrima,-11.75,82.75,3108:112:4,0.01
Mimachlamys,asperrima,-11.25,83.75,3108:113:2,0.01
Mimachlamys,asperrima,-11.75,83.25,3108:113:3,0.01
Mimachlamys,asperrima,-11.75,83.75,3108:113:4,0.01
Mimachlamys,asperrima,-11.25,84.25,3108:114:1,0.01
Mimachlamys,asperrima,-11.75,84.25,3108:114:3,0.01
Mimachlamys,asperrima,-12.25,80.25,3108:120:1,0.01
Mimachlamys,asperrima,-12.25,80.75,3108:120:2,0.01
Mimachlamys,asperrima,-12.75,80.25,3108:120:3,0.01
Mimachlamys,asperrima,-12.75,80.75,3108:120:4,0.01
Mimachlamys,asperrima,-12.25,81.25,3108:121:1,0.01
Mimachlamys,asperrima,-12.25,81.75,3108:121:2,0.01
Mimachlamys,asperrima,-12.75,81.25,3108:121:3,0.01
Mimachlamys,asperrima,-12.75,81.75,3108:121:4,0.01
Mimachlamys,asperrima,-12.25,82.25,3108:122:1,0.01
Mimachlamys,asperrima,-12.25,82.75,3108:122:2,0.01
Mimachlamys,asperrima,-12.75,82.25,3108:122:3,0.01
Mimachlamys,asperrima,-12.75,82.75,3108:122:4,0.01
Mimachlamys,asperrima,-12.25,83.25,3108:123:1,0.01
Mimachlamys,asperrima,-12.25,83.75,3108:123:2,0.01
Mimachlamys,asperrima,-12.75,83.25,3108:123:3,0.01
Mimachlamys,asperrima,-12.75,83.75,3108:123:4,0.01
Mimachlamys,asperrima,-12.25,84.25,3108:124:1,0.01
Mimachlamys,asperrima,-13.25,80.25,3108:130:1,0.01
Mimachlamys,asperrima,-13.25,80.75,3108:130:2,0.01
Mimachlamys,asperrima,-13.75,80.25,3108:130:3,0.01
Mimachlamys,asperrima,-13.75,80.75,3108:130:4,0.01
Mimachlamys,asperrima,-13.25,81.25,3108:131:1,0.01
Mimachlamys,asperrima,-13.25,81.75,3108:131:2,0.01
Mimachlamys,asperrima,-13.75,81.25,3108:131:3,0.01
Mimachlamys,asperrima,-13.75,81.75,3108:131:4,0.01
Mimachlamys,asperrima,-13.25,82.25,3108:132:1,0.01
Mimachlamys,asperrima,-13.25,82.75,3108:132:2,0.01
Mimachlamys,asperrima,-13.75,82.25,3108:132:3,0.01
Mimachlamys,asperrima,-13.75,82.75,3108:132:4,0.01
Mimachlamys,asperrima,-13.25,83.25,3108:133:1,0.01
Mimachlamys,asperrima,-13.25,83.75,3108:133:2,0.01
Mimachlamys,asperrima,-13.75,83.25,3108:133:3,0.01
Mimachlamys,asperrima,-13.75,83.75,3108:133:4,0.01
Mimachlamys,asperrima,-14.25,80.25,3108:140:1,0.01
Mimachlamys,asperrima,-14.25,80.75,3108:140:2,0.01
Mimachlamys,asperrima,-14.25,82.25,3108:142:1,0.01
Mimachlamys,asperrima,-14.25,82.75,3108:142:2,0.01
Mimachlamys,asperrima,-14.25,83.25,3108:143:1,0.01
Mimachlamys,asperrima,-12.25,85.75,3108:225:2,0.01
Mimachlamys,asperrima,-13.25,96.25,3109:236:1,0.01
Mimachlamys,asperrima,-13.25,96.75,3109:236:2,0.01
Mimachlamys,asperrima,-13.75,96.25,3109:236:3,0.01
Mimachlamys,asperrima,-13.75,96.75,3109:236:4,0.01
Mimachlamys,asperrima,-13.75,97.25,3109:237:3,0.01
Mimachlamys,asperrima,-13.75,97.75,3109:237:4,0.01
Mimachlamys,asperrima,-13.25,98.25,3109:238:1,0.01
Mimachlamys,asperrima,-13.75,98.25,3109:238:3,0.01
Mimachlamys,asperrima,-14.25,97.25,3109:247:1,0.01
Mimachlamys,asperrima,-14.25,97.75,3109:247:2,0.01
Mimachlamys,asperrima,-14.25,98.25,3109:248:1,0.01
Mimachlamys,asperrima,-14.25,98.75,3109:248:2,0.01
Mimachlamys,asperrima,-14.75,98.75,3109:248:4,0.01
Mimachlamys,asperrima,-14.25,99.25,3109:249:1,0.01
Mimachlamys,asperrima,-14.25,99.75,3109:249:2,0.01
Mimachlamys,asperrima,-14.75,99.25,3109:249:3,0.01
Mimachlamys,asperrima,-14.75,99.75,3109:249:4,0.01
Mimachlamys,asperrima,-12.75,103.25,3110:123:3,0.01
Mimachlamys,asperrima,-12.75,103.75,3110:123:4,0.01
Mimachlamys,asperrima,-12.75,104.25,3110:124:3,0.01
Mimachlamys,asperrima,-13.25,101.75,3110:131:2,0.01
Mimachlamys,asperrima,-13.75,101.25,3110:131:3,0.01
Mimachlamys,asperrima,-13.75,101.75,3110:131:4,0.01
Mimachlamys,asperrima,-13.25,102.25,3110:132:1,0.01
Mimachlamys,asperrima,-13.25,102.75,3110:132:2,0.01
Mimachlamys,asperrima,-13.75,102.25,3110:132:3,0.01
Mimachlamys,asperrima,-13.75,102.75,3110:132:4,0.01
Mimachlamys,asperrima,-13.25,103.25,3110:133:1,0.01
Mimachlamys,asperrima,-13.25,103.75,3110:133:2,0.01
Mimachlamys,asperrima,-13.75,103.25,3110:133:3,0.01
Mimachlamys,asperrima,-13.75,103.75,3110:133:4,0.01
Mimachlamys,asperrima,-13.25,104.25,3110:134:1,0.01
Mimachlamys,asperrima,-13.75,104.25,3110:134:3,0.01
Mimachlamys,asperrima,-14.75,100.25,3110:140:3,0.01
Mimachlamys,asperrima,-14.25,101.25,3110:141:1,0.01
Mimachlamys,asperrima,-14.25,101.75,3110:141:2,0.01
Mimachlamys,asperrima,-14.75,101.25,3110:141:3,0.01
Mimachlamys,asperrima,-14.75,101.75,3110:141:4,0.01
Mimachlamys,asperrima,-14.25,102.25,3110:142:1,0.01
Mimachlamys,asperrima,-14.25,102.75,3110:142:2,0.01
Mimachlamys,asperrima,-14.75,102.25,3110:142:3,0.01
Mimachlamys,asperrima,-14.75,102.75,3110:142:4,0.01
Mimachlamys,asperrima,-14.25,103.25,3110:143:1,0.01
Mimachlamys,asperrima,-14.25,103.75,3110:143:2,0.01
