Mapping parameters for Mobula japanica (Spinetail mobula)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  34 |  41 |  51 |  57 |  61 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,40,-41,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,200,300
Temperature (°C),1,13.27,21.21,28.35,32.55
Salinity (psu),1,21.09,32.6,35.24,37.1
Primary Production (mgC·m-3·day-1) ,1,0.42,6.23,24.91,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.53,87.81,188.15,251.55
Distance to Land (km),0,1,24,991,2135
 

Map data (HSPEC) for predicted occurrences (n = 8493): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mobula,japanica,36.25,-121.25,7312:361:1,0.04
Mobula,japanica,35.75,-121.25,7312:351:3,0.05
Mobula,japanica,35.25,-121.25,7312:351:1,0.05
Mobula,japanica,35.25,-120.75,7312:350:2,0.10
Mobula,japanica,34.75,-121.75,7312:141:4,0.05
Mobula,japanica,34.75,-121.25,7312:141:3,0.05
Mobula,japanica,34.75,-120.75,7312:140:4,0.04
Mobula,japanica,34.75,-120.25,7312:140:3,0.16
Mobula,japanica,34.25,-120.75,7312:140:2,0.10
Mobula,japanica,34.25,-120.25,7312:140:1,0.15
Mobula,japanica,32.75,-119.75,7311:229:4,0.14
Mobula,japanica,32.75,-117.75,7311:227:4,0.16
Mobula,japanica,31.75,-114.75,7311:114:4,0.17
Mobula,japanica,31.25,-114.75,7311:114:2,0.19
Mobula,japanica,31.25,-113.75,7311:113:2,0.18
