Mapping parameters for Monachus monachus (Mediterranean monk seal)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,90,20,-24,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,100,1000,2000
Temperature (°C),1,13.9,16.24,22.59,24.57
Salinity (psu),1,15.57,32.24,39.14,39.64
Primary Production (mgC·m-3·day-1) ,1,-0.56,0.44,9.02,48.18
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,0.1,179.7,250.57,323.73
Distance to Land (km),1,3,13,141,200
 

Map data (HSPEC) for predicted occurrences (n = 1344): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Monachus,monachus,42.75,-10.75,7401:120:4,0.19
Monachus,monachus,42.25,-10.75,7401:120:2,0.10
Monachus,monachus,40.75,-10.25,7401:100:3,0.01
Monachus,monachus,48.25,-6.75,7400:486:2,0.01
Monachus,monachus,48.25,-6.25,7400:486:1,0.04
Monachus,monachus,47.75,-6.75,7400:476:4,0.01
Monachus,monachus,47.75,-6.25,7400:476:3,0.08
Monachus,monachus,47.25,-6.25,7400:476:1,0.01
Monachus,monachus,47.75,-5.75,7400:475:4,0.12
Monachus,monachus,47.75,-5.25,7400:475:3,0.03
Monachus,monachus,47.25,-5.75,7400:475:2,0.13
Monachus,monachus,46.75,-5.75,7400:465:4,0.02
Monachus,monachus,46.75,-5.25,7400:465:3,0.19
Monachus,monachus,47.75,-4.25,7400:374:3,0.01
Monachus,monachus,47.75,-3.75,7400:373:4,0.04
Monachus,monachus,47.25,-3.25,7400:373:1,0.15
Monachus,monachus,47.25,-2.75,7400:372:2,0.01
Monachus,monachus,46.25,-4.75,7400:364:2,0.02
Monachus,monachus,46.75,-2.25,7400:362:3,0.14
Monachus,monachus,46.25,-1.25,7400:361:1,0.15
Monachus,monachus,45.75,-3.75,7400:353:4,0.01
Monachus,monachus,45.25,-0.75,7400:350:2,0.02
Monachus,monachus,41.75,-9.75,7400:219:4,0.09
Monachus,monachus,43.75,-1.25,7400:131:3,0.17
Monachus,monachus,43.25,-1.75,7400:131:2,0.10
Monachus,monachus,38.75,-10.75,7301:380:4,0.01
Monachus,monachus,32.25,-10.75,7301:120:2,0.08
Monachus,monachus,30.25,-12.25,7301:102:1,0.07
Monachus,monachus,30.25,-11.25,7301:101:1,0.11
Monachus,monachus,37.25,-8.25,7300:478:1,0.08
Monachus,monachus,35.25,-8.25,7300:458:1,0.03
Monachus,monachus,37.75,-1.25,7300:371:3,0.10
Monachus,monachus,35.25,-1.25,7300:351:1,0.10
Monachus,monachus,27.75,-16.25,7201:476:3,0.15
Monachus,monachus,28.75,-10.75,7201:380:4,0.17
Monachus,monachus,24.25,-15.25,7201:245:1,0.09
Monachus,monachus,23.25,-17.75,7201:237:2,0.12
Monachus,monachus,23.75,-15.75,7201:235:4,0.17
Monachus,monachus,22.25,-18.25,7201:228:1,0.01
Monachus,monachus,22.75,-17.25,7201:227:3,0.06
Monachus,monachus,22.25,-17.75,7201:227:2,0.12
Monachus,monachus,21.75,-18.25,7201:218:3,0.09
Monachus,monachus,21.25,-18.25,7201:218:1,0.13
Monachus,monachus,20.25,-18.25,7201:208:1,0.13
Monachus,monachus,20.25,-16.25,7201:206:1,0.19
Monachus,monachus,24.75,-14.75,7201:144:4,0.13
Monachus,monachus,43.25,40.75,1404:130:2,0.04
Monachus,monachus,42.25,41.75,1404:121:2,0.12
Monachus,monachus,42.25,40.75,1404:120:2,0.16
Monachus,monachus,42.25,40.25,1404:120:1,0.10
Monachus,monachus,41.75,41.75,1404:111:4,0.18
Monachus,monachus,41.25,41.25,1404:111:1,0.11
Monachus,monachus,41.75,40.75,1404:110:4,0.13
Monachus,monachus,41.75,40.25,1404:110:3,0.06
Monachus,monachus,46.25,38.25,1403:468:1,0.01
Monachus,monachus,46.25,37.75,1403:467:2,0.02
Monachus,monachus,46.25,37.25,1403:467:1,0.01
