Mapping parameters for Mugil bananensis (Banana mullet)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,18.05,23.3,27.89,32.09
Salinity (psu),1,16.78,23.02,35.79,36.29
Primary Production (mgC·m-3·day-1) ,1,3.72,6.02,63.58,139.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,70.83,122.9,222.36,263.08
Distance to Land (km),0,1,2,27,111
 

Map data (HSPEC) for predicted occurrences (n = 295): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mugil,bananensis,4.75,4.75,1000:144:4,0.08
Mugil,bananensis,1.25,7.25,1000:217:1,0.05
Mugil,bananensis,1.75,7.25,1000:217:3,0.05
Mugil,bananensis,3.75,8.75,1000:238:4,0.18
Mugil,bananensis,-5.75,11.75,3001:351:4,0.12
Mugil,bananensis,-6.25,12.25,3001:362:1,0.17
Mugil,bananensis,-16.75,11.75,3101:361:4,0.08
Mugil,bananensis,-35.25,19.75,3301:459:2,0.03
Mugil,bananensis,-33.75,23.75,3302:133:4,0.08
Mugil,bananensis,-33.75,24.75,3302:134:4,0.15
Mugil,bananensis,-34.75,21.25,3302:141:3,0.01
Mugil,bananensis,-34.75,21.75,3302:141:4,0.03
Mugil,bananensis,-34.25,22.25,3302:142:1,0.02
Mugil,bananensis,-34.25,22.75,3302:142:2,0.05
Mugil,bananensis,-34.75,22.25,3302:142:3,0.11
Mugil,bananensis,-34.25,23.25,3302:143:1,0.09
Mugil,bananensis,-34.25,23.75,3302:143:2,0.13
Mugil,bananensis,-34.25,24.25,3302:144:1,0.16
Mugil,bananensis,-33.75,25.25,3302:235:3,0.18
Mugil,bananensis,-33.75,25.75,3302:235:4,0.18
Mugil,bananensis,-35.25,20.25,3302:350:1,0.04
Mugil,bananensis,-35.25,20.75,3302:350:2,0.03
Mugil,bananensis,-35.25,21.25,3302:351:1,0.03
Mugil,bananensis,-35.25,21.75,3302:351:2,0.15
Mugil,bananensis,-35.75,21.25,3302:351:3,0.15
Mugil,bananensis,-35.25,22.25,3302:352:1,0.01
Mugil,bananensis,-36.25,21.75,3302:361:2,0.14
Mugil,bananensis,8.75,-14.25,7001:384:3,0.06
Mugil,bananensis,14.75,-24.25,7102:144:3,0.17
Mugil,bananensis,16.75,-22.75,7102:362:4,0.02
Mugil,bananensis,20.25,-16.75,7201:206:2,0.09
Mugil,bananensis,20.25,-17.25,7201:207:1,0.07
Mugil,bananensis,20.75,-17.25,7201:207:3,0.07
Mugil,bananensis,20.75,-17.75,7201:207:4,0.02
Mugil,bananensis,21.25,-16.75,7201:216:2,0.01
Mugil,bananensis,21.25,-17.25,7201:217:1,0.03
Mugil,bananensis,31.25,-9.75,7300:219:2,0.02
Mugil,bananensis,31.75,-9.75,7300:219:4,0.02
Mugil,bananensis,32.25,-9.25,7300:229:1,0.01
Mugil,bananensis,36.25,-5.75,7300:465:2,0.03
Mugil,bananensis,36.25,-6.25,7300:466:1,0.14
Mugil,bananensis,36.75,-6.25,7300:466:3,0.10
Mugil,bananensis,36.75,-6.75,7300:466:4,0.18
Mugil,bananensis,37.25,-6.75,7300:476:2,0.11
Mugil,bananensis,37.25,-7.25,7300:477:1,0.13
Mugil,bananensis,37.25,-7.75,7300:477:2,0.09
Mugil,bananensis,37.25,-8.25,7300:478:1,0.02
Mugil,bananensis,38.75,-27.75,7302:487:4,0.01
Mugil,bananensis,4.25,9.75,1000:249:2,0.20
Mugil,bananensis,6.75,3.25,1000:363:3,0.20
Mugil,bananensis,-4.25,10.75,3001:140:2,0.25
Mugil,bananensis,-16.25,11.75,3101:361:2,0.24
Mugil,bananensis,-34.25,24.75,3302:144:2,0.21
Mugil,bananensis,-33.75,26.25,3302:236:3,0.27
Mugil,bananensis,-34.25,25.25,3302:245:1,0.28
Mugil,bananensis,-34.25,25.75,3302:245:2,0.39
Mugil,bananensis,-36.25,20.25,3302:360:1,0.21
Mugil,bananensis,-36.25,20.75,3302:360:2,0.21
Mugil,bananensis,-36.25,21.25,3302:361:1,0.29
Mugil,bananensis,4.25,-6.75,7000:246:2,0.38
Mugil,bananensis,18.75,-16.25,7101:486:3,0.34
Mugil,bananensis,18.75,-16.75,7101:486:4,0.37
Mugil,bananensis,19.25,-16.25,7101:496:1,0.36
Mugil,bananensis,19.25,-16.75,7101:496:2,0.39
Mugil,bananensis,19.75,-16.25,7101:496:3,0.21
Mugil,bananensis,19.75,-16.75,7101:496:4,0.27
Mugil,bananensis,19.75,-17.25,7101:497:3,0.24
Mugil,bananensis,15.25,-23.75,7102:353:2,0.29
Mugil,bananensis,16.25,-22.75,7102:362:2,0.20
Mugil,bananensis,0.25,6.75,1000:206:2,0.52
Mugil,bananensis,-6.25,11.75,3001:361:2,0.44
Mugil,bananensis,-15.75,11.75,3101:351:4,0.49
Mugil,bananensis,-15.75,12.25,3101:352:3,0.48
Mugil,bananensis,-32.75,27.75,3302:227:4,0.54
Mugil,bananensis,-33.75,26.75,3302:236:4,0.50
Mugil,bananensis,-33.25,27.25,3302:237:1,0.58
Mugil,bananensis,7.25,-13.25,7001:373:1,0.50
Mugil,bananensis,7.75,-13.75,7001:373:4,0.45
Mugil,bananensis,9.75,-15.25,7001:495:3,0.58
Mugil,bananensis,9.75,-16.25,7001:496:3,0.51
Mugil,bananensis,14.75,-23.75,7102:143:4,0.53
Mugil,bananensis,15.75,-22.75,7102:352:4,0.48
Mugil,bananensis,15.75,-23.25,7102:353:3,0.45
Mugil,bananensis,3.75,5.75,1000:235:4,0.60
Mugil,bananensis,4.75,8.25,1000:248:3,0.79
Mugil,bananensis,-5.25,11.75,3001:351:2,0.68
Mugil,bananensis,-14.75,12.25,3101:142:3,0.76
Mugil,bananensis,-15.25,12.25,3101:352:1,0.62
Mugil,bananensis,-33.25,27.75,3302:237:2,0.77
Mugil,bananensis,-34.25,26.25,3302:246:1,0.63
Mugil,bananensis,4.75,-7.25,7000:247:3,0.60
Mugil,bananensis,5.25,-5.75,7000:455:2,0.60
Mugil,bananensis,9.75,-15.75,7001:495:4,0.67
Mugil,bananensis,17.75,-16.25,7101:476:3,0.78
Mugil,bananensis,18.25,-16.25,7101:486:1,0.63
Mugil,bananensis,14.75,-23.25,7102:143:3,0.74
Mugil,bananensis,15.25,-23.25,7102:353:1,0.60
Mugil,bananensis,0.25,9.25,1000:209:1,1.00
Mugil,bananensis,0.25,9.75,1000:209:2,1.00
Mugil,bananensis,0.75,9.25,1000:209:3,1.00
Mugil,bananensis,0.75,9.75,1000:209:4,1.00
Mugil,bananensis,1.25,9.25,1000:219:1,1.00
Mugil,bananensis,1.25,9.75,1000:219:2,1.00
Mugil,bananensis,1.75,9.75,1000:219:4,1.00
Mugil,bananensis,2.25,9.75,1000:229:2,0.99
Mugil,bananensis,2.75,9.75,1000:229:4,0.99
Mugil,bananensis,3.75,6.25,1000:236:3,0.89
Mugil,bananensis,3.25,9.75,1000:239:2,0.90
Mugil,bananensis,3.75,9.25,1000:239:3,0.98
Mugil,bananensis,3.75,9.75,1000:239:4,1.00
Mugil,bananensis,4.25,5.25,1000:245:1,0.96
Mugil,bananensis,4.25,5.75,1000:245:2,0.97
Mugil,bananensis,4.75,5.25,1000:245:3,0.96
Mugil,bananensis,4.75,5.75,1000:245:4,0.98
Mugil,bananensis,4.25,6.25,1000:246:1,0.99
