Mapping parameters for Mustelus antarcticus (Gummy shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  81,
Bounding Box (NSWE): ,-28,-44,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,40,80,350
Temperature (°C),1,11.24,14.72,21.09,24
Salinity (psu),1,34.41,35.03,36.03,40.11
Primary Production (mgC·m-3·day-1) ,1,0.87,3.45,21.49,43.48
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,147.14,189.76,250.63,297.5
Distance to Land (km),0,0,10,156,453
 

Map data (HSPEC) for predicted occurrences (n = 644): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mustelus,antarcticus,-28.25,113.25,3211:383:1,0.18
Mustelus,antarcticus,-29.25,115.25,3211:495:1,0.10
Mustelus,antarcticus,-29.75,115.25,3211:495:3,0.07
Mustelus,antarcticus,-28.25,153.25,3215:383:1,0.05
Mustelus,antarcticus,-28.25,153.75,3215:383:2,0.09
Mustelus,antarcticus,-28.75,153.75,3215:383:4,0.15
Mustelus,antarcticus,-29.25,153.75,3215:393:2,0.19
Mustelus,antarcticus,-29.75,153.75,3215:393:4,0.18
Mustelus,antarcticus,-29.75,179.75,3217:499:4,0.04
Mustelus,antarcticus,-31.75,114.75,3311:114:4,0.04
Mustelus,antarcticus,-31.25,115.75,3311:215:2,0.10
Mustelus,antarcticus,-34.75,116.75,3311:246:4,0.12
Mustelus,antarcticus,-34.75,117.25,3311:247:3,0.08
Mustelus,antarcticus,-34.75,117.75,3311:247:4,0.05
Mustelus,antarcticus,-33.25,123.75,3312:133:2,0.05
Mustelus,antarcticus,-34.75,121.25,3312:141:3,0.05
Mustelus,antarcticus,-32.75,137.75,3313:227:4,0.04
Mustelus,antarcticus,-33.75,136.25,3313:236:3,0.01
Mustelus,antarcticus,-33.75,136.75,3313:236:4,0.04
Mustelus,antarcticus,-33.25,137.25,3313:237:1,0.16
Mustelus,antarcticus,-33.75,137.25,3313:237:3,0.06
Mustelus,antarcticus,-34.25,135.75,3313:245:2,0.04
Mustelus,antarcticus,-34.25,137.25,3313:247:1,0.04
Mustelus,antarcticus,-35.75,139.75,3313:459:4,0.02
Mustelus,antarcticus,-33.25,151.25,3315:131:1,0.15
Mustelus,antarcticus,-33.75,152.25,3315:132:3,0.19
Mustelus,antarcticus,-34.25,168.25,3316:248:1,0.01
Mustelus,antarcticus,-38.75,168.25,3316:488:3,0.05
Mustelus,antarcticus,-30.25,172.75,3317:102:2,0.01
Mustelus,antarcticus,-30.25,173.25,3317:103:1,0.02
Mustelus,antarcticus,-33.75,171.25,3317:131:3,0.02
Mustelus,antarcticus,-34.75,174.75,3317:144:4,0.07
Mustelus,antarcticus,-35.25,173.75,3317:353:2,0.05
Mustelus,antarcticus,-37.75,175.75,3317:475:4,0.02
