Mapping parameters for Mustelus walkeri (Eastern spotted gummy shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,52,92,214,403
Temperature (°C),1,22.23,23.31,26.54,30.74
Salinity (psu),1,34.18,34.68,35.68,36.18
Primary Production (mgC·m-3·day-1) ,1,0.87,2.12,12.41,19.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,117.04,157.95,211.4,260.29
Distance to Land (km),0,17,19,313,654
 

Map data (HSPEC) for predicted occurrences (n = 1012): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mustelus,walkeri,0.75,134.25,1013:104:3,0.04
Mustelus,walkeri,2.75,131.75,1013:121:4,0.07
Mustelus,walkeri,3.25,131.75,1013:131:2,0.06
Mustelus,walkeri,1.25,154.75,1015:114:2,0.12
Mustelus,walkeri,5.75,168.25,1016:458:3,0.06
Mustelus,walkeri,5.75,169.25,1016:459:3,0.06
Mustelus,walkeri,5.75,169.75,1016:459:4,0.06
Mustelus,walkeri,6.25,169.25,1016:469:1,0.03
Mustelus,walkeri,6.25,169.75,1016:469:2,0.01
Mustelus,walkeri,9.25,167.75,1016:497:2,0.05
Mustelus,walkeri,9.25,169.75,1016:499:2,0.09
Mustelus,walkeri,9.75,169.25,1016:499:3,0.12
Mustelus,walkeri,9.75,169.75,1016:499:4,0.14
Mustelus,walkeri,0.25,174.25,1017:104:1,0.11
Mustelus,walkeri,5.75,172.25,1017:352:3,0.14
Mustelus,walkeri,6.25,171.75,1017:361:2,0.06
Mustelus,walkeri,6.25,172.25,1017:362:1,0.07
Mustelus,walkeri,8.75,170.75,1017:380:4,0.04
Mustelus,walkeri,8.25,171.25,1017:381:1,0.04
Mustelus,walkeri,8.75,171.25,1017:381:3,0.09
Mustelus,walkeri,9.25,170.25,1017:390:1,0.12
Mustelus,walkeri,9.75,170.25,1017:390:3,0.16
Mustelus,walkeri,15.75,124.25,1112:354:3,0.01
Mustelus,walkeri,19.75,122.25,1112:392:3,0.13
Mustelus,walkeri,13.75,144.75,1114:134:4,0.01
Mustelus,walkeri,15.25,145.75,1114:455:2,0.06
Mustelus,walkeri,16.25,145.75,1114:465:2,0.04
Mustelus,walkeri,16.75,145.75,1114:465:4,0.04
Mustelus,walkeri,16.25,146.25,1114:466:1,0.02
Mustelus,walkeri,17.25,145.75,1114:475:2,0.05
Mustelus,walkeri,17.75,145.75,1114:475:4,0.07
Mustelus,walkeri,18.25,145.75,1114:485:2,0.09
Mustelus,walkeri,18.75,145.75,1114:485:4,0.10
Mustelus,walkeri,19.75,145.25,1114:495:3,0.13
Mustelus,walkeri,11.25,162.25,1116:112:1,0.14
Mustelus,walkeri,10.25,165.75,1116:205:2,0.07
Mustelus,walkeri,10.25,166.25,1116:206:1,0.09
Mustelus,walkeri,10.25,169.25,1116:209:1,0.17
Mustelus,walkeri,10.25,169.75,1116:209:2,0.18
Mustelus,walkeri,10.75,169.75,1116:209:4,0.02
Mustelus,walkeri,11.25,166.25,1116:216:1,0.19
Mustelus,walkeri,11.25,166.75,1116:216:2,0.17
Mustelus,walkeri,11.25,167.25,1116:217:1,0.12
Mustelus,walkeri,11.25,167.75,1116:217:2,0.10
Mustelus,walkeri,11.75,167.25,1116:217:3,0.14
Mustelus,walkeri,11.25,169.75,1116:219:2,0.04
Mustelus,walkeri,19.75,160.25,1116:390:3,0.05
Mustelus,walkeri,10.25,170.25,1117:100:1,0.19
Mustelus,walkeri,10.25,170.75,1117:100:2,0.16
Mustelus,walkeri,10.75,170.25,1117:100:3,0.02
Mustelus,walkeri,22.25,121.75,1212:121:2,0.03
Mustelus,walkeri,24.75,122.75,1212:142:4,0.14
Mustelus,walkeri,25.75,123.25,1212:353:3,0.08
Mustelus,walkeri,25.75,123.75,1212:353:4,0.16
Mustelus,walkeri,25.75,124.25,1212:354:3,0.18
Mustelus,walkeri,26.25,123.75,1212:363:2,0.03
Mustelus,walkeri,26.25,125.25,1212:465:1,0.12
Mustelus,walkeri,26.75,125.75,1212:465:4,0.16
Mustelus,walkeri,27.25,125.75,1212:475:2,0.01
Mustelus,walkeri,27.75,126.25,1212:476:3,0.08
Mustelus,walkeri,27.75,126.75,1212:476:4,0.08
Mustelus,walkeri,28.25,126.75,1212:486:2,0.16
Mustelus,walkeri,29.75,127.75,1212:497:4,0.01
Mustelus,walkeri,29.25,128.75,1212:498:2,0.19
Mustelus,walkeri,29.75,128.25,1212:498:3,0.10
Mustelus,walkeri,20.25,136.25,1213:206:1,0.13
Mustelus,walkeri,20.75,144.75,1214:104:4,0.16
Mustelus,walkeri,21.75,143.75,1214:113:4,0.04
Mustelus,walkeri,23.25,141.75,1214:131:2,0.13
Mustelus,walkeri,23.75,141.75,1214:131:4,0.02
Mustelus,walkeri,24.25,141.25,1214:141:1,0.05
Mustelus,walkeri,24.25,141.75,1214:141:2,0.06
Mustelus,walkeri,24.75,141.25,1214:141:3,0.07
Mustelus,walkeri,20.25,145.25,1214:205:1,0.14
Mustelus,walkeri,25.25,141.25,1214:351:1,0.14
Mustelus,walkeri,24.25,154.25,1215:144:1,0.02
Mustelus,walkeri,23.75,157.25,1215:237:3,0.03
Mustelus,walkeri,20.25,160.75,1216:100:2,0.05
