Mapping parameters for Mycteroperca rosacea (Leopard grouper)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  77 ,
Bounding Box (NSWE): ,33,15,-115,-98

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,19.12,22.11,27.3,31.5
Salinity (psu),1,30.76,33.05,35.47,35.97
Primary Production (mgC·m-3·day-1) ,1,0.36,1.36,13.66,40.72
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,0.92,1.42,221.37,227.29
Distance to Land (km),0,0,8,90,175
 

Map data (HSPEC) for predicted occurrences (n = 138): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mycteroperca,rosacea,29.25,-114.75,7211:394:2,0.05
Mycteroperca,rosacea,28.75,-114.25,7211:384:3,0.11
Mycteroperca,rosacea,28.75,-113.75,7211:383:4,0.10
Mycteroperca,rosacea,27.75,-113.75,7211:373:4,0.04
Mycteroperca,rosacea,27.25,-113.75,7211:373:2,0.13
Mycteroperca,rosacea,26.75,-114.25,7211:364:3,0.07
Mycteroperca,rosacea,26.75,-113.75,7211:363:4,0.07
Mycteroperca,rosacea,26.75,-113.25,7211:363:3,0.14
Mycteroperca,rosacea,22.25,-105.75,7210:225:2,0.09
Mycteroperca,rosacea,21.75,-105.75,7210:215:4,0.05
Mycteroperca,rosacea,21.75,-105.25,7210:215:3,0.13
Mycteroperca,rosacea,17.75,-102.25,7110:372:3,0.06
Mycteroperca,rosacea,26.25,-113.75,7211:363:2,0.20
Mycteroperca,rosacea,26.25,-113.25,7211:363:1,0.21
Mycteroperca,rosacea,23.75,-111.75,7211:131:4,0.38
Mycteroperca,rosacea,25.75,-108.75,7210:458:4,0.20
Mycteroperca,rosacea,20.75,-105.25,7210:205:3,0.38
Mycteroperca,rosacea,18.25,-114.75,7111:384:2,0.33
Mycteroperca,rosacea,18.25,-102.25,7110:382:1,0.34
Mycteroperca,rosacea,17.75,-101.25,7110:371:3,0.24
Mycteroperca,rosacea,16.25,-98.25,7109:468:1,0.35
Mycteroperca,rosacea,26.25,-112.75,7211:362:2,0.48
Mycteroperca,rosacea,25.75,-112.75,7211:352:4,0.57
Mycteroperca,rosacea,25.25,-112.75,7211:352:2,0.51
Mycteroperca,rosacea,24.25,-108.25,7210:248:1,0.54
Mycteroperca,rosacea,22.75,-105.75,7210:225:4,0.42
Mycteroperca,rosacea,18.25,-102.75,7110:382:2,0.55
Mycteroperca,rosacea,17.25,-100.75,7110:370:2,0.57
Mycteroperca,rosacea,16.75,-98.75,7109:468:4,0.55
Mycteroperca,rosacea,16.25,-98.75,7109:468:2,0.51
Mycteroperca,rosacea,30.75,-114.75,7311:104:4,0.76
Mycteroperca,rosacea,30.75,-114.25,7311:104:3,0.78
Mycteroperca,rosacea,30.25,-114.25,7311:104:1,0.78
Mycteroperca,rosacea,29.75,-114.25,7211:394:3,0.77
Mycteroperca,rosacea,26.75,-112.75,7211:362:4,0.76
Mycteroperca,rosacea,25.75,-112.25,7211:352:3,0.67
Mycteroperca,rosacea,25.25,-112.25,7211:352:1,0.71
Mycteroperca,rosacea,24.75,-112.25,7211:142:3,0.79
Mycteroperca,rosacea,23.25,-106.25,7210:236:1,0.79
Mycteroperca,rosacea,18.25,-103.75,7110:383:2,0.78
Mycteroperca,rosacea,18.25,-103.25,7110:383:1,0.76
Mycteroperca,rosacea,17.25,-101.25,7110:371:1,0.65
Mycteroperca,rosacea,17.25,-100.25,7110:370:1,0.61
Mycteroperca,rosacea,16.75,-100.25,7110:360:3,0.61
Mycteroperca,rosacea,16.75,-99.75,7109:469:4,0.61
Mycteroperca,rosacea,16.75,-99.25,7109:469:3,0.60
Mycteroperca,rosacea,31.75,-114.75,7311:114:4,1.00
Mycteroperca,rosacea,31.75,-114.25,7311:114:3,1.00
Mycteroperca,rosacea,31.25,-114.75,7311:114:2,1.00
Mycteroperca,rosacea,31.25,-114.25,7311:114:1,1.00
Mycteroperca,rosacea,31.75,-113.75,7311:113:4,1.00
Mycteroperca,rosacea,31.25,-113.75,7311:113:2,0.82
Mycteroperca,rosacea,31.25,-113.25,7311:113:1,0.81
Mycteroperca,rosacea,30.25,-114.75,7311:104:2,0.96
Mycteroperca,rosacea,30.75,-113.25,7311:103:3,0.88
Mycteroperca,rosacea,30.25,-113.25,7311:103:1,0.81
Mycteroperca,rosacea,30.75,-112.75,7311:102:4,1.00
Mycteroperca,rosacea,30.25,-112.75,7311:102:2,1.00
Mycteroperca,rosacea,29.75,-113.75,7211:393:4,0.80
Mycteroperca,rosacea,29.75,-113.25,7211:393:3,1.00
Mycteroperca,rosacea,29.25,-113.75,7211:393:2,0.87
Mycteroperca,rosacea,29.25,-113.25,7211:393:1,1.00
Mycteroperca,rosacea,29.75,-112.75,7211:392:4,1.00
Mycteroperca,rosacea,29.75,-112.25,7211:392:3,1.00
Mycteroperca,rosacea,29.25,-112.25,7211:392:1,1.00
Mycteroperca,rosacea,28.75,-113.25,7211:383:3,0.86
Mycteroperca,rosacea,28.75,-112.75,7211:382:4,1.00
Mycteroperca,rosacea,28.75,-112.25,7211:382:3,1.00
Mycteroperca,rosacea,28.25,-112.75,7211:382:2,1.00
Mycteroperca,rosacea,28.25,-112.25,7211:382:1,1.00
Mycteroperca,rosacea,28.75,-111.75,7211:381:4,1.00
Mycteroperca,rosacea,28.25,-111.75,7211:381:2,1.00
Mycteroperca,rosacea,28.25,-111.25,7211:381:1,1.00
Mycteroperca,rosacea,27.75,-112.75,7211:372:4,1.00
Mycteroperca,rosacea,27.75,-112.25,7211:372:3,1.00
Mycteroperca,rosacea,27.25,-112.25,7211:372:1,1.00
Mycteroperca,rosacea,27.75,-111.25,7211:371:3,1.00
Mycteroperca,rosacea,27.25,-111.75,7211:371:2,0.98
Mycteroperca,rosacea,27.75,-110.75,7211:370:4,1.00
Mycteroperca,rosacea,27.25,-110.75,7211:370:2,1.00
Mycteroperca,rosacea,27.25,-110.25,7211:370:1,1.00
Mycteroperca,rosacea,26.25,-112.25,7211:362:1,0.93
Mycteroperca,rosacea,26.75,-111.75,7211:361:4,1.00
Mycteroperca,rosacea,26.75,-111.25,7211:361:3,0.90
Mycteroperca,rosacea,26.25,-111.25,7211:361:1,0.99
Mycteroperca,rosacea,26.75,-110.25,7211:360:3,1.00
Mycteroperca,rosacea,25.75,-111.25,7211:351:3,1.00
Mycteroperca,rosacea,25.75,-110.75,7211:350:4,1.00
Mycteroperca,rosacea,25.25,-110.75,7211:350:2,1.00
Mycteroperca,rosacea,24.75,-111.75,7211:141:4,1.00
Mycteroperca,rosacea,24.25,-111.75,7211:141:2,1.00
Mycteroperca,rosacea,24.25,-111.25,7211:141:1,1.00
Mycteroperca,rosacea,24.75,-110.75,7211:140:4,1.00
Mycteroperca,rosacea,24.75,-110.25,7211:140:3,1.00
Mycteroperca,rosacea,24.25,-110.75,7211:140:2,1.00
Mycteroperca,rosacea,24.25,-110.25,7211:140:1,1.00
Mycteroperca,rosacea,23.75,-110.75,7211:130:4,1.00
Mycteroperca,rosacea,23.75,-110.25,7211:130:3,1.00
Mycteroperca,rosacea,23.25,-110.25,7211:130:1,1.00
Mycteroperca,rosacea,22.75,-110.25,7211:120:3,0.91
Mycteroperca,rosacea,27.25,-109.75,7210:479:2,1.00
Mycteroperca,rosacea,26.75,-109.75,7210:469:4,1.00
Mycteroperca,rosacea,26.75,-109.25,7210:469:3,1.00
Mycteroperca,rosacea,26.25,-109.75,7210:469:2,1.00
Mycteroperca,rosacea,26.25,-109.25,7210:469:1,1.00
Mycteroperca,rosacea,25.75,-109.25,7210:459:3,1.00
Mycteroperca,rosacea,25.25,-109.25,7210:459:1,1.00
Mycteroperca,rosacea,25.25,-108.75,7210:458:2,1.00
Mycteroperca,rosacea,25.25,-108.25,7210:458:1,1.00
Mycteroperca,rosacea,24.25,-109.75,7210:249:2,1.00
Mycteroperca,rosacea,24.75,-108.25,7210:248:3,1.00
Mycteroperca,rosacea,24.75,-107.75,7210:247:4,1.00
Mycteroperca,rosacea,24.25,-107.75,7210:247:2,1.00
Mycteroperca,rosacea,24.25,-107.25,7210:247:1,1.00
Mycteroperca,rosacea,23.75,-109.75,7210:239:4,1.00
Mycteroperca,rosacea,23.75,-109.25,7210:239:3,1.00
Mycteroperca,rosacea,23.25,-109.75,7210:239:2,1.00
Mycteroperca,rosacea,23.25,-109.25,7210:239:1,1.00
Mycteroperca,rosacea,23.75,-107.25,7210:237:3,1.00
Mycteroperca,rosacea,23.75,-106.75,7210:236:4,1.00
Mycteroperca,rosacea,23.25,-106.75,7210:236:2,1.00
Mycteroperca,rosacea,22.75,-109.75,7210:229:4,1.00
Mycteroperca,rosacea,22.75,-106.25,7210:226:3,0.90
Mycteroperca,rosacea,22.25,-106.25,7210:226:1,0.97
Mycteroperca,rosacea,21.75,-106.75,7210:216:4,1.00
Mycteroperca,rosacea,21.75,-106.25,7210:216:3,0.94
Mycteroperca,rosacea,21.25,-106.25,7210:216:1,0.97
Mycteroperca,rosacea,20.75,-105.75,7210:205:4,1.00
Mycteroperca,rosacea,20.25,-105.75,7210:205:2,1.00
Mycteroperca,rosacea,20.25,-105.25,7210:205:1,0.80
Mycteroperca,rosacea,19.25,-110.75,7111:390:2,0.88
Mycteroperca,rosacea,18.75,-110.75,7111:380:4,0.90
Mycteroperca,rosacea,19.75,-105.25,7110:495:3,0.96
Mycteroperca,rosacea,19.25,-105.25,7110:495:1,0.86
Mycteroperca,rosacea,19.25,-104.75,7110:394:2,0.91
Mycteroperca,rosacea,19.25,-104.25,7110:394:1,0.81
Mycteroperca,rosacea,18.75,-104.25,7110:384:3,0.84
Mycteroperca,rosacea,18.75,-103.75,7110:383:4,0.81


Occurrence cells used for creating environmental envelope (n = 63)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Mycteroperca,rosacea,17.75,-101.75,7110:371:4,795,28.615177154541,15.532603263855,33.0488090515137,34.7466583251953,40.7169982790947,0,33.4191551208496,19
