Mapping parameters for Myctophum affine (Metallic lantern fish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  34 |  41 |  47,
Bounding Box (NSWE): ,45,-36,,

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,72,268,600
Temperature (°C),1,9.91,17.03,27.91,32.11
Salinity (psu),1,21.03,33.01,36.38,38.25
Primary Production (mgC·m-3·day-1) ,1,-0.48,0.52,14.48,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,85.19,166.64,267.28,356.31
Distance to Land (km),0,4,26,605,1499
 

Map data (HSPEC) for predicted occurrences (n = 20809): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Myctophum,affine,2.25,9.75,1000:229:2,0.16
Myctophum,affine,2.75,9.75,1000:229:4,0.16
Myctophum,affine,3.25,9.75,1000:239:2,0.11
Myctophum,affine,3.75,9.25,1000:239:3,0.17
Myctophum,affine,3.75,9.75,1000:239:4,0.10
Myctophum,affine,4.75,6.75,1000:246:4,0.01
Myctophum,affine,4.75,7.25,1000:247:3,0.01
Myctophum,affine,4.25,9.75,1000:249:2,0.01
Myctophum,affine,6.75,3.25,1000:363:3,0.02
Myctophum,affine,6.75,3.75,1000:363:4,0.01
Myctophum,affine,5.25,5.75,1000:455:2,0.01
Myctophum,affine,5.75,5.75,1000:455:4,0.01
Myctophum,affine,-0.75,9.25,3000:209:3,0.14
Myctophum,affine,-4.75,12.25,3001:142:3,0.04
Myctophum,affine,-5.75,12.75,3001:352:4,0.01
Myctophum,affine,-6.25,12.75,3001:362:2,0.09
Myctophum,affine,-6.75,12.25,3001:362:3,0.08
Myctophum,affine,-16.75,11.75,3101:361:4,0.09
Myctophum,affine,-18.75,12.75,3101:382:4,0.16
Myctophum,affine,-19.75,13.25,3101:393:3,0.09
Myctophum,affine,-20.25,13.25,3201:103:1,0.14
Myctophum,affine,-20.75,13.25,3201:103:3,0.08
Myctophum,affine,-20.75,13.75,3201:103:4,0.01
Myctophum,affine,-21.25,13.25,3201:113:1,0.15
Myctophum,affine,-22.25,13.75,3201:123:2,0.16
Myctophum,affine,-23.75,13.75,3201:133:4,0.13
Myctophum,affine,-24.25,13.75,3201:143:2,0.18
Myctophum,affine,-25.25,14.25,3201:354:1,0.10
Myctophum,affine,-25.75,14.25,3201:354:3,0.17
Myctophum,affine,-25.75,14.75,3201:354:4,0.03
Myctophum,affine,-26.25,14.75,3201:364:2,0.06
Myctophum,affine,-26.75,14.75,3201:364:4,0.18
Myctophum,affine,-26.75,15.25,3201:465:3,0.01
Myctophum,affine,-27.25,15.25,3201:475:1,0.04
Myctophum,affine,-27.75,15.25,3201:475:3,0.17
Myctophum,affine,-27.75,15.75,3201:475:4,0.03
Myctophum,affine,-28.25,15.25,3201:485:1,0.19
Myctophum,affine,-28.25,16.25,3201:486:1,0.09
Myctophum,affine,-28.75,16.75,3201:486:4,0.16
Myctophum,affine,-29.25,17.25,3201:497:1,0.11
Myctophum,affine,-31.25,18.25,3301:218:1,0.14
Myctophum,affine,-32.25,18.25,3301:228:1,0.19
Myctophum,affine,-33.75,18.75,3301:238:4,0.03
Myctophum,affine,-33.75,22.75,3302:132:4,0.02
Myctophum,affine,-33.75,23.25,3302:133:3,0.01
Myctophum,affine,-32.75,27.75,3302:227:4,0.05
Myctophum,affine,-4.75,-37.75,5003:247:4,0.11
Myctophum,affine,-5.25,-36.75,5003:456:2,0.17
Myctophum,affine,-6.25,-35.25,5003:465:1,0.11
Myctophum,affine,-9.25,-35.75,5003:495:2,0.04
Myctophum,affine,-2.75,-43.25,5004:123:3,0.01
Myctophum,affine,-2.75,-43.75,5004:123:4,0.05
Myctophum,affine,-2.25,-44.75,5004:124:2,0.02
Myctophum,affine,-3.25,-44.75,5004:134:2,0.02
Myctophum,affine,-0.75,-47.75,5004:207:4,0.05
Myctophum,affine,-0.25,-48.75,5004:208:2,0.01
Myctophum,affine,-0.75,-48.25,5004:208:3,0.11
Myctophum,affine,-0.75,-48.75,5004:208:4,0.01
Myctophum,affine,-1.25,-46.25,5004:216:1,0.07
Myctophum,affine,-1.25,-48.25,5004:218:1,0.03
Myctophum,affine,-1.25,-48.75,5004:218:2,0.04
Myctophum,affine,-1.75,-48.75,5004:218:4,0.02
Myctophum,affine,-10.75,-37.25,5103:207:3,0.03
Myctophum,affine,-13.75,-39.25,5103:239:3,0.01
Myctophum,affine,-14.25,-39.25,5103:249:1,0.02
Myctophum,affine,-14.75,-39.25,5103:249:3,0.17
Myctophum,affine,-15.25,-39.25,5103:459:1,0.02
Myctophum,affine,-16.25,-39.25,5103:469:1,0.07
Myctophum,affine,-21.75,-41.25,5204:111:3,0.05
Myctophum,affine,-22.75,-44.25,5204:124:3,0.07
Myctophum,affine,-25.25,-48.75,5204:458:2,0.01
Myctophum,affine,-29.75,-51.25,5205:391:3,0.01
Myctophum,affine,-34.75,-55.25,5305:245:3,0.11
Myctophum,affine,-35.25,-55.25,5305:455:1,0.16
Myctophum,affine,-35.25,-55.75,5305:455:2,0.03
Myctophum,affine,-35.75,-55.75,5305:455:4,0.18
Myctophum,affine,-35.75,-56.25,5305:456:3,0.03
Myctophum,affine,4.75,-7.25,7000:247:3,0.04
Myctophum,affine,5.25,-2.75,7000:352:2,0.15
Myctophum,affine,5.25,-5.75,7000:455:2,0.03
Myctophum,affine,7.75,-12.25,7001:372:3,0.01
Myctophum,affine,8.75,-12.75,7001:382:4,0.01
Myctophum,affine,0.25,-48.25,7004:208:1,0.19
Myctophum,affine,0.25,-48.75,7004:208:2,0.04
Myctophum,affine,0.75,-48.25,7004:208:3,0.15
Myctophum,affine,0.75,-48.75,7004:208:4,0.04
Myctophum,affine,0.75,-49.25,7004:209:3,0.02
Myctophum,affine,1.25,-48.75,7004:218:2,0.02
Myctophum,affine,1.75,-48.75,7004:218:4,0.06
Myctophum,affine,1.25,-49.25,7004:219:1,0.02
Myctophum,affine,1.75,-49.25,7004:219:3,0.03
Myctophum,affine,2.25,-49.25,7004:229:1,0.16
Myctophum,affine,3.25,-50.25,7005:130:1,0.14
Myctophum,affine,3.75,-50.75,7005:130:4,0.01
Myctophum,affine,4.25,-51.75,7005:141:2,0.03
Myctophum,affine,4.75,-51.25,7005:141:3,0.16
Myctophum,affine,4.75,-51.75,7005:141:4,0.18
Myctophum,affine,5.25,-53.25,7005:353:1,0.16
Myctophum,affine,5.75,-54.25,7005:354:3,0.14
Myctophum,affine,5.75,-55.25,7005:455:3,0.03
Myctophum,affine,5.75,-55.75,7005:455:4,0.15
Myctophum,affine,5.75,-56.25,7005:456:3,0.15
Myctophum,affine,5.75,-56.75,7005:456:4,0.08
Myctophum,affine,5.75,-57.25,7005:457:3,0.01
Myctophum,affine,6.25,-58.75,7005:468:2,0.01
Myctophum,affine,6.75,-58.75,7005:468:4,0.01
Myctophum,affine,7.25,-58.75,7005:478:2,0.12
Myctophum,affine,7.75,-59.25,7005:479:3,0.02
Myctophum,affine,9.75,-62.25,7006:392:3,0.03
Myctophum,affine,9.25,-78.75,7007:498:2,0.09
Myctophum,affine,10.25,-13.75,7101:103:2,0.01
Myctophum,affine,11.25,-14.75,7101:114:2,0.01
Myctophum,affine,12.25,-14.75,7101:124:2,0.01
Myctophum,affine,12.25,-15.25,7101:225:1,0.01
Myctophum,affine,12.25,-15.75,7101:225:2,0.01
Myctophum,affine,12.75,-16.25,7101:226:3,0.01
Myctophum,affine,13.25,-15.75,7101:235:2,0.01
Myctophum,affine,13.75,-15.75,7101:235:4,0.01
Myctophum,affine,13.25,-16.25,7101:236:1,0.10
Myctophum,affine,13.75,-16.25,7101:236:3,0.01
Myctophum,affine,14.25,-16.75,7101:246:2,0.10
Myctophum,affine,15.75,-16.25,7101:456:3,0.11
Myctophum,affine,19.75,-17.25,7101:497:3,0.16
Myctophum,affine,10.25,-63.75,7106:103:2,0.04
Myctophum,affine,10.25,-66.25,7106:206:1,0.17
Myctophum,affine,11.25,-69.25,7106:219:1,0.10
Myctophum,affine,11.25,-69.75,7106:219:2,0.11
Myctophum,affine,18.25,-66.25,7106:486:1,0.01
Myctophum,affine,18.25,-66.75,7106:486:2,0.03
Myctophum,affine,10.25,-71.25,7107:101:1,0.11
Myctophum,affine,10.75,-71.25,7107:101:3,0.10
Myctophum,affine,10.75,-74.75,7107:104:4,0.05
Myctophum,affine,10.25,-75.25,7107:205:1,0.01
Myctophum,affine,15.25,-83.75,7108:353:2,0.05
Myctophum,affine,17.25,-88.25,7108:478:1,0.19
Myctophum,affine,18.25,-91.75,7109:381:2,0.01
Myctophum,affine,18.25,-92.75,7109:382:2,0.06
Myctophum,affine,18.25,-93.25,7109:383:1,0.06
Myctophum,affine,20.75,-17.25,7201:207:3,0.06
Myctophum,affine,21.25,-16.75,7201:216:2,0.03
Myctophum,affine,21.75,-17.25,7201:217:3,0.04
Myctophum,affine,28.25,-11.25,7201:381:1,0.17
Myctophum,affine,20.25,-75.25,7207:205:1,0.01
Myctophum,affine,20.25,-75.75,7207:205:2,0.01
Myctophum,affine,21.25,-77.25,7207:217:1,0.01
Myctophum,affine,22.25,-79.25,7207:229:1,0.06
Myctophum,affine,22.75,-80.25,7208:120:3,0.03
Myctophum,affine,21.25,-87.25,7208:217:1,0.04
Myctophum,affine,21.25,-88.75,7208:218:2,0.07
Myctophum,affine,21.25,-89.25,7208:219:1,0.19
Myctophum,affine,25.25,-80.75,7208:350:2,0.12
Myctophum,affine,26.75,-81.75,7208:361:4,0.01
Myctophum,affine,27.75,-80.75,7208:370:4,0.03
Myctophum,affine,27.25,-82.25,7208:372:1,0.19
Myctophum,affine,27.75,-82.25,7208:372:3,0.07
Myctophum,affine,29.25,-82.75,7208:392:2,0.10
Myctophum,affine,29.75,-83.25,7208:393:3,0.18
Myctophum,affine,29.75,-89.25,7208:499:3,0.03
Myctophum,affine,29.75,-89.75,7208:499:4,0.09
Myctophum,affine,21.75,-97.75,7209:217:4,0.12
Myctophum,affine,29.75,-91.25,7209:391:3,0.15
Myctophum,affine,29.25,-94.75,7209:394:2,0.18
Myctophum,affine,27.25,-97.75,7209:477:2,0.01
Myctophum,affine,33.25,-79.75,7307:239:2,0.03
Myctophum,affine,33.75,-79.25,7307:239:3,0.08
Myctophum,affine,39.25,-74.75,7307:394:2,0.14
Myctophum,affine,35.25,-76.75,7307:456:2,0.11
Myctophum,affine,37.25,-76.25,7307:476:1,0.19
Myctophum,affine,37.75,-76.25,7307:476:3,0.03
Myctophum,affine,38.25,-75.25,7307:485:1,0.19
Myctophum,affine,38.25,-75.75,7307:485:2,0.04
Myctophum,affine,38.75,-76.25,7307:486:3,0.03
Myctophum,affine,39.25,-76.25,7307:496:1,0.07
Myctophum,affine,39.75,-76.25,7307:496:3,0.06
Myctophum,affine,32.75,-80.25,7308:120:3,0.18
Myctophum,affine,32.75,-80.75,7308:120:4,0.01
Myctophum,affine,30.25,-85.25,7308:205:1,0.01
Myctophum,affine,30.75,-86.25,7308:206:3,0.03
Myctophum,affine,30.75,-86.75,7308:206:4,0.05
Myctophum,affine,30.75,-87.25,7308:207:3,0.01
Myctophum,affine,30.75,-87.75,7308:207:4,0.15
Myctophum,affine,30.25,-88.75,7308:208:2,0.02
Myctophum,affine,30.25,-93.75,7309:103:2,0.01
Myctophum,affine,43.25,-3.75,7400:133:2,0.11
Myctophum,affine,42.75,-8.75,7400:228:4,0.04
Myctophum,affine,42.75,-49.25,7404:229:3,0.17
