Mapping parameters for Mytilus californianus (California mussel)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77 |  87,
Bounding Box (NSWE): ,62,18,-180,-109

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,30,100
Temperature (°C),1,3.07,9.04,17.52,26.1
Salinity (psu),1,24,26,33.47,38.77
Primary Production (mgC·m-3·day-1) ,1,1.15,14.56,65.62,99.02
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,9.66,40.95,295.11,304.9
Distance to Land (km),0,0,3,61,105
 

Map data (HSPEC) for predicted occurrences (n = 463): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mytilus,californianus,25.25,-109.25,7210:459:1,0.01
Mytilus,californianus,25.75,-109.25,7210:459:3,0.02
Mytilus,californianus,25.75,-109.75,7210:459:4,0.01
Mytilus,californianus,26.25,-109.25,7210:469:1,0.03
Mytilus,californianus,26.25,-109.75,7210:469:2,0.01
Mytilus,californianus,26.75,-109.25,7210:469:3,0.03
Mytilus,californianus,26.75,-109.75,7210:469:4,0.03
Mytilus,californianus,27.25,-109.75,7210:479:2,0.03
Mytilus,californianus,23.25,-110.25,7211:130:1,0.01
Mytilus,californianus,23.75,-110.25,7211:130:3,0.01
Mytilus,californianus,23.75,-110.75,7211:130:4,0.01
Mytilus,californianus,24.25,-110.25,7211:140:1,0.01
Mytilus,californianus,24.25,-110.75,7211:140:2,0.01
Mytilus,californianus,24.75,-110.75,7211:140:4,0.01
Mytilus,californianus,24.25,-111.25,7211:141:1,0.01
Mytilus,californianus,24.25,-111.75,7211:141:2,0.02
Mytilus,californianus,24.75,-111.75,7211:141:4,0.05
Mytilus,californianus,24.75,-112.25,7211:142:3,0.10
Mytilus,californianus,25.25,-112.25,7211:352:1,0.17
Mytilus,californianus,25.25,-112.75,7211:352:2,0.06
Mytilus,californianus,25.75,-112.75,7211:352:4,0.18
Mytilus,californianus,25.75,-113.25,7211:353:3,0.04
Mytilus,californianus,26.75,-110.25,7211:360:3,0.01
Mytilus,californianus,26.75,-111.75,7211:361:4,0.03
Mytilus,californianus,27.25,-110.25,7211:370:1,0.03
Mytilus,californianus,27.25,-110.75,7211:370:2,0.01
Mytilus,californianus,27.75,-110.75,7211:370:4,0.03
Mytilus,californianus,27.75,-111.25,7211:371:3,0.01
Mytilus,californianus,27.25,-112.25,7211:372:1,0.01
Mytilus,californianus,27.75,-112.25,7211:372:3,0.02
Mytilus,californianus,28.25,-111.25,7211:381:1,0.03
Mytilus,californianus,28.25,-111.75,7211:381:2,0.02
Mytilus,californianus,28.75,-111.75,7211:381:4,0.03
Mytilus,californianus,28.25,-112.25,7211:382:1,0.03
Mytilus,californianus,28.25,-112.75,7211:382:2,0.11
Mytilus,californianus,28.75,-112.25,7211:382:3,0.05
Mytilus,californianus,28.75,-112.75,7211:382:4,0.08
Mytilus,californianus,29.25,-112.25,7211:392:1,0.04
Mytilus,californianus,29.25,-112.75,7211:392:2,0.01
Mytilus,californianus,29.75,-112.25,7211:392:3,0.02
Mytilus,californianus,29.75,-112.75,7211:392:4,0.02
Mytilus,californianus,29.25,-113.25,7211:393:1,0.09
Mytilus,californianus,29.75,-113.25,7211:393:3,0.02
Mytilus,californianus,29.75,-113.75,7211:393:4,0.03
Mytilus,californianus,29.75,-114.25,7211:394:3,0.02
Mytilus,californianus,28.75,-115.25,7211:485:3,0.19
Mytilus,californianus,29.25,-115.75,7211:495:2,0.11
Mytilus,californianus,30.25,-112.75,7311:102:2,0.02
Mytilus,californianus,30.75,-112.75,7311:102:4,0.01
Mytilus,californianus,30.25,-113.25,7311:103:1,0.02
Mytilus,californianus,30.75,-113.25,7311:103:3,0.01
Mytilus,californianus,30.75,-113.75,7311:103:4,0.01
Mytilus,californianus,30.25,-114.25,7311:104:1,0.02
Mytilus,californianus,30.75,-114.25,7311:104:3,0.02
Mytilus,californianus,30.75,-114.75,7311:104:4,0.01
Mytilus,californianus,31.25,-113.25,7311:113:1,0.01
Mytilus,californianus,31.25,-113.75,7311:113:2,0.01
Mytilus,californianus,31.75,-113.75,7311:113:4,0.06
Mytilus,californianus,31.25,-114.25,7311:114:1,0.01
Mytilus,californianus,31.25,-114.75,7311:114:2,0.01
Mytilus,californianus,31.75,-114.25,7311:114:3,0.07
Mytilus,californianus,32.25,-119.25,7311:229:1,0.10
Mytilus,californianus,34.25,-120.75,7312:140:2,0.06
Mytilus,californianus,35.25,-121.25,7312:351:1,0.01
Mytilus,californianus,37.75,-122.25,7312:372:3,0.16
Mytilus,californianus,47.75,-122.75,7412:372:4,0.09
Mytilus,californianus,58.75,-139.25,7513:489:3,0.01
Mytilus,californianus,59.25,-140.25,7514:390:1,0.12
Mytilus,californianus,59.75,-142.75,7514:392:4,0.03
Mytilus,californianus,58.25,-148.75,7514:488:2,0.17
Mytilus,californianus,58.25,-149.25,7514:489:1,0.15
Mytilus,californianus,58.75,-149.75,7514:489:4,0.06
Mytilus,californianus,59.25,-147.75,7514:497:2,0.15
Mytilus,californianus,59.25,-149.75,7514:499:2,0.16
Mytilus,californianus,57.25,-150.75,7515:370:2,0.19
Mytilus,californianus,58.75,-150.75,7515:380:4,0.17
