Mapping parameters for Mytilus edulis (blue mussel)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  37 |  41 |  57 |  58 |  61 |  67 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,89,-58,112,61

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,6,31,60
Temperature (°C),1,-1,5.68,15.81,28.24
Salinity (psu),1,3.76,9.93,35.24,39.21
Primary Production (mgC·m-3·day-1) ,1,0.2,2.46,27.19,93.6
Sea Ice Concentration (0-1 fraction),1,-0.98,0,0.03,0.93
Dissolved Bottom Oxygen (mmol·m-3),0,2.1,220.32,350.71,408.99
Distance to Land (km),0,0,2,95,968
 

Map data (HSPEC) for predicted occurrences (n = 12466): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Mytilus,edulis,15.75,113.75,1111:353:4,0.01,1,0.0071790454278358,1,0.82345136894589,1,1,1
Mytilus,edulis,16.25,112.25,1111:362:1,0.02,1,0.023860289987208,1,0.69513273499577,1,1,1
Mytilus,edulis,16.25,112.75,1111:362:2,0.01,1,0.021413727911464,1,0.69513273499577,1,1,1
Mytilus,edulis,16.75,112.25,1111:362:3,0.03,1,0.037998300738037,1,0.6840708068844,1,1,1
Mytilus,edulis,16.75,112.75,1111:362:4,0.02,1,0.035430975719887,1,0.6867256428453,1,1,1
Mytilus,edulis,16.25,114.25,1111:364:1,0.01,1,0.016307465606227,1,0.75796460823477,1,1,1
Mytilus,edulis,17.25,112.25,1111:372:1,0.03,1,0.047578776352655,1,0.68362832563904,1,1,1
Mytilus,edulis,19.25,112.25,1111:392:1,0.09,1,0.099464183264167,1,0.90663712191503,1,1,1
Mytilus,edulis,19.75,112.75,1111:392:4,0.06,0.48275862068966,0.11404028575648,1,1,1,1,1
Mytilus,edulis,12.25,123.75,1112:123:2,0.01,1,0.0079172798825744,1,1,1,1,1
Mytilus,edulis,12.75,123.75,1112:123:4,0.01,1,0.014240685337892,1,1,1,1,1
Mytilus,edulis,18.25,121.75,1112:381:2,0.01,1,0.0072180210153418,1,1,1,1,1
Mytilus,edulis,18.75,121.25,1112:381:3,0.04,1,0.037758616219582,1,1,1,1,1
Mytilus,edulis,18.75,121.75,1112:381:4,0.03,1,0.033259237570233,1,1,1,1,1
Mytilus,edulis,19.25,121.25,1112:391:1,0.05,1,0.046955473846902,1,1,1,1,1
Mytilus,edulis,19.25,121.75,1112:391:2,0.02,1,0.023672470620635,1,1,1,1,1
Mytilus,edulis,19.75,121.75,1112:391:4,0.01,1,0.0059830779906515,1,1,1,1,1
Mytilus,edulis,19.25,166.75,1116:496:2,0.01,1,0.024187285959573,1,0.26504423547602,1,1,1
Mytilus,edulis,20.25,112.75,1211:102:2,0.09,0.62068965517241,0.13904818890081,1,1,1,1,1
Mytilus,edulis,20.75,112.25,1211:102:3,0.18,1,0.17852708320894,1,1,1,1,1
Mytilus,edulis,20.75,112.75,1211:102:4,0.17,1,0.16958663584432,1,1,1,1,1
Mytilus,edulis,20.25,113.25,1211:103:1,0.06,0.44827586206897,0.13447960556656,1,1,1,1,1
Mytilus,edulis,20.75,113.25,1211:103:3,0.16,1,0.163486802952,1,1,1,1,1
Mytilus,edulis,20.75,113.75,1211:103:4,0.05,0.31034482758621,0.15704002595197,1,1,1,1,1
Mytilus,edulis,20.25,114.75,1211:104:2,0.10,0.82758620689655,0.12025121441792,1,1,1,1,1
Mytilus,edulis,20.75,114.25,1211:104:3,0.11,0.72413793103448,0.15153725609507,1,1,1,1,1
Mytilus,edulis,20.75,114.75,1211:104:4,0.10,0.72413793103448,0.14392428041368,1,1,1,1,1
Mytilus,edulis,21.25,113.75,1211:113:2,0.12,0.62068965517241,0.18927283682175,1,1,1,1,1
Mytilus,edulis,21.75,113.25,1211:113:3,0.06,1,0.25391676420179,1,0.25160371045574,1,1,1
Mytilus,edulis,21.75,113.75,1211:113:4,0.05,1,0.24081375478068,1,0.21026953626264,1,1,1
Mytilus,edulis,21.25,114.25,1211:114:1,0.18,1,0.17925212120492,1,1,1,1,1
Mytilus,edulis,21.75,114.75,1211:114:4,0.08,0.37931034482759,0.19837179513871,1,1,1,1,1
Mytilus,edulis,22.25,113.25,1211:123:1,0.04,1,0.2955999274649,1,0.12634813058558,1,1,1
Mytilus,edulis,22.75,113.25,1211:123:3,0.03,0.16666666666667,0.32129864988074,1,0.50383116265159,1,1,1
Mytilus,edulis,22.75,113.75,1211:123:4,0.13,1,0.32003040881475,1,0.40380882904519,1,1,1
Mytilus,edulis,22.75,114.25,1211:124:3,0.10,1,0.31763479120772,1,0.32284364680931,1,1,1
Mytilus,edulis,22.75,114.75,1211:124:4,0.12,1,0.31247789132816,1,0.37578326986956,1,1,1
Mytilus,edulis,23.25,113.25,1211:133:1,0.04,0.16666666666667,0.3501330657247,1,0.65755175244573,1,1,1
Mytilus,edulis,23.25,113.75,1211:133:2,0.03,0.16666666666667,0.35038778806826,1,0.58625863772741,1,1,1
Mytilus,edulis,20.75,116.75,1211:206:4,0.13,1,0.12933467456821,1,1,1,1,1
Mytilus,edulis,20.75,117.25,1211:207:3,0.12,1,0.11985900338772,1,1,1,1,1
Mytilus,edulis,21.75,115.25,1211:215:3,0.01,0.03448275862069,0.18337187149404,1,1,1,1,1
Mytilus,edulis,22.25,116.75,1211:226:2,0.15,0.75862068965517,0.19866963614405,1,1,1,1,1
Mytilus,edulis,22.25,117.25,1211:227:1,0.19,1,0.18719086528112,1,1,1,1,1
Mytilus,edulis,22.25,117.75,1211:227:2,0.17,1,0.17031090660433,1,1,1,1,1
Mytilus,edulis,22.25,118.25,1211:228:1,0.14,1,0.14470624731897,1,1,1,1,1
Mytilus,edulis,22.25,118.75,1211:228:2,0.12,1,0.12008518455302,1,1,1,1,1
Mytilus,edulis,22.75,119.25,1211:229:3,0.15,1,0.15308323658385,1,1,1,1,1
Mytilus,edulis,23.25,119.75,1211:239:2,0.17,1,0.17003347407592,1,1,1,1,1
Mytilus,edulis,20.25,121.75,1212:101:2,0.02,1,0.019065985829236,1,0.99424779036008,1,1,1
Mytilus,edulis,20.75,121.75,1212:101:4,0.06,1,0.059856239865116,1,1,1,1,1
Mytilus,edulis,20.25,122.25,1212:102:1,0.02,1,0.025139118909646,1,0.91725667180345,1,1,1
Mytilus,edulis,20.75,122.25,1212:102:3,0.05,1,0.053890673268351,1,1,1,1,1
Mytilus,edulis,21.75,120.75,1212:110:4,0.06,1,0.061075224381536,1,1,1,1,1
Mytilus,edulis,21.25,121.75,1212:111:2,0.07,1,0.073023390213709,1,1,1,1,1
