Mapping parameters for Mytilus trossulus (foolish mussel)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  21 |  27 |  31 |  67 |  77 ,
Bounding Box (NSWE): ,82,19,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,11,20
Temperature (°C),1,-1.18,6.74,11.3,25
Salinity (psu),1,4.47,7.01,31.88,39.65
Primary Production (mgC·m-3·day-1) ,1,0.52,3.96,46.62,93.6
Sea Ice Concentration (0-1 fraction),1,-0.97,0,0.02,0.73
Dissolved Bottom Oxygen (mmol·m-3),0,23.11,115.83,358.61,405.11
Distance to Land (km),0,0,3,20,140
 

Map data (HSPEC) for predicted occurrences (n = 5135): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Mytilus,trossulus,52.25,2.25,1500:122:1,0.15,0.22222222222222,0.95287650170988,0.69055230767878,1,1,1,1
Mytilus,trossulus,53.75,2.25,1500:132:3,0.06,0.11111111111111,1,0.65274360097053,0.76424418502422,1,1,1
Mytilus,trossulus,54.25,0.25,1500:140:1,0.15,0.22222222222222,1,0.67804186807483,1,1,1,1
Mytilus,trossulus,54.75,1.75,1500:141:4,0.14,0.22222222222222,1,0.63140486198042,1,1,1,1
Mytilus,trossulus,54.25,2.25,1500:142:1,0.06,0.11111111111111,1,0.63737434770149,0.77761631218587,1,1,1
Mytilus,trossulus,54.75,2.25,1500:142:3,0.14,0.22222222222222,1,0.62843362030068,1,1,1,1
Mytilus,trossulus,54.75,2.75,1500:142:4,0.19,0.33333333333333,1,0.62654100022874,0.90000001743956,1,1,1
Mytilus,trossulus,56.75,7.25,1500:467:3,0.17,0.22222222222222,1,0.74349559258616,1,1,1,1
Mytilus,trossulus,54.75,13.75,1501:143:4,0.16,1,1,1,0.15552325599805,1,1,1
Mytilus,trossulus,54.75,14.25,1501:144:3,0.16,1,1,1,0.1598837204754,1,1,1
Mytilus,trossulus,54.75,14.75,1501:144:4,0.01,0.11111111111111,1,1,0.061046520015225,1,1,1
Mytilus,trossulus,55.25,13.25,1501:353:1,0.08,1,1,1,0.084883724696674,1,1,1
Mytilus,trossulus,55.25,13.75,1501:353:2,0.03,1,1,1,0.031395351416756,1,1,1
Mytilus,trossulus,55.25,14.25,1501:354:1,0.07,1,1,1,0.068023249642317,1,1,1
Mytilus,trossulus,55.25,14.75,1501:354:2,0.03,1,1,1,0.028779069346181,1,1,1
Mytilus,trossulus,55.75,15.25,1501:455:3,0.10,1,1,0.98813548050528,0.10552324753168,1,1,1
