Mapping parameters for Nacella concinna (Antarctic limpet)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 48 |  58,
Bounding Box (NSWE): ,-54,-65,64,0

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,11,54,110
Temperature (°C),1,-1.87,-1.37,1.75,2.25
Salinity (psu),1,32.62,33.12,34.12,34.62
Primary Production (mgC·m-3·day-1) ,1,1.98,3.24,10.91,16.21
Sea Ice Concentration (0-1 fraction),1,-0.85,0,0.3,0.42
Dissolved Bottom Oxygen (mmol·m-3),0,95.12,234.54,356.61,366.39
Distance to Land (km),0,2,6,51,97
 

Map data (HSPEC) for predicted occurrences (n = 142): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Nacella,concinna,-56.75,-26.75,5502:466:4,0.07
Nacella,concinna,-58.75,-26.25,5502:486:3,0.15
Nacella,concinna,-58.75,-26.75,5502:486:4,0.11
Nacella,concinna,-59.25,-26.25,5502:496:1,0.08
Nacella,concinna,-59.25,-26.75,5502:496:2,0.05
Nacella,concinna,-60.75,-43.75,5604:103:4,0.08
Nacella,concinna,-61.25,-46.25,5604:216:1,0.08
Nacella,concinna,-61.75,-59.25,5605:219:3,0.04
Nacella,concinna,-62.75,-57.75,5605:227:4,0.11
Nacella,concinna,-63.75,-55.75,5605:235:4,0.02
Nacella,concinna,-63.75,-56.25,5605:236:3,0.06
Nacella,concinna,-64.25,-56.75,5605:246:2,0.05
Nacella,concinna,-64.75,-59.75,5605:249:4,0.14
Nacella,concinna,-63.25,-60.75,5606:130:2,0.04
Nacella,concinna,-64.75,-62.25,5606:142:3,0.14
Nacella,concinna,-56.25,-27.25,5502:467:1,0.29
Nacella,concinna,-56.25,-27.75,5502:467:2,0.23
Nacella,concinna,-56.75,-27.25,5502:467:3,0.25
Nacella,concinna,-57.25,-26.75,5502:476:2,0.30
Nacella,concinna,-57.75,-26.25,5502:476:3,0.37
Nacella,concinna,-58.25,-26.25,5502:486:1,0.25
Nacella,concinna,-54.75,-34.25,5503:144:3,0.37
Nacella,concinna,-54.25,-38.75,5503:248:2,0.32
Nacella,concinna,-55.25,-34.25,5503:354:1,0.35
Nacella,concinna,-55.25,-34.75,5503:354:2,0.30
Nacella,concinna,-55.25,-35.25,5503:455:1,0.24
Nacella,concinna,-60.75,-44.25,5604:104:3,0.37
Nacella,concinna,-63.25,-54.25,5605:134:1,0.25
Nacella,concinna,-63.75,-57.75,5605:237:4,0.29
Nacella,concinna,-64.25,-57.25,5605:247:1,0.20
Nacella,concinna,-64.75,-61.25,5606:141:3,0.20
Nacella,concinna,-64.75,-62.75,5606:142:4,0.33
Nacella,concinna,-54.75,-34.75,5503:144:4,0.42
Nacella,concinna,-62.75,-54.25,5605:124:3,0.58
Nacella,concinna,-62.75,-57.25,5605:227:3,0.48
Nacella,concinna,-63.75,-56.75,5605:236:4,0.49
Nacella,concinna,-63.75,-57.25,5605:237:3,0.44
Nacella,concinna,-63.75,-58.25,5605:238:3,0.44
Nacella,concinna,-64.25,-59.25,5605:249:1,0.49
Nacella,concinna,-62.25,-61.25,5606:121:1,0.43
Nacella,concinna,-64.75,-61.75,5606:141:4,0.46
Nacella,concinna,-64.75,-66.25,5606:246:3,0.43
Nacella,concinna,-54.75,-35.25,5503:245:3,0.72
Nacella,concinna,-55.25,-35.75,5503:455:2,0.68
Nacella,concinna,-60.75,-46.75,5604:206:4,0.62
Nacella,concinna,-61.25,-50.25,5605:110:1,0.68
Nacella,concinna,-61.25,-50.75,5605:110:2,0.73
Nacella,concinna,-63.25,-54.75,5605:134:2,0.63
Nacella,concinna,-64.75,-60.25,5606:140:3,0.75
Nacella,concinna,-64.25,-61.25,5606:141:1,0.72
Nacella,concinna,-64.25,-61.75,5606:141:2,0.73
Nacella,concinna,-54.25,-35.75,5503:245:2,1.00
Nacella,concinna,-54.75,-35.75,5503:245:4,1.00
Nacella,concinna,-54.25,-36.25,5503:246:1,0.89
Nacella,concinna,-54.25,-36.75,5503:246:2,0.86
Nacella,concinna,-54.75,-36.25,5503:246:3,1.00
Nacella,concinna,-54.75,-36.75,5503:246:4,1.00
Nacella,concinna,-54.25,-37.25,5503:247:1,0.96
Nacella,concinna,-54.25,-37.75,5503:247:2,0.99
Nacella,concinna,-54.75,-37.25,5503:247:3,1.00
Nacella,concinna,-54.75,-37.75,5503:247:4,0.82
Nacella,concinna,-55.25,-36.25,5503:456:1,0.85
Nacella,concinna,-60.75,-44.75,5604:104:4,0.84
Nacella,concinna,-60.25,-45.25,5604:205:1,0.93
Nacella,concinna,-60.25,-45.75,5604:205:2,1.00
Nacella,concinna,-60.75,-45.25,5604:205:3,1.00
Nacella,concinna,-60.75,-45.75,5604:205:4,1.00
Nacella,concinna,-60.25,-46.25,5604:206:1,0.86
Nacella,concinna,-60.75,-46.25,5604:206:3,1.00
Nacella,concinna,-61.25,-53.75,5605:113:2,1.00
Nacella,concinna,-61.25,-54.25,5605:114:1,1.00
Nacella,concinna,-61.25,-54.75,5605:114:2,1.00
Nacella,concinna,-62.25,-54.75,5605:124:2,1.00
Nacella,concinna,-62.75,-54.75,5605:124:4,0.89
Nacella,concinna,-60.75,-55.25,5605:205:3,1.00
Nacella,concinna,-60.75,-55.75,5605:205:4,0.95
Nacella,concinna,-61.25,-55.25,5605:215:1,1.00
Nacella,concinna,-61.25,-55.75,5605:215:2,1.00
Nacella,concinna,-61.75,-57.25,5605:217:3,1.00
Nacella,concinna,-61.75,-57.75,5605:217:4,1.00
Nacella,concinna,-61.75,-58.25,5605:218:3,1.00
Nacella,concinna,-61.75,-58.75,5605:218:4,1.00
Nacella,concinna,-62.25,-55.25,5605:225:1,1.00
Nacella,concinna,-62.25,-55.75,5605:225:2,1.00
Nacella,concinna,-62.75,-55.25,5605:225:3,0.91
Nacella,concinna,-62.75,-55.75,5605:225:4,0.98
Nacella,concinna,-62.75,-56.25,5605:226:3,1.00
Nacella,concinna,-62.75,-56.75,5605:226:4,1.00
Nacella,concinna,-62.25,-57.75,5605:227:2,1.00
Nacella,concinna,-62.25,-58.25,5605:228:1,1.00
Nacella,concinna,-62.25,-58.75,5605:228:2,1.00
Nacella,concinna,-62.25,-59.25,5605:229:1,1.00
Nacella,concinna,-62.25,-59.75,5605:229:2,1.00
Nacella,concinna,-62.75,-59.75,5605:229:4,1.00
Nacella,concinna,-63.25,-55.25,5605:235:1,0.83
Nacella,concinna,-63.25,-55.75,5605:235:2,0.84
Nacella,concinna,-63.25,-56.25,5605:236:1,0.87
