Mapping parameters for Nemipterus peronii (Notchedfin threadfin bream)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71,
Bounding Box (NSWE): ,34,-27,31,172

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,17,25,59,100
Temperature (°C),1,22.16,25.45,28.82,33.02
Salinity (psu),1,20.55,31.32,35.34,38.83
Primary Production (mgC·m-3·day-1) ,1,0.63,3.05,17.61,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,153.37,209.96,249.82
Distance to Land (km),0,1,13,189,620
 

Map data (HSPEC) for predicted occurrences (n = 4839): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Nemipterus,peronii,-22.25,171.25,3217:121:1,0.11
Nemipterus,peronii,-26.25,162.25,3216:362:1,0.08
Nemipterus,peronii,-26.25,161.75,3216:361:2,0.08
Nemipterus,peronii,-26.25,161.25,3216:361:1,0.03
Nemipterus,peronii,-25.75,163.25,3216:353:3,0.10
Nemipterus,peronii,-25.75,162.75,3216:352:4,0.09
Nemipterus,peronii,-25.75,162.25,3216:352:3,0.10
Nemipterus,peronii,-25.25,162.75,3216:352:2,0.12
Nemipterus,peronii,-25.25,162.25,3216:352:1,0.12
Nemipterus,peronii,-25.75,161.75,3216:351:4,0.10
Nemipterus,peronii,-25.75,161.25,3216:351:3,0.11
Nemipterus,peronii,-25.25,161.75,3216:351:2,0.12
Nemipterus,peronii,-22.75,169.75,3216:229:4,0.12
Nemipterus,peronii,-22.25,169.25,3216:229:1,0.11
Nemipterus,peronii,-22.25,168.75,3216:228:2,0.19
Nemipterus,peronii,-21.75,168.75,3216:218:4,0.17
Nemipterus,peronii,-20.25,169.75,3216:209:2,0.10
Nemipterus,peronii,-20.75,167.25,3216:207:3,0.16
Nemipterus,peronii,-20.75,166.75,3216:206:4,0.18
Nemipterus,peronii,-20.75,166.25,3216:206:3,0.17
Nemipterus,peronii,-20.25,166.75,3216:206:2,0.12
Nemipterus,peronii,-20.25,166.25,3216:206:1,0.12
Nemipterus,peronii,-20.75,165.75,3216:205:4,0.18
Nemipterus,peronii,-20.75,161.75,3216:101:4,0.15
Nemipterus,peronii,-20.25,161.25,3216:101:1,0.13
Nemipterus,peronii,-20.75,160.75,3216:100:4,0.12
Nemipterus,peronii,-20.25,160.75,3216:100:2,0.13
Nemipterus,peronii,-25.25,159.75,3215:459:2,0.19
Nemipterus,peronii,-22.25,153.25,3215:123:1,0.17
Nemipterus,peronii,-26.25,114.25,3211:364:1,0.16
Nemipterus,peronii,-26.75,113.75,3211:363:4,0.15
Nemipterus,peronii,-26.75,113.25,3211:363:3,0.17
Nemipterus,peronii,-25.75,113.75,3211:353:4,0.15
Nemipterus,peronii,-25.25,113.75,3211:353:2,0.18
Nemipterus,peronii,-25.25,112.25,3211:352:1,0.05
Nemipterus,peronii,-24.75,113.75,3211:143:4,0.12
Nemipterus,peronii,-20.25,114.75,3211:104:2,0.02
Nemipterus,peronii,-21.25,55.75,3205:215:2,0.08
Nemipterus,peronii,-21.25,55.25,3205:215:1,0.10
Nemipterus,peronii,-20.25,57.75,3205:207:2,0.11
Nemipterus,peronii,-20.25,57.25,3205:207:1,0.13
Nemipterus,peronii,-20.75,55.75,3205:205:4,0.07
Nemipterus,peronii,-20.75,55.25,3205:205:3,0.07
Nemipterus,peronii,-20.25,34.75,3203:104:2,0.12
Nemipterus,peronii,-19.25,170.25,3117:390:1,0.09
Nemipterus,peronii,-19.75,169.75,3116:499:4,0.12
Nemipterus,peronii,-19.75,169.25,3116:499:3,0.16
Nemipterus,peronii,-19.25,169.75,3116:499:2,0.12
Nemipterus,peronii,-19.25,169.25,3116:499:1,0.17
Nemipterus,peronii,-19.75,165.75,3116:495:4,0.10
Nemipterus,peronii,-18.75,169.25,3116:489:3,0.17
Nemipterus,peronii,-17.25,168.75,3116:478:2,0.16
Nemipterus,peronii,-16.75,168.75,3116:468:4,0.12
Nemipterus,peronii,-15.75,168.25,3116:458:3,0.10
Nemipterus,peronii,-15.25,168.25,3116:458:1,0.03
Nemipterus,peronii,-15.25,167.75,3116:457:2,0.11
Nemipterus,peronii,-19.75,164.25,3116:394:3,0.16
Nemipterus,peronii,-19.25,160.25,3116:390:1,0.03
Nemipterus,peronii,-18.75,164.25,3116:384:3,0.08
Nemipterus,peronii,-18.25,164.25,3116:384:1,0.06
Nemipterus,peronii,-18.75,163.75,3116:383:4,0.13
Nemipterus,peronii,-18.75,162.75,3116:382:4,0.19
Nemipterus,peronii,-17.75,163.25,3116:373:3,0.07
Nemipterus,peronii,-17.75,162.75,3116:372:4,0.07
Nemipterus,peronii,-14.75,167.25,3116:247:3,0.13
Nemipterus,peronii,-14.25,167.75,3116:247:2,0.04
Nemipterus,peronii,-14.25,167.25,3116:247:1,0.11
Nemipterus,peronii,-13.75,167.75,3116:237:4,0.06
Nemipterus,peronii,-13.75,167.25,3116:237:3,0.12
Nemipterus,peronii,-13.25,167.25,3116:237:1,0.02
Nemipterus,peronii,-13.25,166.75,3116:236:2,0.04
Nemipterus,peronii,-12.25,168.75,3116:228:2,0.08
Nemipterus,peronii,-19.25,159.75,3115:499:2,0.06
Nemipterus,peronii,-19.25,159.25,3115:499:1,0.16
Nemipterus,peronii,-19.75,158.25,3115:498:3,0.18
Nemipterus,peronii,-19.25,158.25,3115:498:1,0.11
Nemipterus,peronii,-18.75,158.75,3115:488:4,0.09
Nemipterus,peronii,-18.75,152.25,3115:382:3,0.06
Nemipterus,peronii,-17.25,152.25,3115:372:1,0.02
Nemipterus,peronii,-17.75,151.75,3115:371:4,0.05
Nemipterus,peronii,-17.75,151.25,3115:371:3,0.10
Nemipterus,peronii,-17.25,151.75,3115:371:2,0.08
Nemipterus,peronii,-17.25,151.25,3115:371:1,0.10
Nemipterus,peronii,-17.75,150.75,3115:370:4,0.17
Nemipterus,peronii,-17.25,150.75,3115:370:2,0.11
Nemipterus,peronii,-17.25,150.25,3115:370:1,0.12
Nemipterus,peronii,-16.75,150.75,3115:360:4,0.04
Nemipterus,peronii,-16.75,150.25,3115:360:3,0.09
Nemipterus,peronii,-16.25,150.25,3115:360:1,0.11
Nemipterus,peronii,-10.25,152.25,3115:102:1,0.07
