Mapping parameters for Neogobius melanostomus (Round goby)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  37 ,
Bounding Box (NSWE): ,47,38.5,27,58

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,3,16,30
Temperature (°C),1,13.66,15.09,16.37,18
Salinity (psu),1,13.53,14.97,18.94,21
Primary Production (mgC·m-3·day-1) ,1,0.5,1.76,86.1,88.3
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.98,164.87,305.2,343.39
Distance to Land (km),0,2,5,20,152
 

Map data (HSPEC) for predicted occurrences (n = 131): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Neogobius,melanostomus,40.75,29.75,1402:209:4,0.16,1,0.92534609367509,0.17423814940223,1,1,1,1
Neogobius,melanostomus,42.25,27.25,1402:227:1,0.05,0.33333333333333,0.95292307847847,0.17087343827034,1,1,1,1
Neogobius,melanostomus,42.25,33.75,1403:123:2,0.11,1,1,1,0.11111109827956,1,1,1
Neogobius,melanostomus,42.25,34.25,1403:124:1,0.04,1,1,1,0.036507956166234,1,1,1
Neogobius,melanostomus,44.25,33.75,1403:143:2,0.03,1,1,1,0.034126985655536,1,1,1
Neogobius,melanostomus,44.75,33.25,1403:143:3,0.07,1,1,1,0.066666684985634,1,1,1
Neogobius,melanostomus,44.25,34.25,1403:144:1,0.09,1,1,1,0.087301577958796,1,1,1
Neogobius,melanostomus,41.25,38.25,1403:218:1,0.07,1,0.68967854318442,1,0.10714286029161,1,1,1
Neogobius,melanostomus,41.25,38.75,1403:218:2,0.19,1,0.62230701095485,1,0.30317462071599,1,1,1
Neogobius,melanostomus,41.25,39.75,1403:219:2,0.17,1,0.42049314346779,1,0.40079362631317,1,1,1
Neogobius,melanostomus,43.25,39.75,1403:239:2,0.03,1,0.32682945391883,0.98944451045063,0.090476205306394,1,1,1
Neogobius,melanostomus,44.25,38.25,1403:248:1,0.03,1,0.56142514468699,1,0.055555535465597,1,1,1
Neogobius,melanostomus,46.25,34.75,1403:364:2,0.15,1,0.48860659299196,0.31588787502715,1,1,1,1
Neogobius,melanostomus,46.75,35.25,1403:465:3,0.14,0.66666666666667,0.29561092136622,0.71952986717222,1,1,1,1
Neogobius,melanostomus,40.75,40.25,1404:100:3,0.01,1,0.048447825425951,0.26714084217849,1,1,1,1
Neogobius,melanostomus,41.25,41.25,1404:111:1,0.12,1,0.14277148100497,0.84849792776757,1,1,1,1
Neogobius,melanostomus,41.75,41.75,1404:111:4,0.02,1,0.032435458130614,0.57167590243146,1,1,1,1
Neogobius,melanostomus,42.25,41.75,1404:121:2,0.10,1,0.15176059278245,0.66843495785612,1,1,1,1
Neogobius,melanostomus,43.25,40.25,1404:130:1,0.10,1,0.29310799815172,0.99582857298621,0.35158731819441,1,1,1
Neogobius,melanostomus,41.25,28.25,1402:218:1,0.22,1,0.95104732396411,0.2360908730516,1,1,1,1
Neogobius,melanostomus,42.75,28.25,1402:228:3,0.21,0.21428571428571,1,1,1,1,1,1
Neogobius,melanostomus,44.75,28.75,1402:248:4,0.24,1,1,0.24008467462326,1,1,1,1
Neogobius,melanostomus,41.75,32.25,1403:112:3,0.22,1,0.94688392124295,1,0.22936508924301,1,1,1
Neogobius,melanostomus,42.25,33.25,1403:123:1,0.27,1,1,1,0.27063492138589,1,1,1
Neogobius,melanostomus,42.25,34.75,1403:124:2,0.24,1,1,1,0.24444443055443,1,1,1
Neogobius,melanostomus,44.75,33.75,1403:143:4,0.30,1,1,1,0.30300244615073,1,1,1
Neogobius,melanostomus,41.25,36.25,1403:216:1,0.28,1,0.66934948318577,0.41319745258218,1,1,1,1
Neogobius,melanostomus,41.25,37.75,1403:217:2,0.36,1,0.75706996800712,1,0.47222218727545,1,1,1
Neogobius,melanostomus,41.25,39.25,1403:219:1,0.32,1,0.53822336021374,1,0.60317464143275,1,1,1
Neogobius,melanostomus,42.25,35.25,1403:225:1,0.24,1,1,1,0.23888887889269,1,1,1
Neogobius,melanostomus,45.25,30.75,1403:350:2,0.29,0.28571428571429,1,1,1,1,1,1
Neogobius,melanostomus,45.25,32.75,1403:352:2,0.38,1,1,1,0.37777776282931,1,1,1
Neogobius,melanostomus,45.75,32.25,1403:352:3,0.39,0.5,0.77668025943783,1,1,1,1,1
Neogobius,melanostomus,45.25,33.25,1403:353:1,0.27,1,1,1,0.26984126454899,1,1,1
Neogobius,melanostomus,46.25,30.75,1403:360:2,0.39,1,0.38545371102287,1,1,1,1,1
Neogobius,melanostomus,46.75,30.75,1403:360:4,0.23,1,0.2312725840749,1,1,1,1,1
Neogobius,melanostomus,46.25,31.25,1403:361:1,0.30,0.78571428571429,0.37617439323371,1,1,1,1,1
Neogobius,melanostomus,46.25,31.75,1403:361:2,0.37,1,0.37087716589441,1,1,1,1,1
Neogobius,melanostomus,46.75,31.25,1403:361:3,0.23,1,0.22979672305231,1,1,1,1,1
Neogobius,melanostomus,46.75,31.75,1403:361:4,0.23,1,0.23347737238958,1,1,1,1,1
Neogobius,melanostomus,46.75,32.25,1403:362:3,0.24,1,0.24120746959343,1,1,1,1,1
Neogobius,melanostomus,46.25,35.75,1403:465:2,0.37,1,0.36601476069098,1,1,1,1,1
Neogobius,melanostomus,46.75,35.75,1403:465:4,0.27,1,0.26697334876427,1,1,1,1,1
Neogobius,melanostomus,46.25,36.25,1403:466:1,0.38,1,0.38344099138168,1,1,1,1,1
Neogobius,melanostomus,46.25,36.75,1403:466:2,0.24,0.57142857142857,0.41725241387643,1,1,1,1,1
Neogobius,melanostomus,46.75,36.25,1403:466:3,0.24,1,0.24112810788455,1,1,1,1,1
Neogobius,melanostomus,46.75,36.75,1403:466:4,0.22,1,0.22101758410049,1,1,1,1,1
Neogobius,melanostomus,46.25,37.25,1403:467:1,0.26,0.57142857142857,0.45003546868168,1,1,1,1,1
Neogobius,melanostomus,46.75,37.25,1403:467:3,0.21,1,0.20804027744105,1,1,1,1,1
Neogobius,melanostomus,46.75,37.75,1403:467:4,0.20,1,0.19926047158406,1,1,1,1,1
Neogobius,melanostomus,46.75,38.25,1403:468:3,0.20,1,0.19751318017923,1,1,1,1,1
Neogobius,melanostomus,46.75,38.75,1403:468:4,0.33,1,0.33403999488671,1,1,1,1,1
Neogobius,melanostomus,41.25,40.25,1404:110:1,0.34,1,0.33997494750227,1,1,1,1,1
Neogobius,melanostomus,41.25,40.75,1404:110:2,0.30,1,0.29570456662792,1,1,1,1,1
Neogobius,melanostomus,42.75,41.25,1404:121:3,0.26,1,0.25806309986699,1,1,1,1,1
Neogobius,melanostomus,42.75,41.75,1404:121:4,0.23,1,0.32713954434074,0.69994972747505,1,1,1,1
Neogobius,melanostomus,43.25,41.25,1404:131:1,0.32,0.66666666666667,0.48244569930564,0.98969450274719,1,1,1,1
Neogobius,melanostomus,41.25,28.75,1402:218:2,0.59,1,0.99854498553129,0.58766707633306,1,1,1,1
Neogobius,melanostomus,41.25,31.75,1403:111:2,0.43,1,0.75116420816061,0.5746508107602,1,1,1,1
Neogobius,melanostomus,41.75,31.75,1403:111:4,0.47,1,0.92259857552184,1,0.51428572245179,1,1,1
Neogobius,melanostomus,41.75,32.75,1403:112:4,0.45,1,0.88309071546681,0.81419620699097,0.62514064197857,1,1,1
Neogobius,melanostomus,41.75,33.25,1403:113:3,0.59,1,0.85592562435595,0.68411040074616,1,1,1,1
Neogobius,melanostomus,41.75,34.25,1403:114:3,0.59,1,0.88309539607699,0.66941085371,1,1,1,1
Neogobius,melanostomus,44.75,34.25,1403:144:3,0.57,1,1,1,0.56608712211961,1,1,1
Neogobius,melanostomus,44.75,34.75,1403:144:4,0.55,1,1,1,0.55079365976983,1,1,1
Neogobius,melanostomus,41.25,36.75,1403:216:2,0.47,1,0.71791198356018,0.65519555101117,1,1,1,1
Neogobius,melanostomus,43.75,39.75,1403:239:4,0.54,1,0.53644706866491,1,1,1,1,1
Neogobius,melanostomus,44.75,35.25,1403:245:3,0.44,1,1,1,0.44126984781571,1,1,1
Neogobius,melanostomus,44.25,38.75,1403:248:2,0.46,1,0.45538241146534,1,1,1,1,1
Neogobius,melanostomus,45.75,30.75,1403:350:4,0.59,0.71428571428571,0.82419991659951,1,1,1,1,1
Neogobius,melanostomus,45.75,31.25,1403:351:3,0.43,0.5,0.86944209278881,1,1,1,1,1
Neogobius,melanostomus,45.75,31.75,1403:351:4,0.42,0.5,0.84367821433329,1,1,1,1,1
Neogobius,melanostomus,46.25,30.25,1403:360:1,0.40,1,0.40291662149497,1,1,1,1,1
Neogobius,melanostomus,46.25,32.25,1403:362:1,0.40,1,0.40012162215224,1,1,1,1,1
