Mapping parameters for Neotrygon picta (Peppered maskray)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,14,50,96
Temperature (°C),1,21.47,24.01,28.17,32.37
Salinity (psu),1,30.42,33.8,35.4,35.9
Primary Production (mgC·m-3·day-1) ,1,1.85,4.32,16.49,25.44
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,196.73,199.81,211.48,220.09
Distance to Land (km),0,0,10,220,295
 

Map data (HSPEC) for predicted occurrences (n = 3306): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Neotrygon,picta,6.75,79.75,1007:469:4,0.02
Neotrygon,picta,7.25,79.75,1007:479:2,0.11
Neotrygon,picta,8.75,78.25,1007:488:3,0.16
Neotrygon,picta,6.75,80.25,1008:360:3,0.05
Neotrygon,picta,0.25,97.75,1009:207:2,0.11
Neotrygon,picta,0.75,97.25,1009:207:3,0.07
Neotrygon,picta,0.75,97.75,1009:207:4,0.13
Neotrygon,picta,1.25,97.25,1009:217:1,0.07
Neotrygon,picta,1.25,97.75,1009:217:2,0.09
Neotrygon,picta,1.75,97.25,1009:217:3,0.10
Neotrygon,picta,1.75,97.75,1009:217:4,0.14
Neotrygon,picta,1.25,98.25,1009:218:1,0.17
Neotrygon,picta,2.75,95.75,1009:225:4,0.02
