Mapping parameters for Nezumia sclerorhynchus (Roughtip grenadier)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  37 |  41 |  47,
Bounding Box (NSWE): ,43,4,-81,36

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,130,450,730,3200
Temperature (°C),1,8.98,18.75,27.78,31.98
Salinity (psu),1,24.43,31.91,37.91,40.26
Primary Production (mgC·m-3·day-1) ,1,-0.39,0.61,33.54,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,41.08,132.66,243.24,301.65
Distance to Land (km),0,2,14,202,574
 

Map data (HSPEC) for predicted occurrences (n = 10861): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Nezumia,sclerorhynchus,42.75,-70.25,7407:120:3,0.03
Nezumia,sclerorhynchus,40.25,-71.75,7407:101:2,0.09
Nezumia,sclerorhynchus,42.75,-69.75,7406:229:4,0.13
Nezumia,sclerorhynchus,42.75,-69.25,7406:229:3,0.12
Nezumia,sclerorhynchus,42.25,-69.75,7406:229:2,0.12
Nezumia,sclerorhynchus,42.25,-69.25,7406:229:1,0.12
Nezumia,sclerorhynchus,42.75,-68.75,7406:228:4,0.06
Nezumia,sclerorhynchus,42.75,-68.25,7406:228:3,0.06
Nezumia,sclerorhynchus,42.25,-68.75,7406:228:2,0.09
Nezumia,sclerorhynchus,42.25,-68.25,7406:228:1,0.08
Nezumia,sclerorhynchus,42.75,-67.75,7406:227:4,0.07
Nezumia,sclerorhynchus,42.75,-67.25,7406:227:3,0.09
Nezumia,sclerorhynchus,42.25,-67.75,7406:227:2,0.10
Nezumia,sclerorhynchus,42.25,-67.25,7406:227:1,0.14
Nezumia,sclerorhynchus,42.75,-66.75,7406:226:4,0.06
Nezumia,sclerorhynchus,42.25,-66.75,7406:226:2,0.11
Nezumia,sclerorhynchus,42.25,-66.25,7406:226:1,0.08
Nezumia,sclerorhynchus,42.25,-65.75,7406:225:2,0.15
Nezumia,sclerorhynchus,41.75,-69.75,7406:219:4,0.06
Nezumia,sclerorhynchus,41.75,-69.25,7406:219:3,0.08
Nezumia,sclerorhynchus,41.25,-69.25,7406:219:1,0.02
Nezumia,sclerorhynchus,41.75,-68.75,7406:218:4,0.05
Nezumia,sclerorhynchus,41.75,-68.25,7406:218:3,0.08
Nezumia,sclerorhynchus,41.25,-68.75,7406:218:2,0.02
Nezumia,sclerorhynchus,41.75,-67.75,7406:217:4,0.04
