Mapping parameters for Notolabrus celidotus (Spotty)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  81 ,
Bounding Box (NSWE): ,-34,-47,166,-175

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,22,35,82,145
Temperature (°C),1,6.13,12.19,17.83,24.3
Salinity (psu),1,33.16,34.41,35.53,36.87
Primary Production (mgC·m-3·day-1) ,1,5.85,9.7,49.08,66.57
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,155.65,201.39,282.34,329.47
Distance to Land (km),0,0,5,82,92
 

Map data (HSPEC) for predicted occurrences (n = 190): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Notolabrus,celidotus,-44.25,-175.25,5417:245:1,0.10
Notolabrus,celidotus,-44.25,175.75,3417:245:2,0.15
Notolabrus,celidotus,-43.25,176.75,3417:236:2,0.11
Notolabrus,celidotus,-43.75,175.25,3417:235:3,0.13
Notolabrus,celidotus,-43.75,174.25,3417:134:3,0.19
Notolabrus,celidotus,-37.25,177.75,3317:477:2,0.01
Notolabrus,celidotus,-37.25,177.25,3317:477:1,0.02
Notolabrus,celidotus,-36.25,176.25,3317:466:1,0.03
Notolabrus,celidotus,-38.25,173.25,3317:383:1,0.18
Notolabrus,celidotus,-36.75,174.25,3317:364:3,0.01
Notolabrus,celidotus,-35.25,172.75,3317:352:2,0.05
Notolabrus,celidotus,-34.75,172.75,3317:142:4,0.13
Notolabrus,celidotus,-34.25,172.25,3317:142:1,0.10
Notolabrus,celidotus,-44.75,172.75,3417:142:4,0.26
Notolabrus,celidotus,-41.25,171.25,3417:111:1,0.22
Notolabrus,celidotus,-39.75,175.25,3317:495:3,0.38
Notolabrus,celidotus,-37.25,178.75,3317:478:2,0.39
Notolabrus,celidotus,-37.25,176.75,3317:476:2,0.23
Notolabrus,celidotus,-36.75,175.25,3317:465:3,0.26
Notolabrus,celidotus,-38.75,172.75,3317:382:4,0.22
Notolabrus,celidotus,-37.25,174.25,3317:374:1,0.23
Notolabrus,celidotus,-46.75,170.25,3417:360:3,0.43
Notolabrus,celidotus,-44.25,171.75,3417:141:2,0.47
Notolabrus,celidotus,-46.75,168.25,3416:468:3,0.58
Notolabrus,celidotus,-39.75,177.75,3317:497:4,0.46
Notolabrus,celidotus,-35.75,175.75,3317:455:4,0.43
Notolabrus,celidotus,-38.25,173.75,3317:383:2,0.42
Notolabrus,celidotus,-36.75,174.75,3317:364:4,0.53
