Mapping parameters for Nototodarus sloanii (Wellington flying squid)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 81,
Bounding Box (NSWE): ,-37,-51,164,-1

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,59,226,500
Temperature (°C),1,3.38,9.06,15.55,21.08
Salinity (psu),1,33.57,34.24,35.24,35.78
Primary Production (mgC·m-3·day-1) ,1,2.58,4.6,33.17,66.57
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,156.7,197.65,277.33,327.72
Distance to Land (km),0,0,16,328,481
 

Map data (HSPEC) for predicted occurrences (n = 360): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Nototodarus,sloanii,-38.75,169.75,3316:489:4,0.01
Nototodarus,sloanii,-37.75,173.75,3317:373:4,0.12
Nototodarus,sloanii,-37.75,175.75,3317:475:4,0.01
Nototodarus,sloanii,-38.25,179.25,3317:489:1,0.07
Nototodarus,sloanii,-45.75,167.25,3416:457:3,0.02
Nototodarus,sloanii,-42.25,170.25,3417:120:1,0.09
Nototodarus,sloanii,-43.25,170.75,3417:130:2,0.01
Nototodarus,sloanii,-43.75,171.75,3417:131:4,0.14
Nototodarus,sloanii,-44.75,173.25,3417:143:3,0.18
Nototodarus,sloanii,-44.25,174.75,3417:144:2,0.07
Nototodarus,sloanii,-42.75,179.25,3417:229:3,0.09
Nototodarus,sloanii,-44.25,175.25,3417:245:1,0.10
Nototodarus,sloanii,-44.25,177.25,3417:247:1,0.01
Nototodarus,sloanii,-48.75,172.25,3417:382:3,0.17
Nototodarus,sloanii,-48.75,173.25,3417:383:3,0.15
Nototodarus,sloanii,-48.75,173.75,3417:383:4,0.05
Nototodarus,sloanii,-48.75,174.25,3417:384:3,0.03
Nototodarus,sloanii,-49.25,170.75,3417:390:2,0.07
Nototodarus,sloanii,-49.75,170.25,3417:390:3,0.09
Nototodarus,sloanii,-49.75,173.25,3417:393:3,0.19
Nototodarus,sloanii,-49.75,174.25,3417:394:3,0.09
Nototodarus,sloanii,-49.25,175.25,3417:495:1,0.04
Nototodarus,sloanii,-49.25,179.25,3417:499:1,0.04
Nototodarus,sloanii,-50.75,168.25,3516:208:3,0.16
Nototodarus,sloanii,-50.25,170.75,3517:100:2,0.02
Nototodarus,sloanii,-50.25,171.25,3517:101:1,0.12
Nototodarus,sloanii,-50.75,171.25,3517:101:3,0.09
Nototodarus,sloanii,-50.75,171.75,3517:101:4,0.07
Nototodarus,sloanii,-38.25,-168.25,5316:488:1,0.01
Nototodarus,sloanii,-42.75,-179.25,5417:229:3,0.07
Nototodarus,sloanii,-44.75,-175.75,5417:245:4,0.17
Nototodarus,sloanii,-47.75,-179.25,5417:479:3,0.10
Nototodarus,sloanii,-48.75,-179.75,5417:489:4,0.19
Nototodarus,sloanii,-38.75,172.25,3317:382:3,0.29
Nototodarus,sloanii,-37.25,176.75,3317:476:2,0.24
Nototodarus,sloanii,-37.25,177.25,3317:477:1,0.22
Nototodarus,sloanii,-37.25,177.75,3317:477:2,0.24
Nototodarus,sloanii,-37.75,177.25,3317:477:3,0.38
Nototodarus,sloanii,-37.75,177.75,3317:477:4,0.35
Nototodarus,sloanii,-37.25,178.25,3317:478:1,0.26
Nototodarus,sloanii,-37.25,178.75,3317:478:2,0.25
Nototodarus,sloanii,-37.75,178.25,3317:478:3,0.34
Nototodarus,sloanii,-37.75,178.75,3317:478:4,0.37
Nototodarus,sloanii,-37.25,179.25,3317:479:1,0.21
Nototodarus,sloanii,-37.75,179.25,3317:479:3,0.31
Nototodarus,sloanii,-38.25,178.75,3317:488:2,0.38
Nototodarus,sloanii,-38.75,178.75,3317:488:4,0.38
Nototodarus,sloanii,-39.75,178.25,3317:498:3,0.22
Nototodarus,sloanii,-48.75,164.75,3416:384:4,0.36
Nototodarus,sloanii,-46.75,168.25,3416:468:3,0.35
Nototodarus,sloanii,-49.25,166.25,3416:496:1,0.22
Nototodarus,sloanii,-40.75,170.75,3417:100:4,0.30
Nototodarus,sloanii,-40.25,171.25,3417:101:1,0.27
Nototodarus,sloanii,-43.75,172.25,3417:132:3,0.34
Nototodarus,sloanii,-44.25,171.75,3417:141:2,0.25
Nototodarus,sloanii,-44.25,174.25,3417:144:1,0.21
Nototodarus,sloanii,-43.25,179.75,3417:239:2,0.39
Nototodarus,sloanii,-48.75,171.25,3417:381:3,0.28
Nototodarus,sloanii,-48.75,171.75,3417:381:4,0.32
Nototodarus,sloanii,-49.75,170.75,3417:390:4,0.20
Nototodarus,sloanii,-49.75,172.75,3417:392:4,0.37
Nototodarus,sloanii,-49.25,174.75,3417:394:2,0.24
Nototodarus,sloanii,-47.25,177.75,3417:477:2,0.33
Nototodarus,sloanii,-47.75,178.25,3417:478:3,0.30
Nototodarus,sloanii,-50.25,168.25,3516:208:1,0.30
Nototodarus,sloanii,-50.25,170.25,3517:100:1,0.20
Nototodarus,sloanii,-50.25,171.75,3517:101:2,0.36
Nototodarus,sloanii,-50.25,172.75,3517:102:2,0.32
Nototodarus,sloanii,-50.75,172.25,3517:102:3,0.25
Nototodarus,sloanii,-50.75,172.75,3517:102:4,0.21
Nototodarus,sloanii,-50.25,173.25,3517:103:1,0.32
Nototodarus,sloanii,-50.75,173.25,3517:103:3,0.34
Nototodarus,sloanii,-38.25,-167.75,5316:487:2,0.21
Nototodarus,sloanii,-44.25,-177.75,5417:247:2,0.30
Nototodarus,sloanii,-44.25,-178.25,5417:248:1,0.32
Nototodarus,sloanii,-48.25,-179.25,5417:489:1,0.27
Nototodarus,sloanii,-37.25,173.75,3317:373:2,0.53
Nototodarus,sloanii,-37.25,174.75,3317:374:2,0.58
Nototodarus,sloanii,-37.25,175.25,3317:475:1,0.55
Nototodarus,sloanii,-37.25,175.75,3317:475:2,0.49
Nototodarus,sloanii,-37.25,176.25,3317:476:1,0.42
Nototodarus,sloanii,-37.75,176.25,3317:476:3,0.51
Nototodarus,sloanii,-37.75,176.75,3317:476:4,0.43
Nototodarus,sloanii,-38.75,177.75,3317:487:4,0.57
Nototodarus,sloanii,-38.25,178.25,3317:488:1,0.43
Nototodarus,sloanii,-38.75,178.25,3317:488:3,0.45
Nototodarus,sloanii,-39.75,175.25,3317:495:3,0.45
Nototodarus,sloanii,-39.25,176.75,3317:496:2,0.58
Nototodarus,sloanii,-39.75,177.75,3317:497:4,0.55
Nototodarus,sloanii,-39.25,178.25,3317:498:1,0.46
Nototodarus,sloanii,-49.25,166.75,3416:496:2,0.44
Nototodarus,sloanii,-49.25,167.25,3416:497:1,0.55
Nototodarus,sloanii,-49.75,168.25,3416:498:3,0.41
Nototodarus,sloanii,-42.75,171.25,3417:121:3,0.57
Nototodarus,sloanii,-44.25,171.25,3417:141:1,0.49
Nototodarus,sloanii,-44.75,171.25,3417:141:3,0.52
Nototodarus,sloanii,-42.75,175.75,3417:225:4,0.46
Nototodarus,sloanii,-42.75,176.25,3417:226:3,0.40
Nototodarus,sloanii,-42.75,176.75,3417:226:4,0.43
Nototodarus,sloanii,-42.75,178.25,3417:228:3,0.55
Nototodarus,sloanii,-42.75,178.75,3417:228:4,0.47
Nototodarus,sloanii,-43.25,179.25,3417:239:1,0.49
Nototodarus,sloanii,-43.75,179.25,3417:239:3,0.48
Nototodarus,sloanii,-43.75,179.75,3417:239:4,0.51
Nototodarus,sloanii,-49.75,171.25,3417:391:3,0.57
Nototodarus,sloanii,-49.25,173.25,3417:393:1,0.54
Nototodarus,sloanii,-49.25,174.25,3417:394:1,0.53
Nototodarus,sloanii,-48.75,178.75,3417:488:4,0.51
Nototodarus,sloanii,-48.75,179.25,3417:489:3,0.57
Nototodarus,sloanii,-50.25,172.25,3517:102:1,0.59
Nototodarus,sloanii,-43.25,-175.25,5417:235:1,0.45
Nototodarus,sloanii,-43.25,-178.25,5417:238:1,0.52
Nototodarus,sloanii,-43.25,-178.75,5417:238:2,0.42
Nototodarus,sloanii,-43.75,-178.25,5417:238:3,0.57
Nototodarus,sloanii,-43.25,-179.25,5417:239:1,0.45
Nototodarus,sloanii,-43.25,-179.75,5417:239:2,0.54
Nototodarus,sloanii,-44.25,-179.75,5417:249:2,0.52
Nototodarus,sloanii,-37.25,174.25,3317:374:1,0.64
Nototodarus,sloanii,-37.75,174.25,3317:374:3,0.67
Nototodarus,sloanii,-37.75,174.75,3317:374:4,0.77
Nototodarus,sloanii,-38.25,172.75,3317:382:2,0.62
Nototodarus,sloanii,-38.75,172.75,3317:382:4,0.75
Nototodarus,sloanii,-38.25,173.25,3317:383:1,0.62
Nototodarus,sloanii,-38.25,173.75,3317:383:2,0.65
Nototodarus,sloanii,-38.75,173.25,3317:383:3,0.75
Nototodarus,sloanii,-38.75,173.75,3317:383:4,0.76
Nototodarus,sloanii,-38.25,174.25,3317:384:1,0.76
Nototodarus,sloanii,-39.25,171.75,3317:391:2,0.71
Nototodarus,sloanii,-39.25,177.75,3317:497:2,0.66
Nototodarus,sloanii,-39.75,177.25,3317:497:3,0.73
Nototodarus,sloanii,-49.75,164.25,3416:394:3,0.73
Nototodarus,sloanii,-48.25,168.75,3416:488:2,0.68
Nototodarus,sloanii,-49.75,166.25,3416:496:3,0.60
Nototodarus,sloanii,-42.25,171.25,3417:121:1,0.62
Nototodarus,sloanii,-42.75,173.25,3417:123:3,0.66
Nototodarus,sloanii,-43.75,172.75,3417:132:4,0.60
Nototodarus,sloanii,-43.25,173.25,3417:133:1,0.69
Nototodarus,sloanii,-43.75,174.75,3417:134:4,0.66
Nototodarus,sloanii,-44.25,172.25,3417:142:1,0.79
Nototodarus,sloanii,-40.25,177.25,3417:207:1,0.65
Nototodarus,sloanii,-40.75,177.25,3417:207:3,0.61
Nototodarus,sloanii,-42.75,175.25,3417:225:3,0.68
Nototodarus,sloanii,-42.75,177.25,3417:227:3,0.73
Nototodarus,sloanii,-42.75,177.75,3417:227:4,0.72
Nototodarus,sloanii,-43.75,176.25,3417:236:3,0.65
Nototodarus,sloanii,-43.25,178.25,3417:238:1,0.74
Nototodarus,sloanii,-43.25,178.75,3417:238:2,0.64
Nototodarus,sloanii,-43.75,178.25,3417:238:3,0.68
Nototodarus,sloanii,-43.75,178.75,3417:238:4,0.65
Nototodarus,sloanii,-49.25,171.25,3417:391:1,0.64
Nototodarus,sloanii,-49.75,171.75,3417:391:4,0.77
Nototodarus,sloanii,-49.25,172.75,3417:392:2,0.78
Nototodarus,sloanii,-49.75,172.25,3417:392:3,0.62
Nototodarus,sloanii,-49.25,173.75,3417:393:2,0.63
Nototodarus,sloanii,-49.75,173.75,3417:393:4,0.64
Nototodarus,sloanii,-48.25,178.75,3417:488:2,0.76
Nototodarus,sloanii,-49.75,178.75,3417:498:4,0.62
Nototodarus,sloanii,-50.75,167.75,3516:207:4,0.73
Nototodarus,sloanii,-43.25,-161.25,5416:131:1,0.72
Nototodarus,sloanii,-42.75,-178.75,5417:228:4,0.75
Nototodarus,sloanii,-43.75,-177.75,5417:237:4,0.72
Nototodarus,sloanii,-43.75,-178.75,5417:238:4,0.65
Nototodarus,sloanii,-43.75,-179.75,5417:239:4,0.77
Nototodarus,sloanii,-44.25,-178.75,5417:248:2,0.62
Nototodarus,sloanii,-38.25,174.75,3317:384:2,0.80
Nototodarus,sloanii,-38.75,174.25,3317:384:3,0.82
Nototodarus,sloanii,-38.75,174.75,3317:384:4,0.81
Nototodarus,sloanii,-39.75,171.75,3317:391:4,0.86
Nototodarus,sloanii,-39.25,172.25,3317:392:1,0.83
Nototodarus,sloanii,-39.25,172.75,3317:392:2,0.89
Nototodarus,sloanii,-39.75,172.25,3317:392:3,0.93
Nototodarus,sloanii,-39.75,172.75,3317:392:4,0.96
Nototodarus,sloanii,-39.25,173.25,3317:393:1,0.87
Nototodarus,sloanii,-39.25,173.75,3317:393:2,0.87
Nototodarus,sloanii,-39.75,173.25,3317:393:3,0.97
Nototodarus,sloanii,-39.75,173.75,3317:393:4,0.98
Nototodarus,sloanii,-39.25,174.25,3317:394:1,0.89
Nototodarus,sloanii,-39.75,174.25,3317:394:3,1.00
Nototodarus,sloanii,-39.75,174.75,3317:394:4,0.95
Nototodarus,sloanii,-39.75,176.75,3317:496:4,0.88
Nototodarus,sloanii,-39.25,177.25,3317:497:1,0.88
Nototodarus,sloanii,-42.75,169.75,3416:229:4,1.00
Nototodarus,sloanii,-43.75,168.25,3416:238:3,1.00
Nototodarus,sloanii,-43.75,168.75,3416:238:4,1.00
Nototodarus,sloanii,-43.25,169.25,3416:239:1,1.00
Nototodarus,sloanii,-43.25,169.75,3416:239:2,1.00
Nototodarus,sloanii,-43.75,169.25,3416:239:3,0.87
Nototodarus,sloanii,-43.75,169.75,3416:239:4,0.87
Nototodarus,sloanii,-44.25,167.75,3416:247:2,1.00
Nototodarus,sloanii,-44.75,167.25,3416:247:3,1.00
Nototodarus,sloanii,-44.75,167.75,3416:247:4,1.00
Nototodarus,sloanii,-44.25,168.25,3416:248:1,1.00
Nototodarus,sloanii,-49.25,164.25,3416:394:1,0.91
Nototodarus,sloanii,-45.25,166.75,3416:456:2,1.00
Nototodarus,sloanii,-45.75,166.25,3416:456:3,1.00
Nototodarus,sloanii,-45.75,166.75,3416:456:4,1.00
Nototodarus,sloanii,-45.25,167.25,3416:457:1,1.00
Nototodarus,sloanii,-46.25,165.75,3416:465:2,1.00
Nototodarus,sloanii,-46.75,165.75,3416:465:4,1.00
Nototodarus,sloanii,-46.25,166.25,3416:466:1,1.00
Nototodarus,sloanii,-46.25,166.75,3416:466:2,1.00
Nototodarus,sloanii,-46.75,166.25,3416:466:3,1.00
Nototodarus,sloanii,-46.75,166.75,3416:466:4,1.00
Nototodarus,sloanii,-46.25,167.25,3416:467:1,1.00
Nototodarus,sloanii,-46.25,167.75,3416:467:2,0.95
Nototodarus,sloanii,-46.75,167.25,3416:467:3,1.00
Nototodarus,sloanii,-46.75,167.75,3416:467:4,1.00
Nototodarus,sloanii,-46.25,168.25,3416:468:1,0.89
Nototodarus,sloanii,-46.75,168.75,3416:468:4,0.91
Nototodarus,sloanii,-46.25,169.75,3416:469:2,1.00
Nototodarus,sloanii,-46.75,169.25,3416:469:3,1.00
Nototodarus,sloanii,-46.75,169.75,3416:469:4,1.00
Nototodarus,sloanii,-47.25,166.75,3416:476:2,1.00
Nototodarus,sloanii,-47.75,166.25,3416:476:3,1.00
Nototodarus,sloanii,-47.75,166.75,3416:476:4,1.00
Nototodarus,sloanii,-47.25,167.25,3416:477:1,1.00
Nototodarus,sloanii,-47.25,167.75,3416:477:2,1.00
Nototodarus,sloanii,-47.75,167.25,3416:477:3,1.00
Nototodarus,sloanii,-47.75,167.75,3416:477:4,1.00
Nototodarus,sloanii,-47.25,168.25,3416:478:1,1.00
Nototodarus,sloanii,-47.25,168.75,3416:478:2,1.00
Nototodarus,sloanii,-47.75,168.25,3416:478:3,1.00
Nototodarus,sloanii,-47.75,168.75,3416:478:4,1.00
Nototodarus,sloanii,-47.25,169.25,3416:479:1,1.00
Nototodarus,sloanii,-47.25,169.75,3416:479:2,1.00
Nototodarus,sloanii,-47.75,169.25,3416:479:3,0.83
Nototodarus,sloanii,-48.25,166.25,3416:486:1,1.00
Nototodarus,sloanii,-48.25,166.75,3416:486:2,1.00
Nototodarus,sloanii,-48.75,166.25,3416:486:3,1.00
Nototodarus,sloanii,-48.75,166.75,3416:486:4,1.00
Nototodarus,sloanii,-48.25,167.25,3416:487:1,1.00
Nototodarus,sloanii,-48.25,167.75,3416:487:2,1.00
Nototodarus,sloanii,-48.75,167.25,3416:487:3,0.95
Nototodarus,sloanii,-48.75,167.75,3416:487:4,1.00
Nototodarus,sloanii,-48.25,168.25,3416:488:1,1.00
Nototodarus,sloanii,-48.75,168.25,3416:488:3,0.93
Nototodarus,sloanii,-49.75,166.75,3416:496:4,1.00
Nototodarus,sloanii,-49.75,167.25,3416:497:3,1.00
Nototodarus,sloanii,-49.75,167.75,3416:497:4,0.98
Nototodarus,sloanii,-40.25,171.75,3417:101:2,0.94
Nototodarus,sloanii,-40.75,171.25,3417:101:3,0.94
Nototodarus,sloanii,-40.75,171.75,3417:101:4,0.99
