Mapping parameters for Octopus vulgaris (common octopus)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  87,
Bounding Box (NSWE): ,57,-38,-98,146

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,100,347
Temperature (°C),1,2.66,12.53,28.02,32.22
Salinity (psu),1,3.42,32.09,37.79,39.43
Primary Production (mgC·m-3·day-1) ,1,-0.41,0.59,29.29,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,8.45,148.01,259.34,358.8
Distance to Land (km),0,0,11,179,1474
 

Map data (HSPEC) for predicted occurrences (n = 11214): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Octopus,vulgaris,50.25,-66.75,7506:206:2,0.11
Octopus,vulgaris,50.25,-66.25,7506:206:1,0.13
Octopus,vulgaris,50.25,-65.75,7506:205:2,0.16
Octopus,vulgaris,50.25,-65.25,7506:205:1,0.18
Octopus,vulgaris,53.25,-60.75,7506:130:2,0.01
Octopus,vulgaris,50.25,-64.25,7506:104:1,0.19
Octopus,vulgaris,50.25,-63.75,7506:103:2,0.19
Octopus,vulgaris,56.25,-57.25,7505:467:1,0.01
Octopus,vulgaris,55.75,-56.75,7505:456:4,0.01
Octopus,vulgaris,55.25,-55.25,7505:455:1,0.01
Octopus,vulgaris,55.25,-54.75,7505:354:2,0.03
Octopus,vulgaris,55.25,-54.25,7505:354:1,0.01
Octopus,vulgaris,53.25,-59.75,7505:239:2,0.01
Octopus,vulgaris,53.75,-58.75,7505:238:4,0.01
Octopus,vulgaris,53.25,-57.25,7505:237:1,0.01
Octopus,vulgaris,52.75,-56.25,7505:226:3,0.01
Octopus,vulgaris,52.25,-56.25,7505:226:1,0.03
Octopus,vulgaris,52.75,-55.75,7505:225:4,0.01
Octopus,vulgaris,52.25,-55.75,7505:225:2,0.02
Octopus,vulgaris,52.25,-55.25,7505:225:1,0.01
Octopus,vulgaris,51.25,-58.75,7505:218:2,0.14
Octopus,vulgaris,51.25,-58.25,7505:218:1,0.16
Octopus,vulgaris,51.75,-57.25,7505:217:3,0.08
Octopus,vulgaris,51.25,-57.75,7505:217:2,0.14
Octopus,vulgaris,51.25,-57.25,7505:217:1,0.10
Octopus,vulgaris,51.75,-56.75,7505:216:4,0.06
Octopus,vulgaris,51.75,-56.25,7505:216:3,0.04
Octopus,vulgaris,51.25,-56.75,7505:216:2,0.09
Octopus,vulgaris,51.25,-56.25,7505:216:1,0.08
Octopus,vulgaris,51.75,-55.75,7505:215:4,0.03
Octopus,vulgaris,51.75,-55.25,7505:215:3,0.03
Octopus,vulgaris,51.25,-55.75,7505:215:2,0.08
Octopus,vulgaris,51.25,-55.25,7505:215:1,0.05
Octopus,vulgaris,50.75,-59.75,7505:209:4,0.17
Octopus,vulgaris,50.75,-59.25,7505:209:3,0.18
Octopus,vulgaris,50.75,-58.75,7505:208:4,0.19
Octopus,vulgaris,50.75,-58.25,7505:208:3,0.19
Octopus,vulgaris,50.75,-57.75,7505:207:4,0.19
Octopus,vulgaris,50.75,-57.25,7505:207:3,0.16
Octopus,vulgaris,50.75,-56.75,7505:206:4,0.14
Octopus,vulgaris,50.75,-56.25,7505:206:3,0.11
Octopus,vulgaris,50.25,-56.75,7505:206:2,0.17
Octopus,vulgaris,50.25,-56.25,7505:206:1,0.16
Octopus,vulgaris,50.75,-55.75,7505:205:4,0.11
Octopus,vulgaris,50.75,-55.25,7505:205:3,0.08
Octopus,vulgaris,50.25,-55.75,7505:205:2,0.15
Octopus,vulgaris,50.25,-55.25,7505:205:1,0.14
Octopus,vulgaris,54.75,-53.25,7505:143:3,0.01
Octopus,vulgaris,53.75,-52.75,7505:132:4,0.01
Octopus,vulgaris,53.25,-52.25,7505:132:1,0.02
Octopus,vulgaris,52.25,-54.75,7505:124:2,0.01
Octopus,vulgaris,52.25,-54.25,7505:124:1,0.01
Octopus,vulgaris,52.25,-53.75,7505:123:2,0.01
Octopus,vulgaris,52.25,-53.25,7505:123:1,0.02
Octopus,vulgaris,52.75,-52.75,7505:122:4,0.01
Octopus,vulgaris,52.75,-52.25,7505:122:3,0.02
Octopus,vulgaris,52.25,-52.75,7505:122:2,0.03
Octopus,vulgaris,52.25,-52.25,7505:122:1,0.03
Octopus,vulgaris,52.75,-51.75,7505:121:4,0.02
Octopus,vulgaris,52.25,-51.75,7505:121:2,0.02
Octopus,vulgaris,52.25,-51.25,7505:121:1,0.02
Octopus,vulgaris,52.25,-50.75,7505:120:2,0.01
Octopus,vulgaris,51.75,-54.75,7505:114:4,0.02
Octopus,vulgaris,51.75,-54.25,7505:114:3,0.02
Octopus,vulgaris,51.25,-54.75,7505:114:2,0.03
