Mapping parameters for Odobenus rosmarus (walrus)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  21 |  27 |  31 |  34 |  41 |  61 |  67,
Bounding Box (NSWE): ,90,0,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,50,500
Temperature (°C),1,-1.72,-0.51,10.17,27.21
Salinity (psu),1,19.86,28.69,34.22,35.84
Primary Production (mgC·m-3·day-1) ,1,0.4,2.64,18.25,67.73
Sea Ice Concentration (0-1 fraction),1,-0.71,0,0.64,0.96
Dissolved Bottom Oxygen (mmol·m-3),0,13.12,274.85,355.96,399.47
Distance to Land (km),0,0,3,200,819
 

Map data (HSPEC) for predicted occurrences (n = 15483): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Odobenus,rosmarus,5.75,0.25,1000:350:3,0.01
Odobenus,rosmarus,15.25,108.75,1110:458:2,0.01
Odobenus,rosmarus,15.75,108.25,1110:458:3,0.02
Odobenus,rosmarus,15.75,108.75,1110:458:4,0.01
Odobenus,rosmarus,16.25,107.75,1110:467:2,0.02
Odobenus,rosmarus,16.75,107.25,1110:467:3,0.03
Odobenus,rosmarus,16.75,107.75,1110:467:4,0.03
Odobenus,rosmarus,16.25,108.25,1110:468:1,0.03
Odobenus,rosmarus,16.75,108.25,1110:468:3,0.01
Odobenus,rosmarus,17.25,106.75,1110:476:2,0.04
Odobenus,rosmarus,17.75,106.25,1110:476:3,0.05
Odobenus,rosmarus,17.75,106.75,1110:476:4,0.05
Odobenus,rosmarus,17.25,107.25,1110:477:1,0.04
Odobenus,rosmarus,17.25,107.75,1110:477:2,0.02
Odobenus,rosmarus,17.75,107.25,1110:477:3,0.02
Odobenus,rosmarus,17.75,107.75,1110:477:4,0.01
Odobenus,rosmarus,18.25,105.75,1110:485:2,0.05
Odobenus,rosmarus,18.75,105.75,1110:485:4,0.05
Odobenus,rosmarus,18.25,106.25,1110:486:1,0.06
Odobenus,rosmarus,18.25,106.75,1110:486:2,0.03
Odobenus,rosmarus,18.75,106.25,1110:486:3,0.05
Odobenus,rosmarus,18.75,106.75,1110:486:4,0.02
Odobenus,rosmarus,18.25,107.25,1110:487:1,0.01
Odobenus,rosmarus,18.25,107.75,1110:487:2,0.01
Odobenus,rosmarus,18.75,107.25,1110:487:3,0.01
Odobenus,rosmarus,18.75,107.75,1110:487:4,0.01
Odobenus,rosmarus,18.75,108.25,1110:488:3,0.01
Odobenus,rosmarus,18.75,108.75,1110:488:4,0.02
Odobenus,rosmarus,18.25,109.25,1110:489:1,0.01
Odobenus,rosmarus,18.25,109.75,1110:489:2,0.02
Odobenus,rosmarus,19.25,105.75,1110:495:2,0.04
Odobenus,rosmarus,19.75,105.75,1110:495:4,0.05
Odobenus,rosmarus,19.25,106.25,1110:496:1,0.06
Odobenus,rosmarus,19.25,106.75,1110:496:2,0.03
Odobenus,rosmarus,19.75,106.25,1110:496:3,0.04
Odobenus,rosmarus,19.75,106.75,1110:496:4,0.05
Odobenus,rosmarus,19.25,107.25,1110:497:1,0.02
Odobenus,rosmarus,19.25,107.75,1110:497:2,0.02
Odobenus,rosmarus,19.75,107.25,1110:497:3,0.04
Odobenus,rosmarus,19.75,107.75,1110:497:4,0.03
Odobenus,rosmarus,19.25,108.25,1110:498:1,0.02
