Mapping parameters for Odontaster validus ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 48 |  58 |  88,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,-2,-1.7,1.49,5.75
Salinity (psu),1,32.46,33.36,34.36,34.86
Primary Production (mgC·m-3·day-1) ,1,0.82,1.82,9.15,15.48
Sea Ice Concentration (0-1 fraction),1,-0.65,0,0.68,0.8
Dissolved Bottom Oxygen (mmol·m-3),0,151.35,226.17,334.36,404.51
Distance to Land (km),0,1,6,316,973
 

Map data (HSPEC) for predicted occurrences (n = 2648): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Odontaster,validus,-46.75,37.75,3403:467:4,0.01
Odontaster,validus,-46.25,49.25,3404:469:1,0.03
Odontaster,validus,-46.25,49.75,3404:469:2,0.02
Odontaster,validus,-46.75,49.75,3404:469:4,0.02
Odontaster,validus,-45.75,50.75,3405:350:4,0.02
Odontaster,validus,-46.25,50.25,3405:360:1,0.03
Odontaster,validus,-46.25,50.75,3405:360:2,0.06
Odontaster,validus,-46.75,50.75,3405:360:4,0.15
Odontaster,validus,-46.25,51.25,3405:361:1,0.01
Odontaster,validus,-46.25,51.75,3405:361:2,0.12
Odontaster,validus,-46.75,51.25,3405:361:3,0.16
Odontaster,validus,-46.75,51.75,3405:361:4,0.17
Odontaster,validus,-46.25,52.25,3405:362:1,0.13
Odontaster,validus,-46.75,52.75,3405:362:4,0.02
Odontaster,validus,-47.25,66.75,3406:476:2,0.12
Odontaster,validus,-47.25,67.25,3406:477:1,0.10
Odontaster,validus,-47.75,67.75,3406:477:4,0.13
Odontaster,validus,-47.25,69.25,3406:479:1,0.12
Odontaster,validus,-47.25,69.75,3406:479:2,0.19
Odontaster,validus,-48.25,67.25,3406:487:1,0.02
Odontaster,validus,-48.75,67.25,3406:487:3,0.15
Odontaster,validus,-49.25,66.75,3406:496:2,0.09
Odontaster,validus,-49.75,67.25,3406:497:3,0.11
Odontaster,validus,-49.25,69.25,3406:499:1,0.02
Odontaster,validus,-49.25,69.75,3406:499:2,0.10
Odontaster,validus,-47.25,70.25,3407:370:1,0.19
Odontaster,validus,-47.25,71.75,3407:371:2,0.06
Odontaster,validus,-47.75,71.75,3407:371:4,0.10
Odontaster,validus,-47.25,72.25,3407:372:1,0.11
Odontaster,validus,-48.75,71.25,3407:381:3,0.03
Odontaster,validus,-49.75,71.25,3407:391:3,0.13
Odontaster,validus,-53.25,48.75,3504:238:2,0.15
Odontaster,validus,-50.25,68.25,3506:208:1,0.01
Odontaster,validus,-50.25,74.25,3507:104:1,0.11
Odontaster,validus,-51.25,70.75,3507:110:2,0.14
Odontaster,validus,-51.75,74.75,3507:114:4,0.10
Odontaster,validus,-52.25,73.25,3507:123:1,0.09
Odontaster,validus,-52.25,74.75,3507:124:2,0.18
Odontaster,validus,-51.25,75.75,3507:215:2,0.06
Odontaster,validus,-51.25,76.25,3507:216:1,0.02
Odontaster,validus,-69.25,11.25,3601:391:1,0.11
Odontaster,validus,-69.75,14.75,3601:394:4,0.04
Odontaster,validus,-69.75,29.75,3602:499:4,0.04
Odontaster,validus,-68.25,34.25,3603:384:1,0.11
Odontaster,validus,-68.25,34.75,3603:384:2,0.01
Odontaster,validus,-69.75,30.25,3603:390:3,0.04
