Mapping parameters for Odontesthes argentinensis ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41,
Bounding Box (NSWE): ,-23,-42,-63,-44

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,11.74,15.04,19.24,20.75
Salinity (psu),1,13.52,16.17,34.04,34.54
Primary Production (mgC·m-3·day-1) ,1,6.62,10.87,41.51,67.59
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,222.79,245.11,276.13,297.46
Distance to Land (km),0,1,7,82,250
 

Map data (HSPEC) for predicted occurrences (n = 131): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Odontesthes,argentinensis,-29.75,-51.25,5205:391:3,0.02
Odontesthes,argentinensis,-30.25,-49.75,5304:209:2,0.05
Odontesthes,argentinensis,-30.25,-51.25,5305:101:1,0.08
Odontesthes,argentinensis,-32.75,-51.25,5305:121:3,0.12
Odontesthes,argentinensis,-37.25,-54.25,5305:374:1,0.17
Odontesthes,argentinensis,-37.75,-55.25,5305:475:3,0.02
Odontesthes,argentinensis,-37.75,-55.75,5305:475:4,0.13
Odontesthes,argentinensis,-38.75,-55.75,5305:485:4,0.15
Odontesthes,argentinensis,-39.25,-56.25,5305:496:1,0.05
Odontesthes,argentinensis,-39.25,-56.75,5305:496:2,0.17
Odontesthes,argentinensis,-39.75,-57.75,5305:497:4,0.08
Odontesthes,argentinensis,-39.75,-58.25,5305:498:3,0.04
Odontesthes,argentinensis,-39.75,-58.75,5305:498:4,0.09
Odontesthes,argentinensis,-39.25,-59.75,5305:499:2,0.09
Odontesthes,argentinensis,-39.75,-59.75,5305:499:4,0.17
Odontesthes,argentinensis,-40.25,-57.75,5405:207:2,0.01
Odontesthes,argentinensis,-40.25,-58.25,5405:208:1,0.14
Odontesthes,argentinensis,-40.75,-58.75,5405:208:4,0.11
Odontesthes,argentinensis,-40.25,-59.75,5405:209:2,0.07
Odontesthes,argentinensis,-40.75,-59.25,5405:209:3,0.14
Odontesthes,argentinensis,-40.75,-59.75,5405:209:4,0.08
Odontesthes,argentinensis,-41.25,-58.75,5405:218:2,0.06
Odontesthes,argentinensis,-41.75,-60.25,5406:110:3,0.01
Odontesthes,argentinensis,-29.25,-49.75,5204:499:2,0.25
Odontesthes,argentinensis,-29.75,-49.75,5204:499:4,0.27
Odontesthes,argentinensis,-29.75,-50.25,5205:390:3,0.33
Odontesthes,argentinensis,-30.25,-50.75,5305:100:2,0.31
Odontesthes,argentinensis,-30.75,-50.75,5305:100:4,0.23
Odontesthes,argentinensis,-30.75,-51.25,5305:101:3,0.24
Odontesthes,argentinensis,-31.75,-50.75,5305:110:4,0.31
Odontesthes,argentinensis,-38.25,-55.25,5305:485:1,0.34
Odontesthes,argentinensis,-38.25,-55.75,5305:485:2,0.39
Odontesthes,argentinensis,-38.75,-56.25,5305:486:3,0.28
Odontesthes,argentinensis,-39.25,-57.25,5305:497:1,0.37
Odontesthes,argentinensis,-39.75,-57.25,5305:497:3,0.22
Odontesthes,argentinensis,-39.25,-59.25,5305:499:1,0.37
Odontesthes,argentinensis,-40.25,-59.25,5405:209:1,0.25
Odontesthes,argentinensis,-30.25,-50.25,5305:100:1,0.51
Odontesthes,argentinensis,-30.75,-50.25,5305:100:3,0.42
Odontesthes,argentinensis,-31.25,-51.25,5305:111:1,0.50
Odontesthes,argentinensis,-31.25,-51.75,5305:111:2,0.53
Odontesthes,argentinensis,-35.75,-56.75,5305:456:4,0.55
Odontesthes,argentinensis,-37.75,-56.25,5305:476:3,0.46
Odontesthes,argentinensis,-38.75,-56.75,5305:486:4,0.52
Odontesthes,argentinensis,-38.75,-57.25,5305:487:3,0.48
Odontesthes,argentinensis,-38.75,-57.75,5305:487:4,0.45
Odontesthes,argentinensis,-38.75,-59.25,5305:489:3,0.46
Odontesthes,argentinensis,-39.25,-57.75,5305:497:2,0.57
Odontesthes,argentinensis,-39.25,-58.75,5305:498:2,0.58
Odontesthes,argentinensis,-31.25,-50.75,5305:110:2,0.64
Odontesthes,argentinensis,-34.25,-52.25,5305:142:1,0.75
Odontesthes,argentinensis,-36.75,-54.25,5305:364:3,0.71
Odontesthes,argentinensis,-36.75,-54.75,5305:364:4,0.74
Odontesthes,argentinensis,-38.25,-56.25,5305:486:1,0.63
Odontesthes,argentinensis,-39.25,-58.25,5305:498:1,0.63
Odontesthes,argentinensis,-38.75,-62.25,5306:382:3,0.77
Odontesthes,argentinensis,-31.75,-51.25,5305:111:3,0.89
Odontesthes,argentinensis,-31.75,-51.75,5305:111:4,1.00
