Mapping parameters for Oithona similis ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 18 |  27 |  31 |  48 |  58 |  61 |  67,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,-1.81,-1.31,8.95,27.56
Salinity (psu),1,4.72,29.74,34.17,36.67
Primary Production (mgC·m-3·day-1) ,1,0.31,1.36,8.8,62.42
Sea Ice Concentration (0-1 fraction),1,-0.77,0,0.68,0.97
Dissolved Bottom Oxygen (mmol·m-3),0,16.57,221.44,341.98,408.84
Distance to Land (km),0,0,17,976,1695
 

Map data (HSPEC) for predicted occurrences (n = 13185): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Oithona,similis,15.25,108.75,1110:458:2,0.03
Oithona,similis,15.75,108.25,1110:458:3,0.04
Oithona,similis,15.75,108.75,1110:458:4,0.03
Oithona,similis,15.25,109.25,1110:459:1,0.01
Oithona,similis,15.75,109.25,1110:459:3,0.01
Oithona,similis,16.25,107.75,1110:467:2,0.04
Oithona,similis,16.75,107.25,1110:467:3,0.05
Oithona,similis,16.75,107.75,1110:467:4,0.05
Oithona,similis,16.25,108.25,1110:468:1,0.04
Oithona,similis,16.25,108.75,1110:468:2,0.02
Oithona,similis,16.75,108.25,1110:468:3,0.01
Oithona,similis,17.25,106.75,1110:476:2,0.05
Oithona,similis,17.75,106.25,1110:476:3,0.06
Oithona,similis,17.75,106.75,1110:476:4,0.06
Oithona,similis,17.25,107.25,1110:477:1,0.06
Oithona,similis,17.25,108.75,1110:478:2,0.01
Oithona,similis,17.75,108.75,1110:478:4,0.01
Oithona,similis,17.25,109.25,1110:479:1,0.01
Oithona,similis,17.75,109.25,1110:479:3,0.01
Oithona,similis,17.75,109.75,1110:479:4,0.02
Oithona,similis,18.25,105.75,1110:485:2,0.02
Oithona,similis,18.75,105.75,1110:485:4,0.05
Oithona,similis,18.25,106.25,1110:486:1,0.06
Oithona,similis,18.25,106.75,1110:486:2,0.06
Oithona,similis,18.75,106.25,1110:486:3,0.07
Oithona,similis,18.25,108.75,1110:488:2,0.02
Oithona,similis,18.75,108.25,1110:488:3,0.01
Oithona,similis,18.75,108.75,1110:488:4,0.04
Oithona,similis,18.25,109.25,1110:489:1,0.03
Oithona,similis,18.25,109.75,1110:489:2,0.04
Oithona,similis,19.25,105.75,1110:495:2,0.04
Oithona,similis,19.75,105.75,1110:495:4,0.05
Oithona,similis,19.25,106.25,1110:496:1,0.07
Oithona,similis,19.75,106.25,1110:496:3,0.03
Oithona,similis,19.25,108.75,1110:498:2,0.05
Oithona,similis,19.75,108.75,1110:498:4,0.07
Oithona,similis,19.75,109.25,1110:499:3,0.08
Oithona,similis,19.75,109.75,1110:499:4,0.06
Oithona,similis,17.75,110.25,1111:370:3,0.01
Oithona,similis,18.25,110.25,1111:380:1,0.03
Oithona,similis,18.25,110.75,1111:380:2,0.02
Oithona,similis,18.75,110.25,1111:380:3,0.05
Oithona,similis,18.75,110.75,1111:380:4,0.04
Oithona,similis,18.75,111.25,1111:381:3,0.02
Oithona,similis,19.25,110.75,1111:390:2,0.07
Oithona,similis,19.75,110.25,1111:390:3,0.02
Oithona,similis,19.75,110.75,1111:390:4,0.08
Oithona,similis,19.25,111.25,1111:391:1,0.04
Oithona,similis,19.25,111.75,1111:391:2,0.03
Oithona,similis,19.75,111.25,1111:391:3,0.07
Oithona,similis,19.75,111.75,1111:391:4,0.03
Oithona,similis,19.25,112.25,1111:392:1,0.03
Oithona,similis,19.75,112.75,1111:392:4,0.01
Oithona,similis,20.25,106.25,1210:206:1,0.06
Oithona,similis,20.25,106.75,1210:206:2,0.08
Oithona,similis,20.75,106.75,1210:206:4,0.07
Oithona,similis,20.25,107.25,1210:207:1,0.10
Oithona,similis,20.25,107.75,1210:207:2,0.10
Oithona,similis,20.75,107.25,1210:207:3,0.11
Oithona,similis,20.75,107.75,1210:207:4,0.12
Oithona,similis,20.75,108.25,1210:208:3,0.11
Oithona,similis,20.25,109.25,1210:209:1,0.10
Oithona,similis,20.25,109.75,1210:209:2,0.12
Oithona,similis,20.75,109.25,1210:209:3,0.11
Oithona,similis,20.75,109.75,1210:209:4,0.11
Oithona,similis,21.25,106.75,1210:216:2,0.02
Oithona,similis,21.25,107.25,1210:217:1,0.04
Oithona,similis,21.25,107.75,1210:217:2,0.14
Oithona,similis,21.75,107.75,1210:217:4,0.12
Oithona,similis,21.25,108.25,1210:218:1,0.13
Oithona,similis,21.25,108.75,1210:218:2,0.12
Oithona,similis,21.75,108.25,1210:218:3,0.14
Oithona,similis,21.75,108.75,1210:218:4,0.14
Oithona,similis,21.25,109.25,1210:219:1,0.12
Oithona,similis,21.25,109.75,1210:219:2,0.12
Oithona,similis,21.75,109.25,1210:219:3,0.13
Oithona,similis,21.75,109.75,1210:219:4,0.12
Oithona,similis,20.25,110.25,1211:100:1,0.09
Oithona,similis,20.25,110.75,1211:100:2,0.09
Oithona,similis,20.75,110.25,1211:100:3,0.10
Oithona,similis,20.75,110.75,1211:100:4,0.12
Oithona,similis,20.25,111.25,1211:101:1,0.10
Oithona,similis,20.25,111.75,1211:101:2,0.05
Oithona,similis,20.75,111.25,1211:101:3,0.11
Oithona,similis,20.75,111.75,1211:101:4,0.09
Oithona,similis,20.25,112.75,1211:102:2,0.02
Oithona,similis,20.75,112.25,1211:102:3,0.08
Oithona,similis,20.75,112.75,1211:102:4,0.07
Oithona,similis,20.25,113.25,1211:103:1,0.01
Oithona,similis,20.75,113.25,1211:103:3,0.06
Oithona,similis,20.25,114.75,1211:104:2,0.03
Oithona,similis,20.75,114.25,1211:104:3,0.03
Oithona,similis,20.75,114.75,1211:104:4,0.03
Oithona,similis,21.25,110.25,1211:110:1,0.10
Oithona,similis,21.25,110.75,1211:110:2,0.09
Oithona,similis,21.25,111.25,1211:111:1,0.10
Oithona,similis,21.25,111.75,1211:111:2,0.09
Oithona,similis,21.75,111.25,1211:111:3,0.08
Oithona,similis,21.75,111.75,1211:111:4,0.08
Oithona,similis,21.25,112.25,1211:112:1,0.09
Oithona,similis,21.25,112.75,1211:112:2,0.09
Oithona,similis,21.75,112.25,1211:112:3,0.07
Oithona,similis,21.75,112.75,1211:112:4,0.07
Oithona,similis,21.25,113.25,1211:113:1,0.09
Oithona,similis,21.25,113.75,1211:113:2,0.03
Oithona,similis,21.25,114.25,1211:114:1,0.07
Oithona,similis,21.75,114.25,1211:114:3,0.06
Oithona,similis,22.25,114.75,1211:124:2,0.06
Oithona,similis,23.25,113.25,1211:133:1,0.01
Oithona,similis,23.25,113.75,1211:133:2,0.01
Oithona,similis,20.75,116.75,1211:206:4,0.05
Oithona,similis,20.75,117.25,1211:207:3,0.04
Oithona,similis,22.25,115.25,1211:225:1,0.07
Oithona,similis,22.25,115.75,1211:225:2,0.06
Oithona,similis,22.75,115.25,1211:225:3,0.10
Oithona,similis,22.75,115.75,1211:225:4,0.11
Oithona,similis,22.25,116.25,1211:226:1,0.08
Oithona,similis,22.25,116.75,1211:226:2,0.04
Oithona,similis,22.75,116.25,1211:226:3,0.11
Oithona,similis,22.75,116.75,1211:226:4,0.11
Oithona,similis,22.25,117.25,1211:227:1,0.08
Oithona,similis,22.25,117.75,1211:227:2,0.08
Oithona,similis,22.75,117.25,1211:227:3,0.12
Oithona,similis,22.75,117.75,1211:227:4,0.12
Oithona,similis,22.25,118.25,1211:228:1,0.06
Oithona,similis,22.25,118.75,1211:228:2,0.04
Oithona,similis,22.75,118.25,1211:228:3,0.11
Oithona,similis,22.75,118.75,1211:228:4,0.09
Oithona,similis,22.75,119.25,1211:229:3,0.06
Oithona,similis,23.25,116.75,1211:236:2,0.06
Oithona,similis,23.75,116.75,1211:236:4,0.07
Oithona,similis,23.25,117.25,1211:237:1,0.04
Oithona,similis,23.25,117.75,1211:237:2,0.09
Oithona,similis,23.75,117.25,1211:237:3,0.03
Oithona,similis,23.75,117.75,1211:237:4,0.13
Oithona,similis,23.25,118.25,1211:238:1,0.11
Oithona,similis,23.25,118.75,1211:238:2,0.11
Oithona,similis,23.75,118.25,1211:238:3,0.17
Oithona,similis,23.75,118.75,1211:238:4,0.14
Oithona,similis,23.25,119.25,1211:239:1,0.10
Oithona,similis,23.25,119.75,1211:239:2,0.07
Oithona,similis,23.75,119.25,1211:239:3,0.12
Oithona,similis,23.75,119.75,1211:239:4,0.10
Oithona,similis,24.25,117.75,1211:247:2,0.08
Oithona,similis,24.25,118.25,1211:248:1,0.18
Oithona,similis,24.25,118.75,1211:248:2,0.17
Oithona,similis,24.75,118.25,1211:248:3,0.11
Oithona,similis,24.75,118.75,1211:248:4,0.14
Oithona,similis,24.25,119.25,1211:249:1,0.15
Oithona,similis,24.25,119.75,1211:249:2,0.13
Oithona,similis,24.75,119.25,1211:249:3,0.12
Oithona,similis,24.75,119.75,1211:249:4,0.13
Oithona,similis,25.25,118.75,1211:458:2,0.13
Oithona,similis,25.25,119.25,1211:459:1,0.13
Oithona,similis,25.25,119.75,1211:459:2,0.17
Oithona,similis,25.75,119.25,1211:459:3,0.16
Oithona,similis,25.75,119.75,1211:459:4,0.18
Oithona,similis,26.25,119.75,1211:469:2,0.19
Oithona,similis,21.25,121.75,1212:111:2,0.01
Oithona,similis,22.25,120.25,1212:120:1,0.02
Oithona,similis,22.25,120.75,1212:120:2,0.01
Oithona,similis,22.75,120.25,1212:120:3,0.04
Oithona,similis,22.75,120.75,1212:120:4,0.03
Oithona,similis,22.25,121.75,1212:121:2,0.01
Oithona,similis,22.75,121.25,1212:121:3,0.02
Oithona,similis,22.75,121.75,1212:121:4,0.02
Oithona,similis,23.25,120.25,1212:130:1,0.06
Oithona,similis,23.75,120.25,1212:130:3,0.09
Oithona,similis,23.25,121.25,1212:131:1,0.04
Oithona,similis,23.75,121.75,1212:131:4,0.04
Oithona,similis,24.25,120.25,1212:140:1,0.11
Oithona,similis,24.25,120.75,1212:140:2,0.10
Oithona,similis,24.75,120.25,1212:140:3,0.14
Oithona,similis,24.75,120.75,1212:140:4,0.13
Oithona,similis,24.25,121.75,1212:141:2,0.05
Oithona,similis,24.75,121.75,1212:141:4,0.09
Oithona,similis,24.25,122.75,1212:142:2,0.02
