Mapping parameters for Oligocottus maculosus (Tidepool sculpin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67 |  77,
Bounding Box (NSWE): ,66,32,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,51,102
Temperature (°C),1,3.2,6.87,11.72,17.12
Salinity (psu),1,24.18,25.83,32.71,35.86
Primary Production (mgC·m-3·day-1) ,1,3.05,14.31,55.91,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.19
Dissolved Bottom Oxygen (mmol·m-3),0,9.66,100.66,302.1,353.35
Distance to Land (km),0,0,4,20,559
 

Map data (HSPEC) for predicted occurrences (n = 1374): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Oligocottus,maculosus,60.25,-152.25,7615:102:1,0.17
Oligocottus,maculosus,61.25,-147.25,7614:217:1,0.14
Oligocottus,maculosus,60.75,-149.75,7614:209:4,0.06
Oligocottus,maculosus,60.75,-148.75,7614:208:4,0.14
Oligocottus,maculosus,60.25,-148.75,7614:208:2,0.10
Oligocottus,maculosus,59.75,-178.75,7517:498:4,0.02
Oligocottus,maculosus,59.25,-177.75,7517:497:2,0.04
Oligocottus,maculosus,59.75,-176.75,7517:496:4,0.01
Oligocottus,maculosus,59.25,-176.75,7517:496:2,0.01
Oligocottus,maculosus,59.25,-175.25,7517:495:1,0.01
Oligocottus,maculosus,58.75,-177.25,7517:487:3,0.05
Oligocottus,maculosus,58.75,-176.75,7517:486:4,0.04
Oligocottus,maculosus,58.75,-176.25,7517:486:3,0.07
Oligocottus,maculosus,58.75,-175.75,7517:485:4,0.01
Oligocottus,maculosus,58.75,-175.25,7517:485:3,0.02
Oligocottus,maculosus,59.25,-174.75,7517:394:2,0.02
Oligocottus,maculosus,59.25,-174.25,7517:394:1,0.02
Oligocottus,maculosus,59.25,-173.75,7517:393:2,0.01
Oligocottus,maculosus,58.75,-174.75,7517:384:4,0.01
Oligocottus,maculosus,58.25,-174.25,7517:384:1,0.08
Oligocottus,maculosus,58.75,-173.75,7517:383:4,0.05
Oligocottus,maculosus,58.75,-173.25,7517:383:3,0.03
Oligocottus,maculosus,58.25,-173.75,7517:383:2,0.09
Oligocottus,maculosus,58.25,-173.25,7517:383:1,0.07
Oligocottus,maculosus,58.75,-172.75,7517:382:4,0.02
Oligocottus,maculosus,58.25,-172.75,7517:382:2,0.03
Oligocottus,maculosus,58.25,-172.25,7517:382:1,0.03
Oligocottus,maculosus,58.25,-171.75,7517:381:2,0.01
Oligocottus,maculosus,57.75,-173.75,7517:373:4,0.12
Oligocottus,maculosus,57.75,-173.25,7517:373:3,0.10
Oligocottus,maculosus,57.25,-173.25,7517:373:1,0.15
Oligocottus,maculosus,57.75,-172.75,7517:372:4,0.11
Oligocottus,maculosus,57.75,-172.25,7517:372:3,0.09
Oligocottus,maculosus,57.25,-172.75,7517:372:2,0.15
Oligocottus,maculosus,57.25,-172.25,7517:372:1,0.15
Oligocottus,maculosus,57.75,-171.75,7517:371:4,0.06
Oligocottus,maculosus,57.75,-171.25,7517:371:3,0.03
Oligocottus,maculosus,57.25,-171.75,7517:371:2,0.14
Oligocottus,maculosus,57.25,-171.25,7517:371:1,0.10
Oligocottus,maculosus,57.25,-170.75,7517:370:2,0.06
Oligocottus,maculosus,56.75,-172.75,7517:362:4,0.19
Oligocottus,maculosus,56.75,-172.25,7517:362:3,0.19
Oligocottus,maculosus,56.75,-170.75,7517:360:4,0.16
Oligocottus,maculosus,56.75,-170.25,7517:360:3,0.18
Oligocottus,maculosus,52.75,-179.75,7517:229:4,0.02
Oligocottus,maculosus,57.25,-169.25,7516:479:1,0.04
Oligocottus,maculosus,57.25,-168.75,7516:478:2,0.05
Oligocottus,maculosus,57.25,-168.25,7516:478:1,0.05
Oligocottus,maculosus,57.25,-167.75,7516:477:2,0.03
Oligocottus,maculosus,57.25,-167.25,7516:477:1,0.01
Oligocottus,maculosus,56.75,-169.75,7516:469:4,0.17
Oligocottus,maculosus,56.75,-169.25,7516:469:3,0.18
Oligocottus,maculosus,56.25,-169.25,7516:469:1,0.05
Oligocottus,maculosus,56.75,-167.75,7516:467:4,0.12
Oligocottus,maculosus,56.75,-167.25,7516:467:3,0.10
Oligocottus,maculosus,56.75,-166.75,7516:466:4,0.09
Oligocottus,maculosus,56.75,-166.25,7516:466:3,0.08
Oligocottus,maculosus,56.25,-166.75,7516:466:2,0.04
Oligocottus,maculosus,56.25,-166.25,7516:466:1,0.10
Oligocottus,maculosus,56.75,-165.75,7516:465:4,0.08
Oligocottus,maculosus,56.75,-165.25,7516:465:3,0.07
Oligocottus,maculosus,56.25,-165.75,7516:465:2,0.13
