Mapping parameters for Ophthalmolepis lineolata (Maori wrasse)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  57 |  81 ,
Bounding Box (NSWE): ,-28,-40,112,155

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,60,61,68,75
Temperature (°C),1,13.33,15.85,22.93,26.13
Salinity (psu),1,34.94,35.44,36.16,37.72
Primary Production (mgC·m-3·day-1) ,1,1.05,3.91,21.36,39.33
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,142.25,191.19,245.19,296.78
Distance to Land (km),0,1,4,88,164.5
 

Map data (HSPEC) for predicted occurrences (n = 274): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Ophthalmolepis,lineolata,-34.25,138.25,3313:248:1,0.04
Ophthalmolepis,lineolata,-34.25,137.75,3313:247:2,0.05
Ophthalmolepis,lineolata,-34.75,136.75,3313:246:4,0.10
Ophthalmolepis,lineolata,-34.25,136.25,3313:246:1,0.07
Ophthalmolepis,lineolata,-32.25,132.75,3313:122:2,0.36
Ophthalmolepis,lineolata,-32.25,132.25,3313:122:1,0.33
Ophthalmolepis,lineolata,-31.75,131.75,3313:111:4,0.35
Ophthalmolepis,lineolata,-31.75,131.25,3313:111:3,0.37
Ophthalmolepis,lineolata,-29.75,114.75,3211:394:4,0.30
Ophthalmolepis,lineolata,-29.75,114.25,3211:394:3,0.30
Ophthalmolepis,lineolata,-29.25,114.25,3211:394:1,0.23
Ophthalmolepis,lineolata,-29.25,113.75,3211:393:2,0.26
Ophthalmolepis,lineolata,-28.75,114.75,3211:384:4,0.27
Ophthalmolepis,lineolata,-28.75,114.25,3211:384:3,0.33
Ophthalmolepis,lineolata,-28.25,114.75,3211:384:2,0.31
Ophthalmolepis,lineolata,-28.25,114.25,3211:384:1,0.27
Ophthalmolepis,lineolata,-28.75,113.75,3211:383:4,0.29
Ophthalmolepis,lineolata,-28.25,113.75,3211:383:2,0.37
Ophthalmolepis,lineolata,-28.25,113.25,3211:383:1,0.21
Ophthalmolepis,lineolata,-33.25,152.25,3315:132:1,0.57
Ophthalmolepis,lineolata,-39.75,146.75,3314:496:4,0.59
Ophthalmolepis,lineolata,-34.75,137.75,3313:247:4,0.50
Ophthalmolepis,lineolata,-33.25,133.25,3313:133:1,0.47
Ophthalmolepis,lineolata,-33.25,130.75,3313:130:2,0.43
Ophthalmolepis,lineolata,-33.25,130.25,3313:130:1,0.43
Ophthalmolepis,lineolata,-32.25,134.25,3313:124:1,0.48
Ophthalmolepis,lineolata,-32.25,133.75,3313:123:2,0.56
Ophthalmolepis,lineolata,-32.25,133.25,3313:123:1,0.54
Ophthalmolepis,lineolata,-32.75,132.75,3313:122:4,0.42
Ophthalmolepis,lineolata,-32.75,132.25,3313:122:3,0.40
Ophthalmolepis,lineolata,-32.25,131.75,3313:121:2,0.42
Ophthalmolepis,lineolata,-31.75,132.75,3313:112:4,0.50
Ophthalmolepis,lineolata,-31.75,130.75,3313:110:4,0.40
Ophthalmolepis,lineolata,-31.25,115.25,3311:215:1,0.58
Ophthalmolepis,lineolata,-30.75,115.25,3311:205:3,0.54
Ophthalmolepis,lineolata,-30.25,115.25,3311:205:1,0.46
Ophthalmolepis,lineolata,-30.75,114.75,3311:104:4,0.43
Ophthalmolepis,lineolata,-30.25,114.75,3311:104:2,0.40
Ophthalmolepis,lineolata,-31.75,152.75,3315:112:4,0.78
Ophthalmolepis,lineolata,-39.75,146.25,3314:496:3,0.73
Ophthalmolepis,lineolata,-34.75,136.25,3313:246:3,0.67
Ophthalmolepis,lineolata,-33.75,133.75,3313:133:4,0.60
Ophthalmolepis,lineolata,-33.75,133.25,3313:133:3,0.65
Ophthalmolepis,lineolata,-33.25,133.75,3313:133:2,0.71
Ophthalmolepis,lineolata,-33.25,132.75,3313:132:2,0.62
Ophthalmolepis,lineolata,-32.75,134.25,3313:124:3,0.74
Ophthalmolepis,lineolata,-32.75,133.75,3313:123:4,0.72
Ophthalmolepis,lineolata,-32.75,133.25,3313:123:3,0.60
Ophthalmolepis,lineolata,-32.25,131.25,3313:121:1,0.60
Ophthalmolepis,lineolata,-32.25,130.75,3313:120:2,0.70
Ophthalmolepis,lineolata,-32.25,130.25,3313:120:1,0.77
Ophthalmolepis,lineolata,-32.25,129.75,3312:229:2,0.75
Ophthalmolepis,lineolata,-31.75,128.75,3312:218:4,0.72
Ophthalmolepis,lineolata,-32.75,114.75,3311:124:4,0.74
Ophthalmolepis,lineolata,-29.25,153.75,3215:393:2,0.79
Ophthalmolepis,lineolata,-28.75,153.75,3215:383:4,0.74
Ophthalmolepis,lineolata,-28.25,153.75,3215:383:2,0.67
Ophthalmolepis,lineolata,-37.75,150.25,3315:370:3,1.00
Ophthalmolepis,lineolata,-37.25,150.25,3315:370:1,1.00
Ophthalmolepis,lineolata,-36.75,150.25,3315:360:3,1.00
Ophthalmolepis,lineolata,-36.25,150.25,3315:360:1,0.93
Ophthalmolepis,lineolata,-35.75,150.75,3315:350:4,1.00
Ophthalmolepis,lineolata,-35.75,150.25,3315:350:3,0.92
Ophthalmolepis,lineolata,-35.25,150.75,3315:350:2,1.00
Ophthalmolepis,lineolata,-34.75,151.25,3315:141:3,1.00
Ophthalmolepis,lineolata,-34.25,151.25,3315:141:1,1.00
Ophthalmolepis,lineolata,-34.75,150.75,3315:140:4,1.00
Ophthalmolepis,lineolata,-33.75,151.75,3315:131:4,1.00
Ophthalmolepis,lineolata,-33.75,151.25,3315:131:3,1.00
Ophthalmolepis,lineolata,-33.25,151.75,3315:131:2,1.00
Ophthalmolepis,lineolata,-32.75,152.75,3315:122:4,1.00
Ophthalmolepis,lineolata,-32.75,152.25,3315:122:3,1.00
Ophthalmolepis,lineolata,-32.25,152.75,3315:122:2,0.85
Ophthalmolepis,lineolata,-32.75,151.75,3315:121:4,1.00
Ophthalmolepis,lineolata,-31.75,153.25,3315:113:3,0.96
Ophthalmolepis,lineolata,-31.25,153.25,3315:113:1,0.97
Ophthalmolepis,lineolata,-30.75,153.25,3315:103:3,0.99
Ophthalmolepis,lineolata,-30.25,153.75,3315:103:2,0.86
Ophthalmolepis,lineolata,-30.25,153.25,3315:103:1,0.95
Ophthalmolepis,lineolata,-39.75,148.75,3314:498:4,1.00
Ophthalmolepis,lineolata,-39.75,148.25,3314:498:3,0.89
Ophthalmolepis,lineolata,-39.25,148.75,3314:498:2,1.00
Ophthalmolepis,lineolata,-39.25,148.25,3314:498:1,1.00
Ophthalmolepis,lineolata,-39.75,147.75,3314:497:4,0.81
Ophthalmolepis,lineolata,-39.75,147.25,3314:497:3,0.82
Ophthalmolepis,lineolata,-39.25,147.75,3314:497:2,0.90
Ophthalmolepis,lineolata,-39.25,147.25,3314:497:1,0.86
Ophthalmolepis,lineolata,-39.25,146.75,3314:496:2,0.89
Ophthalmolepis,lineolata,-39.25,146.25,3314:496:1,0.91
Ophthalmolepis,lineolata,-39.75,145.75,3314:495:4,0.84
Ophthalmolepis,lineolata,-39.75,145.25,3314:495:3,0.81
Ophthalmolepis,lineolata,-39.25,145.75,3314:495:2,0.93
Ophthalmolepis,lineolata,-39.25,145.25,3314:495:1,0.92
Ophthalmolepis,lineolata,-38.25,149.25,3314:489:1,1.00
Ophthalmolepis,lineolata,-38.75,148.25,3314:488:3,1.00
Ophthalmolepis,lineolata,-38.25,148.75,3314:488:2,1.00
Ophthalmolepis,lineolata,-38.25,148.25,3314:488:1,1.00
Ophthalmolepis,lineolata,-38.75,147.75,3314:487:4,0.98
Ophthalmolepis,lineolata,-38.75,147.25,3314:487:3,0.91
Ophthalmolepis,lineolata,-38.25,147.75,3314:487:2,0.95
Ophthalmolepis,lineolata,-38.75,146.75,3314:486:4,0.88
Ophthalmolepis,lineolata,-38.75,146.25,3314:486:3,0.87
Ophthalmolepis,lineolata,-38.75,145.75,3314:485:4,0.93
Ophthalmolepis,lineolata,-38.75,145.25,3314:485:3,0.97
Ophthalmolepis,lineolata,-38.25,145.25,3314:485:1,0.94
