Mapping parameters for Oplegnathus woodwardi (Knifejaw)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,50,90,211,400
Temperature (°C),1,13.84,15.73,20.58,24.15
Salinity (psu),1,34.69,35.19,36.19,37.65
Primary Production (mgC·m-3·day-1) ,1,1.58,2.74,18.31,32.38
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,147.14,189.44,247.02,269.78
Distance to Land (km),0,1,15,194,357
 

Map data (HSPEC) for predicted occurrences (n = 576): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Oplegnathus,woodwardi,-24.75,112.75,3211:142:4,0.01
Oplegnathus,woodwardi,-25.25,112.75,3211:352:2,0.07
Oplegnathus,woodwardi,-25.75,112.25,3211:352:3,0.03
Oplegnathus,woodwardi,-25.75,112.75,3211:352:4,0.11
Oplegnathus,woodwardi,-25.75,113.75,3211:353:4,0.13
Oplegnathus,woodwardi,-25.75,114.25,3211:354:3,0.01
Oplegnathus,woodwardi,-26.25,112.25,3211:362:1,0.04
Oplegnathus,woodwardi,-26.25,112.75,3211:362:2,0.08
Oplegnathus,woodwardi,-26.75,112.75,3211:362:4,0.08
Oplegnathus,woodwardi,-26.75,113.25,3211:363:3,0.12
Oplegnathus,woodwardi,-27.25,112.75,3211:372:2,0.07
Oplegnathus,woodwardi,-27.75,112.75,3211:372:4,0.03
Oplegnathus,woodwardi,-27.25,113.25,3211:373:1,0.14
Oplegnathus,woodwardi,-27.25,113.75,3211:373:2,0.17
Oplegnathus,woodwardi,-27.75,113.25,3211:373:3,0.13
Oplegnathus,woodwardi,-27.75,113.75,3211:373:4,0.15
Oplegnathus,woodwardi,-27.75,114.25,3211:374:3,0.11
Oplegnathus,woodwardi,-28.25,113.25,3211:383:1,0.14
Oplegnathus,woodwardi,-29.25,113.75,3211:393:2,0.19
Oplegnathus,woodwardi,-29.25,114.25,3211:394:1,0.16
Oplegnathus,woodwardi,-29.25,114.75,3211:394:2,0.03
Oplegnathus,woodwardi,-28.25,153.75,3215:383:2,0.11
Oplegnathus,woodwardi,-28.75,153.75,3215:383:4,0.16
Oplegnathus,woodwardi,-29.75,153.75,3215:393:4,0.19
Oplegnathus,woodwardi,-25.25,159.75,3215:459:2,0.07
Oplegnathus,woodwardi,-25.75,159.75,3215:459:4,0.05
Oplegnathus,woodwardi,-26.75,159.25,3215:469:3,0.09
Oplegnathus,woodwardi,-26.75,159.75,3215:469:4,0.05
Oplegnathus,woodwardi,-27.75,155.25,3215:475:3,0.02
Oplegnathus,woodwardi,-28.75,172.75,3217:382:4,0.02
Oplegnathus,woodwardi,-34.25,119.25,3311:249:1,0.15
Oplegnathus,woodwardi,-31.75,129.25,3312:219:3,0.07
Oplegnathus,woodwardi,-31.75,129.75,3312:219:4,0.09
Oplegnathus,woodwardi,-32.25,128.25,3312:228:1,0.08
Oplegnathus,woodwardi,-31.75,130.25,3313:110:3,0.15
Oplegnathus,woodwardi,-31.75,130.75,3313:110:4,0.19
Oplegnathus,woodwardi,-31.75,131.75,3313:111:4,0.15
Oplegnathus,woodwardi,-32.25,132.75,3313:122:2,0.13
Oplegnathus,woodwardi,-33.25,134.75,3313:134:2,0.18
Oplegnathus,woodwardi,-34.25,136.25,3313:246:1,0.04
Oplegnathus,woodwardi,-34.75,136.75,3313:246:4,0.01
Oplegnathus,woodwardi,-34.25,137.75,3313:247:2,0.03
Oplegnathus,woodwardi,-35.25,137.25,3313:457:1,0.02
Oplegnathus,woodwardi,-38.25,142.25,3314:382:1,0.08
Oplegnathus,woodwardi,-38.25,142.75,3314:382:2,0.02
Oplegnathus,woodwardi,-36.75,149.75,3314:469:4,0.04
Oplegnathus,woodwardi,-37.25,149.75,3314:479:2,0.16
Oplegnathus,woodwardi,-38.25,147.25,3314:487:1,0.07
Oplegnathus,woodwardi,-31.25,152.75,3315:112:2,0.05
Oplegnathus,woodwardi,-36.75,156.25,3315:466:3,0.15
Oplegnathus,woodwardi,-31.75,168.25,3316:218:3,0.18
Oplegnathus,woodwardi,-32.75,167.25,3316:227:3,0.11
Oplegnathus,woodwardi,-38.25,168.75,3316:488:2,0.06
Oplegnathus,woodwardi,-39.25,168.75,3316:498:2,0.11
Oplegnathus,woodwardi,-38.75,172.25,3317:382:3,0.05
Oplegnathus,woodwardi,-38.75,174.75,3317:384:4,0.11
Oplegnathus,woodwardi,-39.25,174.25,3317:394:1,0.13
Oplegnathus,woodwardi,-39.75,174.75,3317:394:4,0.09
Oplegnathus,woodwardi,-37.75,176.25,3317:476:3,0.12
Oplegnathus,woodwardi,-39.75,178.25,3317:498:3,0.15
Oplegnathus,woodwardi,-40.75,144.75,3414:104:4,0.01
Oplegnathus,woodwardi,-41.25,143.75,3414:113:2,0.06
Oplegnathus,woodwardi,-41.75,144.25,3414:114:3,0.18
Oplegnathus,woodwardi,-42.75,144.75,3414:124:4,0.13
Oplegnathus,woodwardi,-41.25,146.25,3414:216:1,0.12
Oplegnathus,woodwardi,-42.75,145.75,3414:225:4,0.14
Oplegnathus,woodwardi,-42.75,147.75,3414:227:4,0.10
Oplegnathus,woodwardi,-42.25,148.25,3414:228:1,0.11
Oplegnathus,woodwardi,-43.25,145.25,3414:235:1,0.10
Oplegnathus,woodwardi,-43.25,145.75,3414:235:2,0.16
Oplegnathus,woodwardi,-43.75,146.25,3414:236:3,0.07
Oplegnathus,woodwardi,-43.75,146.75,3414:236:4,0.06
Oplegnathus,woodwardi,-43.25,147.75,3414:237:2,0.11
Oplegnathus,woodwardi,-43.75,147.25,3414:237:3,0.09
Oplegnathus,woodwardi,-44.25,147.25,3414:247:1,0.01
Oplegnathus,woodwardi,-43.75,168.25,3416:238:3,0.19
Oplegnathus,woodwardi,-43.75,168.75,3416:238:4,0.05
Oplegnathus,woodwardi,-43.25,169.75,3416:239:2,0.04
Oplegnathus,woodwardi,-44.25,167.75,3416:247:2,0.08
Oplegnathus,woodwardi,-44.75,167.25,3416:247:3,0.02
Oplegnathus,woodwardi,-44.25,168.25,3416:248:1,0.03
Oplegnathus,woodwardi,-40.75,173.25,3417:103:3,0.03
Oplegnathus,woodwardi,-40.75,173.75,3417:103:4,0.19
Oplegnathus,woodwardi,-41.25,171.75,3417:111:2,0.02
Oplegnathus,woodwardi,-41.25,174.75,3417:114:2,0.07
Oplegnathus,woodwardi,-41.25,175.25,3417:215:1,0.12
Oplegnathus,woodwardi,-41.25,175.75,3417:215:2,0.16
Oplegnathus,woodwardi,-41.75,175.75,3417:215:4,0.08
Oplegnathus,woodwardi,-42.75,175.75,3417:225:4,0.01
Oplegnathus,woodwardi,-42.75,176.25,3417:226:3,0.01
Oplegnathus,woodwardi,-42.75,176.75,3417:226:4,0.03
Oplegnathus,woodwardi,-42.75,177.25,3417:227:3,0.17
Oplegnathus,woodwardi,-42.75,177.75,3417:227:4,0.15
Oplegnathus,woodwardi,-42.75,178.25,3417:228:3,0.07
Oplegnathus,woodwardi,-42.75,178.75,3417:228:4,0.04
Oplegnathus,woodwardi,-31.25,-178.75,5317:218:2,0.15
Oplegnathus,woodwardi,-32.25,-179.25,5317:229:1,0.06
Oplegnathus,woodwardi,-42.75,-178.75,5417:228:4,0.19
Oplegnathus,woodwardi,-43.25,-175.25,5417:235:1,0.01
Oplegnathus,woodwardi,-43.25,-175.75,5417:235:2,0.01
Oplegnathus,woodwardi,-43.25,-177.75,5417:237:2,0.01
