Mapping parameters for Ornithoteuthis antillarum (bird squid)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  34 |  37 |  41 |  47,
Bounding Box (NSWE): ,41,-9,-95,11

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,155,515,1200
Temperature (°C),1,13.45,20.6,28.21,32.41
Salinity (psu),1,22.37,32.42,36.26,38.43
Primary Production (mgC·m-3·day-1) ,1,-0.58,0.42,17.54,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,92.3,171.44,264.35,329.25
Distance to Land (km),0,11,20,517,897
 

Map data (HSPEC) for predicted occurrences (n = 2485): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Ornithoteuthis,antillarum,40.25,-73.75,7407:103:2,0.03
Ornithoteuthis,antillarum,40.25,-73.25,7407:103:1,0.05
Ornithoteuthis,antillarum,40.25,-72.75,7407:102:2,0.05
Ornithoteuthis,antillarum,40.25,-72.25,7407:102:1,0.08
Ornithoteuthis,antillarum,40.75,-71.75,7407:101:4,0.01
Ornithoteuthis,antillarum,40.75,-71.25,7407:101:3,0.01
Ornithoteuthis,antillarum,40.25,-71.75,7407:101:2,0.17
Ornithoteuthis,antillarum,40.25,-71.25,7407:101:1,0.18
Ornithoteuthis,antillarum,40.25,-70.75,7407:100:2,0.17
Ornithoteuthis,antillarum,40.25,-70.25,7407:100:1,0.14
Ornithoteuthis,antillarum,40.25,-69.75,7406:209:2,0.10
Ornithoteuthis,antillarum,40.25,-69.25,7406:209:1,0.11
Ornithoteuthis,antillarum,40.25,-68.75,7406:208:2,0.18
Ornithoteuthis,antillarum,40.75,-66.75,7406:206:4,0.12
Ornithoteuthis,antillarum,40.75,-29.25,7402:209:3,0.08
Ornithoteuthis,antillarum,40.25,-29.75,7402:209:2,0.17
Ornithoteuthis,antillarum,40.25,-29.25,7402:209:1,0.17
Ornithoteuthis,antillarum,40.75,-9.75,7400:209:4,0.08
Ornithoteuthis,antillarum,40.75,-8.75,7400:208:4,0.18
Ornithoteuthis,antillarum,30.75,-88.25,7308:208:3,0.08
Ornithoteuthis,antillarum,30.75,-87.75,7308:207:4,0.06
Ornithoteuthis,antillarum,30.75,-87.25,7308:207:3,0.01
Ornithoteuthis,antillarum,30.75,-86.75,7308:206:4,0.02
Ornithoteuthis,antillarum,30.75,-86.25,7308:206:3,0.02
Ornithoteuthis,antillarum,30.25,-85.75,7308:205:2,0.19
Ornithoteuthis,antillarum,30.25,-85.25,7308:205:1,0.01
Ornithoteuthis,antillarum,32.75,-80.75,7308:120:4,0.01
Ornithoteuthis,antillarum,32.75,-80.25,7308:120:3,0.08
Ornithoteuthis,antillarum,32.25,-80.25,7308:120:1,0.18
Ornithoteuthis,antillarum,31.75,-81.25,7308:111:3,0.17
Ornithoteuthis,antillarum,31.25,-81.25,7308:111:1,0.10
Ornithoteuthis,antillarum,31.25,-80.75,7308:110:2,0.19
Ornithoteuthis,antillarum,30.25,-83.75,7308:103:2,0.17
Ornithoteuthis,antillarum,39.25,-75.25,7307:495:1,0.05
Ornithoteuthis,antillarum,38.75,-75.25,7307:485:3,0.04
Ornithoteuthis,antillarum,38.25,-75.75,7307:485:2,0.01
Ornithoteuthis,antillarum,38.25,-75.25,7307:485:1,0.03
Ornithoteuthis,antillarum,37.25,-76.75,7307:476:2,0.04
Ornithoteuthis,antillarum,37.25,-76.25,7307:476:1,0.03
Ornithoteuthis,antillarum,37.75,-75.75,7307:475:4,0.11
Ornithoteuthis,antillarum,37.75,-75.25,7307:475:3,0.07
Ornithoteuthis,antillarum,37.25,-75.75,7307:475:2,0.04
Ornithoteuthis,antillarum,37.25,-75.25,7307:475:1,0.11
Ornithoteuthis,antillarum,36.75,-76.25,7307:466:3,0.13
Ornithoteuthis,antillarum,36.75,-75.75,7307:465:4,0.14
Ornithoteuthis,antillarum,36.75,-75.25,7307:465:3,0.14
Ornithoteuthis,antillarum,36.25,-75.75,7307:465:2,0.16
Ornithoteuthis,antillarum,35.25,-76.75,7307:456:2,0.05
Ornithoteuthis,antillarum,39.75,-74.25,7307:394:3,0.03
Ornithoteuthis,antillarum,39.25,-74.75,7307:394:2,0.02
Ornithoteuthis,antillarum,39.25,-74.25,7307:394:1,0.17
Ornithoteuthis,antillarum,39.75,-73.75,7307:393:4,0.04
Ornithoteuthis,antillarum,39.75,-73.25,7307:393:3,0.09
Ornithoteuthis,antillarum,39.25,-73.75,7307:393:2,0.08
Ornithoteuthis,antillarum,39.25,-73.25,7307:393:1,0.14
Ornithoteuthis,antillarum,39.75,-72.75,7307:392:4,0.15
Ornithoteuthis,antillarum,38.75,-74.75,7307:384:4,0.04
Ornithoteuthis,antillarum,38.75,-74.25,7307:384:3,0.11
Ornithoteuthis,antillarum,38.25,-74.75,7307:384:2,0.08
Ornithoteuthis,antillarum,37.75,-74.75,7307:374:4,0.19
Ornithoteuthis,antillarum,34.25,-77.75,7307:247:2,0.13
Ornithoteuthis,antillarum,33.75,-79.25,7307:239:3,0.04
Ornithoteuthis,antillarum,33.25,-79.75,7307:239:2,0.01
Ornithoteuthis,antillarum,33.25,-79.25,7307:239:1,0.14
Ornithoteuthis,antillarum,33.75,-77.75,7307:237:4,0.18
Ornithoteuthis,antillarum,31.75,-76.75,7307:216:4,0.14
Ornithoteuthis,antillarum,39.75,-67.25,7306:497:3,0.06
Ornithoteuthis,antillarum,31.25,-40.75,7304:110:2,0.03
Ornithoteuthis,antillarum,35.25,-36.25,7303:456:1,0.03
Ornithoteuthis,antillarum,35.25,-35.25,7303:455:1,0.13
Ornithoteuthis,antillarum,38.75,-30.75,7303:380:4,0.03
Ornithoteuthis,antillarum,37.75,-31.75,7303:371:4,0.11
Ornithoteuthis,antillarum,36.25,-34.25,7303:364:1,0.14
Ornithoteuthis,antillarum,36.75,-33.75,7303:363:4,0.05
Ornithoteuthis,antillarum,36.75,-33.25,7303:363:3,0.03
Ornithoteuthis,antillarum,35.75,-34.25,7303:354:3,0.03
Ornithoteuthis,antillarum,39.75,-28.75,7302:498:4,0.05
Ornithoteuthis,antillarum,38.75,-26.25,7302:486:3,0.10
Ornithoteuthis,antillarum,38.25,-26.25,7302:486:1,0.17
Ornithoteuthis,antillarum,37.25,-29.25,7302:479:1,0.03
Ornithoteuthis,antillarum,37.75,-24.25,7302:374:3,0.11
Ornithoteuthis,antillarum,31.25,-28.25,7302:218:1,0.11
Ornithoteuthis,antillarum,37.25,-14.25,7301:374:1,0.12
Ornithoteuthis,antillarum,36.25,-14.75,7301:364:2,0.01
Ornithoteuthis,antillarum,36.25,-14.25,7301:364:1,0.02
Ornithoteuthis,antillarum,35.25,-11.75,7301:351:2,0.15
Ornithoteuthis,antillarum,34.75,-14.75,7301:144:4,0.11
Ornithoteuthis,antillarum,31.25,-13.25,7301:113:1,0.04
Ornithoteuthis,antillarum,39.75,-8.75,7300:498:4,0.08
Ornithoteuthis,antillarum,38.75,-8.75,7300:488:4,0.14
Ornithoteuthis,antillarum,37.25,-8.25,7300:478:1,0.19
Ornithoteuthis,antillarum,36.25,-8.25,7300:468:1,0.11
Ornithoteuthis,antillarum,31.75,-9.25,7300:219:3,0.10
Ornithoteuthis,antillarum,29.75,-94.75,7209:394:4,0.15
Ornithoteuthis,antillarum,29.75,-94.25,7209:394:3,0.10
Ornithoteuthis,antillarum,29.25,-94.75,7209:394:2,0.09
Ornithoteuthis,antillarum,29.25,-94.25,7209:394:1,0.11
Ornithoteuthis,antillarum,29.75,-93.75,7209:393:4,0.14
Ornithoteuthis,antillarum,29.75,-93.25,7209:393:3,0.13
Ornithoteuthis,antillarum,29.25,-93.75,7209:393:2,0.12
Ornithoteuthis,antillarum,29.25,-93.25,7209:393:1,0.16
Ornithoteuthis,antillarum,29.75,-92.25,7209:392:3,0.16
Ornithoteuthis,antillarum,29.25,-92.75,7209:392:2,0.16
Ornithoteuthis,antillarum,29.75,-91.25,7209:391:3,0.07
Ornithoteuthis,antillarum,29.25,-91.25,7209:391:1,0.11
Ornithoteuthis,antillarum,29.25,-90.25,7209:390:1,0.10
Ornithoteuthis,antillarum,27.25,-90.75,7209:370:2,0.10
Ornithoteuthis,antillarum,27.25,-90.25,7209:370:1,0.03
Ornithoteuthis,antillarum,26.75,-94.25,7209:364:3,0.16
Ornithoteuthis,antillarum,26.75,-93.75,7209:363:4,0.09
Ornithoteuthis,antillarum,21.25,-90.25,7209:110:1,0.16
Ornithoteuthis,antillarum,20.25,-93.75,7209:103:2,0.06
Ornithoteuthis,antillarum,20.75,-90.25,7209:100:3,0.13
Ornithoteuthis,antillarum,29.75,-89.75,7208:499:4,0.01
Ornithoteuthis,antillarum,29.25,-89.75,7208:499:2,0.11
Ornithoteuthis,antillarum,29.75,-88.75,7208:498:4,0.13
Ornithoteuthis,antillarum,29.75,-83.75,7208:393:4,0.14
Ornithoteuthis,antillarum,29.75,-83.25,7208:393:3,0.08
