Mapping parameters for Osmerus dentex (Pacific rainbow smelt)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  21 |  27 |  61 |  67 ,
Bounding Box (NSWE): ,77,41,35,-123

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,32,135,290
Temperature (°C),1,-0.75,0.19,9.27,12.8
Salinity (psu),1,13.66,22.85,32.44,39.83
Primary Production (mgC·m-3·day-1) ,1,0.71,2.87,24.98,48.37
Sea Ice Concentration (0-1 fraction),1,-0.71,0,0.58,0.72
Dissolved Bottom Oxygen (mmol·m-3),0,35.63,163.15,369.14,397.18
Distance to Land (km),0,0,1,100,310
 

Map data (HSPEC) for predicted occurrences (n = 5356): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Osmerus,dentex,72.25,-179.75,7717:229:2,0.02
Osmerus,dentex,72.25,-179.25,7717:229:1,0.01
Osmerus,dentex,72.25,-178.75,7717:228:2,0.02
Osmerus,dentex,72.25,-178.25,7717:228:1,0.03
Osmerus,dentex,72.25,-177.75,7717:227:2,0.04
Osmerus,dentex,72.25,-177.25,7717:227:1,0.06
Osmerus,dentex,72.25,-176.75,7717:226:2,0.09
Osmerus,dentex,72.25,-176.25,7717:226:1,0.14
Osmerus,dentex,72.75,-175.75,7717:225:4,0.03
Osmerus,dentex,72.75,-175.25,7717:225:3,0.05
Osmerus,dentex,71.75,-179.25,7717:219:3,0.19
Osmerus,dentex,71.75,-178.75,7717:218:4,0.15
Osmerus,dentex,71.75,-178.25,7717:218:3,0.12
Osmerus,dentex,71.25,-178.25,7717:218:1,0.06
Osmerus,dentex,71.75,-177.75,7717:217:4,0.12
Osmerus,dentex,71.75,-177.25,7717:217:3,0.14
Osmerus,dentex,71.25,-177.75,7717:217:2,0.18
Osmerus,dentex,71.75,-176.75,7717:216:4,0.18
Osmerus,dentex,72.75,-174.75,7717:124:4,0.06
Osmerus,dentex,72.75,-174.25,7717:124:3,0.07
Osmerus,dentex,72.75,-173.75,7717:123:4,0.07
Osmerus,dentex,72.75,-173.25,7717:123:3,0.06
Osmerus,dentex,72.75,-172.75,7717:122:4,0.04
Osmerus,dentex,72.75,-172.25,7717:122:3,0.04
Osmerus,dentex,72.75,-171.75,7717:121:4,0.05
Osmerus,dentex,72.75,-171.25,7717:121:3,0.05
Osmerus,dentex,72.75,-170.75,7717:120:4,0.06
Osmerus,dentex,72.75,-170.25,7717:120:3,0.07
Osmerus,dentex,73.25,-167.75,7716:237:2,0.01
Osmerus,dentex,73.25,-167.25,7716:237:1,0.01
Osmerus,dentex,73.25,-166.75,7716:236:2,0.01
Osmerus,dentex,73.25,-166.25,7716:236:1,0.01
Osmerus,dentex,73.25,-165.75,7716:235:2,0.01
Osmerus,dentex,72.75,-169.75,7716:229:4,0.08
Osmerus,dentex,72.75,-169.25,7716:229:3,0.09
Osmerus,dentex,72.75,-168.75,7716:228:4,0.12
Osmerus,dentex,72.75,-168.25,7716:228:3,0.14
Osmerus,dentex,72.75,-167.75,7716:227:4,0.15
Osmerus,dentex,72.75,-167.25,7716:227:3,0.16
Osmerus,dentex,72.75,-166.75,7716:226:4,0.15
Osmerus,dentex,72.75,-166.25,7716:226:3,0.14
Osmerus,dentex,72.75,-165.75,7716:225:4,0.13
Osmerus,dentex,72.75,-165.25,7716:225:3,0.10
Osmerus,dentex,73.25,-162.75,7716:132:2,0.01
Osmerus,dentex,73.25,-162.25,7716:132:1,0.01
Osmerus,dentex,73.25,-161.75,7716:131:2,0.01
Osmerus,dentex,73.25,-161.25,7716:131:1,0.01
Osmerus,dentex,73.25,-160.75,7716:130:2,0.01
Osmerus,dentex,73.25,-160.25,7716:130:1,0.01
Osmerus,dentex,72.75,-164.75,7716:124:4,0.09
Osmerus,dentex,72.75,-164.25,7716:124:3,0.08
Osmerus,dentex,72.75,-163.75,7716:123:4,0.07
Osmerus,dentex,72.75,-163.25,7716:123:3,0.07
Osmerus,dentex,72.75,-162.75,7716:122:4,0.06
Osmerus,dentex,72.75,-162.25,7716:122:3,0.06
Osmerus,dentex,72.25,-162.25,7716:122:1,0.17
Osmerus,dentex,72.75,-161.75,7716:121:4,0.06
Osmerus,dentex,72.75,-161.25,7716:121:3,0.05
Osmerus,dentex,72.25,-161.75,7716:121:2,0.15
Osmerus,dentex,72.25,-161.25,7716:121:1,0.13
Osmerus,dentex,72.75,-160.75,7716:120:4,0.05
Osmerus,dentex,72.75,-160.25,7716:120:3,0.04
Osmerus,dentex,72.25,-160.75,7716:120:2,0.11
Osmerus,dentex,72.25,-160.25,7716:120:1,0.10
Osmerus,dentex,73.25,-159.75,7715:239:2,0.01
Osmerus,dentex,72.75,-159.75,7715:229:4,0.05
Osmerus,dentex,72.75,-159.25,7715:229:3,0.05
Osmerus,dentex,72.25,-159.75,7715:229:2,0.09
Osmerus,dentex,72.25,-159.25,7715:229:1,0.09
Osmerus,dentex,72.75,-158.75,7715:228:4,0.05
Osmerus,dentex,72.75,-158.25,7715:228:3,0.05
Osmerus,dentex,72.25,-158.75,7715:228:2,0.10
Osmerus,dentex,72.25,-158.25,7715:228:1,0.12
Osmerus,dentex,72.75,-157.75,7715:227:4,0.05
Osmerus,dentex,72.75,-157.25,7715:227:3,0.03
Osmerus,dentex,72.25,-157.75,7715:227:2,0.12
Osmerus,dentex,72.25,-157.25,7715:227:1,0.13
Osmerus,dentex,72.25,-156.75,7715:226:2,0.13
Osmerus,dentex,72.25,-156.25,7715:226:1,0.12
Osmerus,dentex,72.25,-155.75,7715:225:2,0.12
Osmerus,dentex,72.25,-155.25,7715:225:1,0.05
Osmerus,dentex,70.25,-159.75,7715:209:2,0.06
Osmerus,dentex,70.75,-156.25,7715:206:3,0.01
Osmerus,dentex,70.75,-155.75,7715:205:4,0.01
Osmerus,dentex,71.75,-154.25,7715:114:3,0.19
Osmerus,dentex,71.75,-153.75,7715:113:4,0.16
Osmerus,dentex,71.75,-153.25,7715:113:3,0.14
Osmerus,dentex,71.75,-152.75,7715:112:4,0.12
Osmerus,dentex,71.75,-152.25,7715:112:3,0.10
Osmerus,dentex,71.25,-152.75,7715:112:2,0.18
Osmerus,dentex,71.25,-152.25,7715:112:1,0.16
Osmerus,dentex,71.25,-151.75,7715:111:2,0.14
Osmerus,dentex,71.25,-151.25,7715:111:1,0.13
Osmerus,dentex,71.25,-150.75,7715:110:2,0.13
Osmerus,dentex,71.25,-150.25,7715:110:1,0.13
Osmerus,dentex,70.75,-154.75,7715:104:4,0.02
Osmerus,dentex,70.75,-154.25,7715:104:3,0.10
Osmerus,dentex,70.75,-153.75,7715:103:4,0.10
Osmerus,dentex,70.75,-153.25,7715:103:3,0.07
Osmerus,dentex,70.75,-152.75,7715:102:4,0.09
Osmerus,dentex,70.75,-152.25,7715:102:3,0.10
Osmerus,dentex,70.75,-151.75,7715:101:4,0.13
Osmerus,dentex,70.75,-151.25,7715:101:3,0.12
Osmerus,dentex,70.25,-151.75,7715:101:2,0.02
Osmerus,dentex,70.25,-151.25,7715:101:1,0.01
Osmerus,dentex,70.75,-150.75,7715:100:4,0.13
Osmerus,dentex,70.75,-150.25,7715:100:3,0.14
Osmerus,dentex,70.25,-150.25,7715:100:1,0.02
Osmerus,dentex,71.25,-149.75,7714:219:2,0.13
Osmerus,dentex,71.25,-149.25,7714:219:1,0.13
Osmerus,dentex,71.25,-148.75,7714:218:2,0.13
Osmerus,dentex,71.25,-148.25,7714:218:1,0.12
Osmerus,dentex,71.25,-147.75,7714:217:2,0.11
Osmerus,dentex,71.25,-147.25,7714:217:1,0.10
Osmerus,dentex,70.75,-149.75,7714:209:4,0.17
Osmerus,dentex,70.75,-149.25,7714:209:3,0.16
Osmerus,dentex,70.75,-148.75,7714:208:4,0.16
Osmerus,dentex,70.75,-148.25,7714:208:3,0.15
Osmerus,dentex,70.25,-148.75,7714:208:2,0.07
Osmerus,dentex,70.25,-148.25,7714:208:1,0.07
Osmerus,dentex,70.75,-147.75,7714:207:4,0.16
Osmerus,dentex,70.75,-147.25,7714:207:3,0.18
Osmerus,dentex,70.25,-147.75,7714:207:2,0.13
Osmerus,dentex,71.25,-134.25,7713:114:1,0.04
Osmerus,dentex,71.25,-133.75,7713:113:2,0.15
Osmerus,dentex,71.25,-133.25,7713:113:1,0.18
Osmerus,dentex,71.75,-130.75,7713:110:4,0.08
Osmerus,dentex,71.75,-130.25,7713:110:3,0.12
Osmerus,dentex,73.25,-126.75,7712:236:2,0.02
Osmerus,dentex,73.25,-126.25,7712:236:1,0.07
Osmerus,dentex,73.75,-125.75,7712:235:4,0.03
Osmerus,dentex,73.75,-125.25,7712:235:3,0.10
Osmerus,dentex,73.25,-125.75,7712:235:2,0.19
Osmerus,dentex,72.75,-128.25,7712:228:3,0.01
Osmerus,dentex,72.25,-128.25,7712:228:1,0.12
Osmerus,dentex,72.75,-127.75,7712:227:4,0.08
Osmerus,dentex,72.75,-127.25,7712:227:3,0.10
Osmerus,dentex,72.75,-126.75,7712:226:4,0.16
Osmerus,dentex,72.25,-125.25,7712:225:1,0.11
Osmerus,dentex,71.75,-129.75,7712:219:4,0.15
Osmerus,dentex,71.75,-129.25,7712:219:3,0.19
Osmerus,dentex,70.75,-126.25,7712:206:3,0.16
Osmerus,dentex,73.75,-124.25,7712:134:3,0.13
Osmerus,dentex,73.25,-124.25,7712:134:1,0.04
Osmerus,dentex,73.75,-123.75,7712:133:4,0.01
Osmerus,dentex,71.75,-128.75,7712:218:4,0.17
Osmerus,dentex,71.75,-127.75,7712:217:4,0.14
Osmerus,dentex,71.25,-126.75,7712:216:2,0.08
Osmerus,dentex,71.25,-125.25,7712:215:1,0.17
Osmerus,dentex,70.75,-123.25,7712:103:3,0.01
Osmerus,dentex,66.25,-178.25,7617:468:1,0.19
Osmerus,dentex,65.75,-177.25,7617:457:3,0.16
Osmerus,dentex,66.75,-174.75,7617:364:4,0.19
Osmerus,dentex,66.75,-174.25,7617:364:3,0.19
Osmerus,dentex,66.25,-174.25,7617:364:1,0.06
Osmerus,dentex,66.75,-173.75,7617:363:4,0.09
Osmerus,dentex,66.25,-173.75,7617:363:2,0.06
Osmerus,dentex,65.75,-166.75,7616:456:4,0.06
Osmerus,dentex,67.25,-162.75,7616:372:2,0.09
Osmerus,dentex,66.25,-164.75,7616:364:2,0.03
Osmerus,dentex,66.75,-161.25,7616:361:3,0.09
Osmerus,dentex,66.75,-160.25,7616:360:3,0.06
Osmerus,dentex,66.25,-160.25,7616:360:1,0.09
Osmerus,dentex,64.75,-165.25,7616:245:3,0.16
Osmerus,dentex,64.75,-162.75,7616:142:4,0.15
Osmerus,dentex,64.75,-160.75,7616:140:4,0.16
Osmerus,dentex,63.25,-161.25,7616:131:1,0.06
Osmerus,dentex,60.25,-162.75,7616:102:2,0.06
Osmerus,dentex,61.25,-147.25,7614:217:1,0.06
Osmerus,dentex,60.75,-148.75,7614:208:4,0.06
Osmerus,dentex,60.25,-148.75,7614:208:2,0.03
Osmerus,dentex,69.25,-135.25,7613:495:1,0.02
Osmerus,dentex,68.75,-137.25,7613:487:3,0.12
Osmerus,dentex,68.75,-136.75,7613:486:4,0.15
Osmerus,dentex,68.75,-136.25,7613:486:3,0.11
Osmerus,dentex,68.75,-135.75,7613:485:4,0.02
Osmerus,dentex,68.75,-135.25,7613:485:3,0.02
Osmerus,dentex,69.75,-134.25,7613:394:3,0.10
Osmerus,dentex,69.25,-134.75,7613:394:2,0.01
Osmerus,dentex,69.25,-134.25,7613:394:1,0.01
Osmerus,dentex,69.75,-133.75,7613:393:4,0.16
Osmerus,dentex,69.25,-132.75,7613:392:2,0.01
Osmerus,dentex,69.75,-131.25,7613:391:3,0.19
Osmerus,dentex,69.75,-130.75,7613:390:4,0.03
Osmerus,dentex,69.75,-130.25,7613:390:3,0.16
Osmerus,dentex,69.25,-130.75,7613:390:2,0.03
Osmerus,dentex,69.75,-128.25,7612:498:3,0.16
Osmerus,dentex,69.25,-125.25,7612:495:1,0.06
Osmerus,dentex,59.25,-158.75,7515:498:2,0.06
Osmerus,dentex,59.25,-158.25,7515:498:1,0.06
Osmerus,dentex,59.25,-156.75,7515:496:2,0.06
Osmerus,dentex,58.25,-157.25,7515:487:1,0.16
Osmerus,dentex,58.25,-155.25,7515:485:1,0.06
Osmerus,dentex,57.75,-157.25,7515:477:3,0.03
Osmerus,dentex,56.25,-158.75,7515:468:2,0.16
Osmerus,dentex,58.75,-154.25,7515:384:3,0.06
Osmerus,dentex,55.75,-153.25,7515:353:3,0.02
Osmerus,dentex,55.75,-141.75,7514:351:4,0.06
Osmerus,dentex,59.75,-138.75,7513:498:4,0.03
Osmerus,dentex,59.25,-137.25,7513:497:1,0.03
Osmerus,dentex,59.25,-136.75,7513:496:2,0.06
Osmerus,dentex,59.25,-136.25,7513:496:1,0.06
Osmerus,dentex,59.25,-135.75,7513:495:2,0.03
Osmerus,dentex,58.75,-133.75,7513:383:4,0.03
Osmerus,dentex,57.75,-132.75,7513:372:4,0.03
Osmerus,dentex,56.25,-131.25,7513:361:1,0.02
Osmerus,dentex,55.75,-132.25,7513:352:3,0.07
Osmerus,dentex,55.75,-130.25,7513:350:3,0.02
Osmerus,dentex,55.75,-129.75,7512:459:4,0.02
Osmerus,dentex,54.25,-128.75,7512:248:2,0.02
