Mapping parameters for Otolithes cuvieri (Lesser tigertooth croaker)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 51,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,24.87,26.29,28.41,32.61
Salinity (psu),1,33.89,34.39,36.65,37.15
Primary Production (mgC·m-3·day-1) ,1,2.87,3.87,41.6,59.94
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,2.69,189.97,210.68,218.14
Distance to Land (km),0,10,11,97,183.5
 

Map data (HSPEC) for predicted occurrences (n = 673): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Otolithes,cuvieri,-25.25,44.25,3204:354:1,0.12
Otolithes,cuvieri,-24.75,47.25,3204:247:3,0.08
Otolithes,cuvieri,-20.75,44.25,3204:104:3,0.04
Otolithes,cuvieri,-25.25,35.25,3203:455:1,0.12
Otolithes,cuvieri,-25.75,34.75,3203:354:4,0.06
Otolithes,cuvieri,-25.25,34.75,3203:354:2,0.18
Otolithes,cuvieri,-21.25,39.75,3203:219:2,0.14
Otolithes,cuvieri,-20.25,36.25,3203:206:1,0.17
Otolithes,cuvieri,-16.75,59.25,3105:469:3,0.08
Otolithes,cuvieri,-10.25,59.75,3105:209:2,0.17
Otolithes,cuvieri,-16.25,45.75,3104:465:2,0.04
Otolithes,cuvieri,-15.75,46.75,3104:456:4,0.13
Otolithes,cuvieri,-15.75,46.25,3104:456:3,0.08
Otolithes,cuvieri,-12.75,47.75,3104:227:4,0.16
Otolithes,cuvieri,-12.75,45.25,3104:225:3,0.11
Otolithes,cuvieri,-17.25,38.25,3103:478:1,0.04
Otolithes,cuvieri,-6.75,39.25,3003:469:3,0.09
Otolithes,cuvieri,20.25,70.25,1207:100:1,0.01
Otolithes,cuvieri,25.75,66.75,1206:456:4,0.15
Otolithes,cuvieri,23.75,68.75,1206:238:4,0.18
Otolithes,cuvieri,20.25,69.75,1206:209:2,0.08
Otolithes,cuvieri,27.25,56.75,1205:476:2,0.13
Otolithes,cuvieri,26.75,56.25,1205:466:3,0.11
Otolithes,cuvieri,25.75,59.25,1205:459:3,0.15
Otolithes,cuvieri,25.75,56.75,1205:456:4,0.19
Otolithes,cuvieri,25.75,56.25,1205:456:3,0.15
Otolithes,cuvieri,26.25,50.25,1205:360:1,0.03
Otolithes,cuvieri,25.75,50.75,1205:350:4,0.07
Otolithes,cuvieri,24.25,56.75,1205:246:2,0.15
Otolithes,cuvieri,20.75,58.75,1205:208:4,0.14
Otolithes,cuvieri,20.25,57.75,1205:207:2,0.15
Otolithes,cuvieri,20.75,37.25,1203:207:3,0.01
Otolithes,cuvieri,19.25,73.25,1107:393:1,0.10
