Mapping parameters for Pachymetopon grande (Bronze seabream)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 47 |  51,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,11.97,17.73,24.63,30.46
Salinity (psu),1,28.24,34.83,35.47,35.97
Primary Production (mgC·m-3·day-1) ,1,8.29,16.36,38.33,50.16
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,143.59,168.46,214.12,236.49
Distance to Land (km),0,0,4,24,118
 

Map data (HSPEC) for predicted occurrences (n = 367): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pachymetopon,grande,-35.25,22.25,3302:352:1,0.04
Pachymetopon,grande,-33.75,25.75,3302:235:4,0.18
Pachymetopon,grande,-33.75,22.75,3302:132:4,0.18
Pachymetopon,grande,-25.75,45.75,3204:455:4,0.01
Pachymetopon,grande,-24.75,47.25,3204:247:3,0.09
Pachymetopon,grande,-24.25,47.25,3204:247:1,0.09
Pachymetopon,grande,-23.75,47.75,3204:237:4,0.05
Pachymetopon,grande,-22.75,47.75,3204:227:4,0.17
Pachymetopon,grande,-22.25,43.25,3204:123:1,0.18
Pachymetopon,grande,-21.75,43.75,3204:113:4,0.01
Pachymetopon,grande,-20.75,44.25,3204:104:3,0.11
Pachymetopon,grande,-25.25,35.25,3203:455:1,0.07
