Mapping parameters for Pagothenia borchgrevinki (Bald notothen)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  48 |  58 |  88 ,
Bounding Box (NSWE): ,-60,-78,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,30,550
Temperature (°C),1,-2,-1.74,-0.74,0.03
Salinity (psu),1,32.83,33.33,34.33,34.83
Primary Production (mgC·m-3·day-1) ,1,0.92,1.92,7.94,12.37
Sea Ice Concentration (0-1 fraction),1,0.02,0.23,0.65,0.8
Dissolved Bottom Oxygen (mmol·m-3),0,167.11,232.18,335.28,411.33
Distance to Land (km),0,2,3,191,325
 

Map data (HSPEC) for predicted occurrences (n = 3564): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Pagothenia,borchgrevinki,-69.75,4.25,3600:394:3,0.04,0.036538461538462,1,1,1,1,1,1
Pagothenia,borchgrevinki,-69.25,16.75,3601:496:2,0.19,0.30576923076923,1,1,1,0.61015995343526,1,1
Pagothenia,borchgrevinki,-69.25,17.25,3601:497:1,0.09,0.14038461538462,1,1,1,0.66114656130473,1,1
Pagothenia,borchgrevinki,-69.75,22.75,3602:392:4,0.16,0.175,1,1,1,0.91507347424825,1,1
Pagothenia,borchgrevinki,-69.25,28.25,3602:498:1,0.05,0.065384615384615,1,1,1,0.72436006863912,1,1
Pagothenia,borchgrevinki,-67.75,32.75,3603:372:4,0.08,0.084615384615385,1,1,1,1,1,1
Pagothenia,borchgrevinki,-67.75,33.25,3603:373:3,0.05,0.046153846153846,1,1,1,1,1,1
Pagothenia,borchgrevinki,-67.75,33.75,3603:373:4,0.04,0.036538461538462,1,1,1,0.98581981658935,1,1
Pagothenia,borchgrevinki,-68.25,31.25,3603:381:1,0.14,0.15384615384615,1,1,1,0.92982006072998,1,1
Pagothenia,borchgrevinki,-68.25,34.25,3603:384:1,0.10,0.825,1,1,1,0.12606652577718,1,1
Pagothenia,borchgrevinki,-68.25,34.75,3603:384:2,0.01,0.81538461538462,1,1,1,0.018079996109007,1,1
Pagothenia,borchgrevinki,-68.25,35.25,3603:485:1,0.02,1,1,1,1,0.017813364664714,1,1
