Mapping parameters for Palaemon elegans (rockpool prawn)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 |  47 ,
Bounding Box (NSWE): ,69,-28,-32,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,6,30
Temperature (°C),1,7.25,10.03,20.9,27.89
Salinity (psu),1,3.36,18.93,37.8,39.25
Primary Production (mgC·m-3·day-1) ,1,-0.39,0.61,23.07,103.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.98,201.21,306.1,408.48
Distance to Land (km),0,0,3,23,594
 

Map data (HSPEC) for predicted occurrences (n = 1666): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Palaemon,elegans,0.25,6.75,1000:206:2,0.09,1,0.087892022085122,1,1,1,1,1
Palaemon,elegans,0.25,9.25,1000:209:1,0.07,1,0.074227874712203,1,1,1,1,1
Palaemon,elegans,0.25,9.75,1000:209:2,0.07,1,0.072870082609642,1,1,1,1,1
Palaemon,elegans,0.75,9.25,1000:209:3,0.05,1,0.051676683330401,1,1,1,1,1
Palaemon,elegans,0.75,9.75,1000:209:4,0.06,1,0.060896899396595,1,1,1,1,1
Palaemon,elegans,1.25,7.25,1000:217:1,0.04,1,0.035355618412747,1,1,1,1,1
Palaemon,elegans,1.75,7.25,1000:217:3,0.02,1,0.015347012804979,1,1,1,1,1
Palaemon,elegans,1.75,7.75,1000:217:4,0.02,1,0.016440122765365,1,1,1,1,1
Palaemon,elegans,1.25,9.25,1000:219:1,0.04,1,0.038580647524506,1,1,1,1,1
Palaemon,elegans,1.25,9.75,1000:219:2,0.05,1,0.048141675957282,1,1,1,1,1
Palaemon,elegans,1.75,9.75,1000:219:4,0.03,1,0.03484344482422,1,1,1,1,1
Palaemon,elegans,2.25,9.75,1000:229:2,0.02,1,0.020951452514478,1,1,1,1,1
Palaemon,elegans,2.75,9.75,1000:229:4,0.01,1,0.013045369640787,1,1,1,1,1
Palaemon,elegans,3.25,9.75,1000:239:2,0.01,1,0.0053319317076826,1,1,1,1,1
Palaemon,elegans,3.75,9.75,1000:239:4,0.01,1,0.0062031998313734,1,1,1,1,1
Palaemon,elegans,4.75,8.25,1000:248:3,0.01,1,0.0059772649718597,1,1,1,1,1
Palaemon,elegans,4.75,8.75,1000:248:4,0.01,1,0.01433112454176,1,1,1,1,1
Palaemon,elegans,4.25,9.25,1000:249:1,0.01,1,0.010170703282175,1,1,1,1,1
Palaemon,elegans,4.25,9.75,1000:249:2,0.01,1,0.012302622433548,1,1,1,1,1
Palaemon,elegans,5.75,0.25,1000:350:3,0.11,1,0.14428951061505,1,0.73511831187371,1,1,1
Palaemon,elegans,5.75,0.75,1000:350:4,0.09,1,0.10807335325577,1,0.85295142444549,1,1,1
Palaemon,elegans,5.75,1.25,1000:351:3,0.07,1,0.07314922676578,1,0.99863013095903,1,1,1
Palaemon,elegans,6.25,1.25,1000:361:1,0.09,1,0.088803128964235,1,0.98892032184904,1,1,1
Palaemon,elegans,6.25,1.75,1000:361:2,0.06,1,0.064371057163834,1,1,1,1,1
Palaemon,elegans,6.25,2.25,1000:362:1,0.04,1,0.037116436828698,1,1,1,1,1
Palaemon,elegans,6.25,2.75,1000:362:2,0.02,1,0.015213307392962,1,1,1,1,1
Palaemon,elegans,6.75,3.25,1000:363:3,0.03,1,0.029722254675351,1,1,1,1,1
Palaemon,elegans,6.75,3.75,1000:363:4,0.02,1,0.019814683644049,1,1,1,1,1
Palaemon,elegans,3.25,10.25,1001:130:1,0.02,1,0.016108587917168,1,1,1,1,1
Palaemon,elegans,39.25,0.25,1300:390:1,0.12,0.125,1,1,1,1,1,1
Palaemon,elegans,37.75,9.25,1300:479:3,0.11,0.125,1,1,0.89099997315556,1,1,1
