Mapping parameters for Palmoliparis beckeri (Gloved snailfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,200,300,500,800
Temperature (°C),1,3.94,4.76,6.08,7.25
Salinity (psu),1,31.53,32.03,33.03,33.53
Primary Production (mgC·m-3·day-1) ,1,0.65,8.32,17.37,23.26
Sea Ice Concentration (0-1 fraction),1,0,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,22.57,58.37,121.27,179.82
Distance to Land (km),0,16,34.2,108.6,177.75
 

Map data (HSPEC) for predicted occurrences (n = 83): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Palmoliparis,beckeri,52.25,172.75,1517:122:2,0.13
Palmoliparis,beckeri,53.25,179.75,1517:239:2,0.08
Palmoliparis,beckeri,51.75,174.75,1517:114:4,0.36
Palmoliparis,beckeri,52.75,171.75,1517:121:4,0.32
Palmoliparis,beckeri,55.25,176.75,1517:456:2,0.38
Palmoliparis,beckeri,52.75,170.75,1517:120:4,0.45
Palmoliparis,beckeri,52.75,171.25,1517:121:3,0.46
Palmoliparis,beckeri,53.25,170.75,1517:130:2,0.45
Palmoliparis,beckeri,53.25,171.25,1517:131:1,0.45
Palmoliparis,beckeri,53.25,171.75,1517:131:2,0.46
Palmoliparis,beckeri,53.25,172.25,1517:132:1,0.56
Palmoliparis,beckeri,53.75,179.75,1517:239:4,0.50
Palmoliparis,beckeri,54.75,176.25,1517:246:3,0.44
Palmoliparis,beckeri,54.75,176.75,1517:246:4,0.45
Palmoliparis,beckeri,54.75,178.25,1517:248:3,0.42
Palmoliparis,beckeri,54.75,178.75,1517:248:4,0.44
Palmoliparis,beckeri,54.25,179.25,1517:249:1,0.48
Palmoliparis,beckeri,54.25,179.75,1517:249:2,0.48
Palmoliparis,beckeri,54.75,179.25,1517:249:3,0.43
Palmoliparis,beckeri,51.25,-177.75,7517:217:2,0.53
Palmoliparis,beckeri,53.25,-179.75,7517:239:2,0.53
Palmoliparis,beckeri,53.75,-179.75,7517:239:4,0.50
Palmoliparis,beckeri,54.25,-179.75,7517:249:2,0.48
Palmoliparis,beckeri,52.75,173.25,1517:123:3,0.69
Palmoliparis,beckeri,52.75,174.75,1517:124:4,0.74
Palmoliparis,beckeri,53.25,172.75,1517:132:2,0.76
Palmoliparis,beckeri,53.25,173.25,1517:133:1,0.74
Palmoliparis,beckeri,51.75,175.25,1517:215:3,0.65
Palmoliparis,beckeri,51.75,175.75,1517:215:4,0.68
Palmoliparis,beckeri,51.75,176.25,1517:216:3,0.71
