Mapping parameters for Paralabrax maculatofasciatus (Spotted sand bass)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,37,10,-123,-85

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,32,61
Temperature (°C),1,13.45,17.99,25.79,29.99
Salinity (psu),1,31.04,33.42,35.32,36.41
Primary Production (mgC·m-3·day-1) ,1,0.56,1.56,36.34,50.2
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.1,7.35,226.16,253.89
Distance to Land (km),0,0,6,86,175
 

Map data (HSPEC) for predicted occurrences (n = 238): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Paralabrax,maculatofasciatus,34.25,-119.75,7311:249:2,0.10
Paralabrax,maculatofasciatus,33.75,-118.25,7311:238:3,0.08
Paralabrax,maculatofasciatus,32.75,-117.25,7311:227:3,0.15
Paralabrax,maculatofasciatus,31.75,-116.75,7311:216:4,0.16
Paralabrax,maculatofasciatus,30.75,-116.25,7311:206:3,0.16
Paralabrax,maculatofasciatus,30.75,-113.75,7311:103:4,0.16
Paralabrax,maculatofasciatus,28.75,-113.75,7211:383:4,0.17
Paralabrax,maculatofasciatus,27.75,-113.75,7211:373:4,0.17
Paralabrax,maculatofasciatus,25.75,-108.75,7210:458:4,0.17
Paralabrax,maculatofasciatus,21.75,-105.25,7210:215:3,0.03
Paralabrax,maculatofasciatus,21.25,-105.75,7210:215:2,0.04
Paralabrax,maculatofasciatus,20.75,-105.25,7210:205:3,0.18
Paralabrax,maculatofasciatus,18.25,-114.75,7111:384:2,0.13
Paralabrax,maculatofasciatus,18.75,-111.25,7111:381:3,0.06
Paralabrax,maculatofasciatus,17.75,-101.75,7110:371:4,0.19
Paralabrax,maculatofasciatus,16.25,-98.75,7109:468:2,0.19
Paralabrax,maculatofasciatus,16.25,-98.25,7109:468:1,0.18
Paralabrax,maculatofasciatus,15.75,-97.75,7109:457:4,0.18
Paralabrax,maculatofasciatus,15.75,-94.75,7109:354:4,0.01
Paralabrax,maculatofasciatus,15.75,-93.75,7109:353:4,0.15
Paralabrax,maculatofasciatus,15.75,-93.25,7109:353:3,0.18
Paralabrax,maculatofasciatus,15.25,-93.75,7109:353:2,0.11
Paralabrax,maculatofasciatus,15.25,-93.25,7109:353:1,0.11
Paralabrax,maculatofasciatus,15.25,-92.75,7109:352:2,0.15
Paralabrax,maculatofasciatus,14.75,-93.25,7109:143:3,0.13
Paralabrax,maculatofasciatus,14.75,-92.75,7109:142:4,0.10
Paralabrax,maculatofasciatus,14.75,-92.25,7109:142:3,0.14
Paralabrax,maculatofasciatus,14.25,-92.75,7109:142:2,0.03
Paralabrax,maculatofasciatus,14.25,-92.25,7109:142:1,0.10
Paralabrax,maculatofasciatus,14.25,-91.75,7109:141:2,0.13
Paralabrax,maculatofasciatus,14.25,-91.25,7109:141:1,0.08
Paralabrax,maculatofasciatus,13.75,-91.75,7109:131:4,0.12
Paralabrax,maculatofasciatus,13.75,-91.25,7109:131:3,0.10
Paralabrax,maculatofasciatus,13.75,-90.75,7109:130:4,0.07
Paralabrax,maculatofasciatus,13.75,-89.75,7108:239:4,0.09
Paralabrax,maculatofasciatus,13.75,-89.25,7108:239:3,0.16
Paralabrax,maculatofasciatus,13.25,-89.75,7108:239:2,0.15
Paralabrax,maculatofasciatus,13.25,-89.25,7108:239:1,0.11
Paralabrax,maculatofasciatus,13.25,-88.75,7108:238:2,0.03
Paralabrax,maculatofasciatus,13.25,-88.25,7108:238:1,0.06
Paralabrax,maculatofasciatus,13.25,-87.75,7108:237:2,0.05
Paralabrax,maculatofasciatus,13.25,-87.25,7108:237:1,0.16
Paralabrax,maculatofasciatus,12.75,-89.25,7108:229:3,0.01
Paralabrax,maculatofasciatus,12.75,-88.75,7108:228:4,0.19
Paralabrax,maculatofasciatus,12.75,-88.25,7108:228:3,0.17
Paralabrax,maculatofasciatus,12.75,-87.75,7108:227:4,0.10
Paralabrax,maculatofasciatus,12.75,-87.25,7108:227:3,0.12
Paralabrax,maculatofasciatus,12.25,-87.25,7108:227:1,0.07
Paralabrax,maculatofasciatus,12.25,-86.75,7108:226:2,0.16
Paralabrax,maculatofasciatus,11.75,-87.25,7108:217:3,0.04
Paralabrax,maculatofasciatus,11.75,-86.75,7108:216:4,0.10
Paralabrax,maculatofasciatus,11.25,-86.75,7108:216:2,0.13
Paralabrax,maculatofasciatus,11.25,-86.25,7108:216:1,0.04
Paralabrax,maculatofasciatus,11.25,-85.75,7108:215:2,0.13
Paralabrax,maculatofasciatus,10.75,-86.25,7108:206:3,0.07
Paralabrax,maculatofasciatus,10.25,-86.25,7108:206:1,0.04
Paralabrax,maculatofasciatus,10.25,-85.75,7108:205:2,0.09
Paralabrax,maculatofasciatus,10.25,-85.25,7108:205:1,0.09
Paralabrax,maculatofasciatus,34.25,-120.25,7312:140:1,0.21
Paralabrax,maculatofasciatus,33.75,-120.25,7312:130:3,0.32
Paralabrax,maculatofasciatus,34.25,-118.25,7311:248:1,0.24
Paralabrax,maculatofasciatus,32.75,-119.25,7311:229:3,0.23
Paralabrax,maculatofasciatus,25.75,-109.75,7210:459:4,0.21
Paralabrax,maculatofasciatus,22.75,-105.75,7210:225:4,0.22
Paralabrax,maculatofasciatus,18.75,-103.75,7110:383:4,0.38
Paralabrax,maculatofasciatus,18.25,-103.25,7110:383:1,0.35
Paralabrax,maculatofasciatus,18.25,-102.75,7110:382:2,0.33
Paralabrax,maculatofasciatus,18.25,-102.25,7110:382:1,0.33
Paralabrax,maculatofasciatus,17.75,-102.25,7110:372:3,0.20
Paralabrax,maculatofasciatus,17.75,-101.25,7110:371:3,0.32
Paralabrax,maculatofasciatus,17.25,-101.25,7110:371:1,0.28
Paralabrax,maculatofasciatus,17.25,-100.75,7110:370:2,0.28
Paralabrax,maculatofasciatus,17.25,-100.25,7110:370:1,0.30
Paralabrax,maculatofasciatus,16.75,-100.25,7110:360:3,0.23
Paralabrax,maculatofasciatus,16.75,-99.75,7109:469:4,0.22
Paralabrax,maculatofasciatus,16.75,-99.25,7109:469:3,0.25
Paralabrax,maculatofasciatus,16.75,-98.75,7109:468:4,0.27
Paralabrax,maculatofasciatus,16.25,-97.75,7109:467:2,0.23
Paralabrax,maculatofasciatus,16.25,-95.25,7109:465:1,0.39
Paralabrax,maculatofasciatus,15.75,-97.25,7109:457:3,0.20
Paralabrax,maculatofasciatus,15.75,-96.75,7109:456:4,0.22
Paralabrax,maculatofasciatus,15.75,-96.25,7109:456:3,0.28
Paralabrax,maculatofasciatus,15.75,-95.75,7109:455:4,0.33
Paralabrax,maculatofasciatus,16.25,-94.75,7109:364:2,0.34
