Mapping parameters for Paramoera walkeri ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 58 |  88,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,35,144,310
Temperature (°C),1,-2,-1.76,-1.48,-0.98
Salinity (psu),1,32.95,33.45,34.45,34.95
Primary Production (mgC·m-3·day-1) ,1,0.73,1.73,5.7,9.17
Sea Ice Concentration (0-1 fraction),1,0.28,0.32,0.72,0.8
Dissolved Bottom Oxygen (mmol·m-3),0,210.33,237.97,340.89,390.9
Distance to Land (km),0,1,2,247,462
 

Map data (HSPEC) for predicted occurrences (n = 1525): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Paramoera,walkeri,-68.25,34.75,3603:384:2,0.03
Paramoera,walkeri,-69.75,30.25,3603:390:3,0.02
Paramoera,walkeri,-69.75,30.75,3603:390:4,0.02
Paramoera,walkeri,-69.25,31.25,3603:391:1,0.09
Paramoera,walkeri,-69.25,33.75,3603:393:2,0.03
Paramoera,walkeri,-69.25,34.25,3603:394:1,0.07
Paramoera,walkeri,-69.25,34.75,3603:394:2,0.04
Paramoera,walkeri,-68.25,35.25,3603:485:1,0.03
Paramoera,walkeri,-68.25,35.75,3603:485:2,0.13
Paramoera,walkeri,-68.75,38.25,3603:488:3,0.08
Paramoera,walkeri,-69.25,35.25,3603:495:1,0.12
Paramoera,walkeri,-69.75,36.75,3603:496:4,0.11
Paramoera,walkeri,-69.75,38.75,3603:498:4,0.13
Paramoera,walkeri,-67.25,44.75,3604:374:2,0.08
Paramoera,walkeri,-68.25,43.75,3604:383:2,0.03
Paramoera,walkeri,-66.25,48.25,3604:468:1,0.17
Paramoera,walkeri,-67.25,45.25,3604:475:1,0.09
Paramoera,walkeri,-65.25,54.25,3605:354:1,0.09
Paramoera,walkeri,-67.25,57.25,3605:477:1,0.06
Paramoera,walkeri,-67.75,68.75,3606:478:4,0.18
Paramoera,walkeri,-68.75,69.25,3606:489:3,0.10
Paramoera,walkeri,-67.25,70.75,3607:370:2,0.19
Paramoera,walkeri,-67.25,74.75,3607:374:2,0.07
Paramoera,walkeri,-68.75,70.25,3607:380:3,0.03
Paramoera,walkeri,-66.75,75.25,3607:465:3,0.04
Paramoera,walkeri,-66.75,76.75,3607:466:4,0.08
Paramoera,walkeri,-66.75,77.25,3607:467:3,0.16
Paramoera,walkeri,-67.25,76.75,3607:476:2,0.09
Paramoera,walkeri,-67.75,78.75,3607:478:4,0.17
Paramoera,walkeri,-68.75,77.75,3607:487:4,0.01
Paramoera,walkeri,-65.75,84.75,3608:354:4,0.04
Paramoera,walkeri,-66.75,81.75,3608:361:4,0.11
Paramoera,walkeri,-67.25,80.25,3608:370:1,0.06
Paramoera,walkeri,-67.75,80.75,3608:370:4,0.02
Paramoera,walkeri,-67.25,84.75,3608:374:2,0.15
Paramoera,walkeri,-65.75,85.25,3608:455:3,0.02
Paramoera,walkeri,-67.25,86.25,3608:476:1,0.06
Paramoera,walkeri,-64.75,94.75,3609:144:4,0.10
Paramoera,walkeri,-64.75,98.75,3609:248:4,0.01
Paramoera,walkeri,-64.25,99.75,3609:249:2,0.17
Paramoera,walkeri,-65.25,94.75,3609:354:2,0.07
Paramoera,walkeri,-65.75,94.25,3609:354:3,0.05
Paramoera,walkeri,-65.75,94.75,3609:354:4,0.08
Paramoera,walkeri,-66.25,94.25,3609:364:1,0.14
Paramoera,walkeri,-65.75,96.25,3609:456:3,0.16
Paramoera,walkeri,-65.25,99.25,3609:459:1,0.03
Paramoera,walkeri,-65.75,99.75,3609:459:4,0.08
Paramoera,walkeri,-66.75,95.25,3609:465:3,0.09
Paramoera,walkeri,-66.25,97.25,3609:467:1,0.13
Paramoera,walkeri,-66.75,97.25,3609:467:3,0.09
Paramoera,walkeri,-66.75,97.75,3609:467:4,0.17
